artifact,sha256,bytes
attempt_level_quote_fill_evidence_matrix.csv,bbc6b5180d7ee30f7c5c4035289268d37994201a9b4e7e2f37db4febffdc1e7f,42961
boundary_manifest.json,81cb2cb7e4128f03049e49d15ddca88b5757fc1ce7e90a1833e10cc77de596e5,1051
censoring_horizon_matrix.csv,59f538a714c4d2e7ecee29c64c42cc943f23d35cadfadd44bacdf030144423d7,10868
final_route.json,3198c895a36698438c6a611ae279f67714d790d666075679ecb8421401c3b8ec,85
input_source_manifest.json,3964bca58fd1060f3b88e2f061ffb46f9089e7bb1448520bc03f6b5c05e62c8f,4697
public_stream_coverage_evidence_matrix.csv,cf81ae562ba992e80382fec85f168466d35e4f860082b538d95b96637ba64d7d,588
quote_fill_probability_manifest.json,7a4411e24c4750698b0b19c829a3e75bdb0723e467901e94e784a84edb5103ba,8841
resting_interval_public_trades_depletion_summary.csv,10b88f8af8e2f9ea1016eeed55a16338e35ffc7940aa4bf6b1cfbfdd69443164,786
same_side_depth_proxy_matrix.csv,6dab1344d8c54b68f557ff58ad5a2aded075f5392362f838909c9032422bcb7a,14240
validation_report.md,07c373b587378986c8aab85b28ddff657a212424855544d76be41a441c84b877,925
