session,fold_id,model,side,reliability_bin,training_lower_edge,training_upper_edge,test_count,event_count,mean_predicted_risk,realized_rate
jul30,1,H0,maker_ask_risk,1,,0.0086889664563680746,25896,214,0.007086118976249999,0.0082638245288847705
jul30,1,H0,maker_ask_risk,2,0.0086889664563680746,0.010762880527686147,18284,254,0.010111923133885705,0.013891927368190768
jul30,1,H0,maker_ask_risk,3,0.010762880527686147,0.012676936086611357,9295,140,0.011631056241638257,0.01506186121570737
jul30,1,H0,maker_ask_risk,4,0.012676936086611357,0.014273516566464028,21062,296,0.01318540519627672,0.014053746082993068
jul30,1,H0,maker_ask_risk,5,0.014273516566464028,0.016061179763319555,7678,101,0.015546007607185174,0.013154467309195103
jul30,1,H0,maker_ask_risk,6,0.016061179763319555,0.017639766593919748,14998,280,0.016535864422777206,0.018669155887451661
jul30,1,H0,maker_ask_risk,7,0.017639766593919748,0.020076796908778061,5186,166,0.019377386875052312,0.032009255688391823
jul30,1,H0,maker_ask_risk,8,0.020076796908778061,0.022849019352302213,8866,174,0.020626373188220068,0.019625535754568012
jul30,1,H0,maker_ask_risk,9,0.022849019352302213,0.027032016517376523,5542,132,0.025193708301413188,0.023818116203536629
jul30,1,H0,maker_ask_risk,10,0.027032016517376523,,3143,194,0.03726496018047399,0.06172446706967865
jul30,1,H0,maker_bid_risk,1,,0.0090277372721974114,25896,226,0.0073626587155767543,0.0087272165585418598
jul30,1,H0,maker_bid_risk,2,0.0090277372721974114,0.011181902889664364,18284,251,0.010505773829588633,0.013727849485889301
jul30,1,H0,maker_bid_risk,3,0.011181902889664364,0.013169815976493027,9295,155,0.012083590562221884,0.016675632060247445
jul30,1,H0,maker_bid_risk,4,0.013169815976493027,0.014827850587013969,21062,286,0.013697867226500748,0.013578957363973031
jul30,1,H0,maker_bid_risk,5,0.014827850587013969,0.016684157598889193,7678,178,0.016149213637316414,0.023183120604324044
jul30,1,H0,maker_bid_risk,6,0.016684157598889193,0.018323214688529044,14998,301,0.01717703387188969,0.020069342579010534
jul30,1,H0,maker_bid_risk,7,0.018323214688529044,0.020853331429256716,5186,148,0.020127225294171949,0.02853837254145777
jul30,1,H0,maker_bid_risk,8,0.020853331429256716,0.023731047787331927,8866,229,0.021423843675843494,0.025829009699977441
jul30,1,H0,maker_bid_risk,9,0.023731047787331927,0.028072425850664162,5542,197,0.026164619060594835,0.035546734031035726
jul30,1,H0,maker_bid_risk,10,0.028072425850664162,,3143,116,0.038682087977290135,0.036907413299395481
jul30,1,H1,maker_ask_risk,1,,0.0047478922955999092,15465,36,0.0034931154153231116,0.0023278370514064014
jul30,1,H1,maker_ask_risk,2,0.0047478922955999092,0.00667423365551989,17607,71,0.0057420434387973653,0.0040324870790026694
jul30,1,H1,maker_ask_risk,3,0.00667423365551989,0.0084152496346271422,15447,76,0.0075310582758364797,0.0049200492004920051
jul30,1,H1,maker_ask_risk,4,0.0084152496346271422,0.010221440814756177,14162,93,0.0093044166586689053,0.0065668690862872477
jul30,1,H1,maker_ask_risk,5,0.010221440814756177,0.012278901021914312,13082,124,0.011209200243639986,0.0094786729857819912
jul30,1,H1,maker_ask_risk,6,0.012278901021914312,0.014804896160898084,12187,222,0.01346480152620016,0.018216131943874621
jul30,1,H1,maker_ask_risk,7,0.014804896160898084,0.018154513742622558,10757,270,0.016338191528810584,0.025099934926094636
jul30,1,H1,maker_ask_risk,8,0.018154513742622558,0.023071811686000365,8837,331,0.020332423591271884,0.037456150277243409
jul30,1,H1,maker_ask_risk,9,0.023071811686000365,0.032758656164054711,7174,328,0.027030296712334149,0.045720657931419016
jul30,1,H1,maker_ask_risk,10,0.032758656164054711,,5232,400,0.062171856800910988,0.0764525993883792
jul30,1,H1,maker_bid_risk,1,,0.0061590117199208372,11005,9,0.0048039164175824019,0.00081781008632439802
jul30,1,H1,maker_bid_risk,2,0.0061590117199208372,0.0080404270823640767,13216,74,0.0071490850445598223,0.0055992736077481843
jul30,1,H1,maker_bid_risk,3,0.0080404270823640767,0.0097430424338579291,13497,70,0.0088936081867650209,0.0051863377046751126
jul30,1,H1,maker_bid_risk,4,0.0097430424338579291,0.01147512208563306,13258,93,0.010601351333236969,0.0070146326746115557
jul30,1,H1,maker_bid_risk,5,0.01147512208563306,0.013400357555676923,12863,110,0.012413807390632968,0.0085516597994247066
jul30,1,H1,maker_bid_risk,6,0.013400357555676923,0.015733399720887498,12663,146,0.01450844039591296,0.011529653320698097
jul30,1,H1,maker_bid_risk,7,0.015733399720887498,0.018813302186514558,12238,245,0.017183042065036427,0.020019611047556791
jul30,1,H1,maker_bid_risk,8,0.018813302186514558,0.023287739377081729,10915,237,0.020851261833656053,0.021713238662391204
jul30,1,H1,maker_bid_risk,9,0.023287739377081729,0.032022886174003284,10935,396,0.02697819166101352,0.036213991769547323
jul30,1,H1,maker_bid_risk,10,0.032022886174003284,,9360,707,0.056240867532223085,0.07553418803418803
jul30,2,H0,maker_ask_risk,1,,0.0086529969073713131,19313,153,0.0069789192689555524,0.0079221249935276759
jul30,2,H0,maker_ask_risk,2,0.0086529969073713131,0.010688752459692585,16210,169,0.0099412608740509986,0.010425663170882171
jul30,2,H0,maker_ask_risk,3,0.010688752459692585,0.012376665086293093,9253,113,0.011704940906989144,0.012212255484707663
jul30,2,H0,maker_ask_risk,4,0.012376665086293093,0.014217103919513696,17081,260,0.013048632830767419,0.015221591241730578
jul30,2,H0,maker_ask_risk,5,0.014217103919513696,0.015671862107900836,7837,100,0.015115084182456389,0.012759984688018375
jul30,2,H0,maker_ask_risk,6,0.015671862107900836,0.017622154992729677,16672,288,0.016283788219748421,0.017274472168905951
jul30,2,H0,maker_ask_risk,7,0.017622154992729677,0.019539512217388699,6726,101,0.018879663951566952,0.015016354445435623
jul30,2,H0,maker_ask_risk,8,0.019539512217388699,0.02237761299523211,11821,301,0.020239810690878733,0.025463158785212756
jul30,2,H0,maker_ask_risk,9,0.02237761299523211,0.026875781842529256,9598,334,0.024416123112014118,0.034798916440925191
jul30,2,H0,maker_ask_risk,10,0.026875781842529256,,5439,273,0.032806907148232034,0.05019305019305019
jul30,2,H0,maker_bid_risk,1,,0.0090597470168287675,19313,163,0.0073073085965818267,0.0084399109408170667
jul30,2,H0,maker_bid_risk,2,0.0090597470168287675,0.011190470523491758,16210,210,0.010408131021083834,0.012954966070326958
jul30,2,H0,maker_bid_risk,3,0.011190470523491758,0.012956913996732711,9253,108,0.012253950981883832,0.011671890197773696
jul30,2,H0,maker_bid_risk,4,0.012956913996732711,0.014882762621098111,17081,245,0.013660084975470985,0.014343422516246122
jul30,2,H0,maker_bid_risk,5,0.014882762621098111,0.016404871593957093,7837,132,0.015822330422150182,0.016843179788184254
jul30,2,H0,maker_bid_risk,6,0.016404871593957093,0.018445234302778335,16672,308,0.017045074442365121,0.01847408829174664
jul30,2,H0,maker_bid_risk,7,0.018445234302778335,0.020450891430386697,6726,137,0.019760679613246731,0.020368718406184955
jul30,2,H0,maker_bid_risk,8,0.020450891430386697,0.023419241642562594,11821,249,0.021183363727038537,0.021064207765840455
jul30,2,H0,maker_bid_risk,9,0.023419241642562594,0.028122735514333308,9598,226,0.025550942036550211,0.023546572202542197
jul30,2,H0,maker_bid_risk,10,0.028122735514333308,,5439,216,0.034321596872581052,0.039713182570325425
jul30,2,H1,maker_ask_risk,1,,0.0047108376622229109,65512,565,0.0025146907807066651,0.0086243741604591518
jul30,2,H1,maker_ask_risk,2,0.0047108376622229109,0.0065789457014669983,15640,296,0.0055753029514602455,0.018925831202046037
jul30,2,H1,maker_ask_risk,3,0.0065789457014669983,0.0082668647472516898,9557,218,0.0073676917589801218,0.022810505388720311
jul30,2,H1,maker_ask_risk,4,0.0082668647472516898,0.010044267084948877,7327,154,0.0090997576397677197,0.021018152040398527
jul30,2,H1,maker_ask_risk,5,0.010044267084948877,0.01203951850867746,5857,131,0.010975516625239476,0.022366399180467816
jul30,2,H1,maker_ask_risk,6,0.01203951850867746,0.01447375988219135,4818,119,0.013175305101461093,0.024699045246990452
