schema_version,session_id,segment_id,connection_epoch_id,evidence_label,formal_eligible,horizon_ms,primary_selection_eligible,segment_epoch_start_ns,segment_epoch_end_ns,first_grid_ts_ns,last_grid_ts_ns,nominal_calendar_grid_count,quality_eligible_grid_count,quality_eligible_calendar_exposure_fraction,fully_identified_binary_count,fully_identified_binary_endpoint_fraction,interval_likelihood_eligible_count,interval_likelihood_eligible_fraction,complete_60s_block_count,support_projection_row_count,support_projection_sha256
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,50,true,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179968,0.999972218055,179968,0.999972218055,29,179973,92c9651ecfa70144230f23445ed0c60a8bad65cf71d8fae715fc8ac7513aaed2
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,100,true,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179963,0.999944436110,179963,0.999944436110,29,179973,a4b719bb9d2abe9ae4d5803d0b46d6d354742cfa8f9d1b66cb8988cc8b2a2b32
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,250,true,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179948,0.999861090275,179948,0.999861090275,29,179973,7cabd002418beea1911a1ab3f8acd918f11e21952e852ce71743bbfa529dd86d
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,500,true,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179923,0.999722180549,179923,0.999722180549,29,179973,751363c21112b97c9f1b82fb83684c7e652fb07e7f9de306282cbbfc31c6f136
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,1000,false,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179873,0.999444361099,179873,0.999444361099,29,179973,0c1016ad1ae8c84c79a0501d56a17a8e43828f93ae61d37f1992143549a84c22
skhynix_stage_h0a_support_v1,aug03,segment_0001,segment_0001:epoch_0,historical_transfer,false,2000,false,1785713591073520586,1785715390800529138,1785713591080000000,1785715390800000000,179973,179973,1.000000000000,179773,0.998888722197,179773,0.998888722197,29,179973,55556a86c8f4402b9ec7792a23ba98966f58a69ed7a6a4c83aa3a58617b8c351
skhynix_stage_h0a_support_v1,aug03,segment_0002,segment_0002:epoch_0,historical_transfer,false,50,true,1785715391957462717,1785717191685398938,1785715391960000000,1785717191680000000,179973,179973,1.000000000000,179968,0.999972218055,179968,0.999972218055,29,179973,8bcd29dde8fca0107553edeccae4cffbf8a0c1f52409f8da34dfed2e125671ba
skhynix_stage_h0a_support_v1,aug03,segment_0002,segment_0002:epoch_0,historical_transfer,false,100,true,1785715391957462717,1785717191685398938,1785715391960000000,1785717191680000000,179973,179973,1.000000000000,179963,0.999944436110,179963,0.999944436110,29,179973,6d80d2e8fb9d70de856cbb43b4629f5a5e1bc3a78438fe70e81704ac61bfb19a
skhynix_stage_h0a_support_v1,aug03,segment_0002,segment_0002:epoch_0,historical_transfer,false,250,true,1785715391957462717,1785717191685398938,1785715391960000000,1785717191680000000,179973,179973,1.000000000000,179948,0.999861090275,179948,0.999861090275,29,179973,48d9ccde6b1bdaefcc689e34448bd0ffb3f8199dc783b0bc22189d69275919ce
skhynix_stage_h0a_support_v1,aug03,segment_0002,segment_0002:epoch_0,historical_transfer,false,500,true,1785715391957462717,1785717191685398938,1785715391960000000,1785717191680000000,179973,179973,1.000000000000,179923,0.999722180549,179923,0.999722180549,29,179973,d773384669898554a6c773b1049bfa89d8bfffb005a15932744ea7475aa38ebc
skhynix_stage_h0a_support_v1,aug03,segment_0002,segment_0002:epoch_0,historical_transfer,false,1000,false,1785715391957462717,1785717191685398938,1785715391960000000,1785717191680000000,179973,179973,1.000000000000,179873,0.999444361099,179873,0.999444361099,29,179973,0571979e77009f26baf55893417828a0b4604b65e42a6ba48ccdec42d683967a
