claim_id,rejected_current_claim,related_source_line,current_status,required_future_evidence,required_response,notes
fill_probability_proof,fill_probability_proof,private_order_response_source_line,rejected_current_claim,separate_private_order_source_and_metric_validation,reject_claim,Contract is design-only.
queue_priority_proof,queue_priority_or_exact_queue_position_proof,replay_lifecycle_semantics_source_line,rejected_current_claim,separate_queue_semantics_validation,reject_claim,Exact queue position remains rejected.
post_only_reject_behavior_proof,post_only_reject_behavior_proof,private_order_response_source_line,rejected_current_claim,separate_reject_taxonomy_source_and_metric_validation,reject_claim,Contract is design-only.
cancel_fill_race_proof,cancel_fill_race_proof,replay_lifecycle_semantics_source_line,rejected_current_claim,separate_event_ordering_and_reconciliation_validation,reject_claim,Replay/order context alone insufficient.
fees_rebates_spread_capture_proof,fees_rebates_spread_capture_proof,economics_fee_rebate_source_line,rejected_current_claim,separate_economics_settlement_source_arithmetic_conversion_validation,reject_claim,Economics contract is design-only.
inventory_lifecycle_proof,inventory_lifecycle_proof,account_inventory_source_line,rejected_current_claim,separate_account_state_source_and_conservation_validation,reject_claim,Order fills alone insufficient.
real_order_lifecycle_proof,real_order_lifecycle_proof,private_order_response_source_line,rejected_current_claim,separate_private_order_lifecycle_source_and_terminal_consistency_validation,reject_claim,Contract is design-only.
pnl_proof,pnl_proof,all,rejected_current_claim,separate_accepted_economics_execution_and_inventory_reconciliation,reject_claim,No PnL proof.
maker_execution_viability_proof,maker_execution_viability_proof,all,rejected_current_claim,separate_execution_evidence_and_strategy_acceptance,reject_claim,No maker viability proof.
live_readiness,live_default_on_or_tiny_live_readiness,all,rejected_current_claim,separate_live_safety_and_strategy_acceptance,reject_claim,No live readiness.
deployment_promotion,deployable_or_promotable,all,rejected_current_claim,separate_deployment_acceptance,reject_claim,No deployment or promotion.
future_label_as_decision,future_label_as_strategy_shadow_case_parameter_live_or_deployment_criterion,all,rejected_current_claim,separate_strategy_design_and_qa,reject_claim,Future labels cannot drive decisions here.
