decision_seq,decision_ts,joined_raw_seq,joined_l2book_local_ts,joined_l2book_event_ts,join_age_ms,future_join,missing_join,reconnect_recovery_crossed,best_bid_px,best_ask_px
0,1780044677646155111,1,1780044677646155111,1780044677425000000,0.000000,false,false,false,73681.0,73682.0
1,1780044678146155111,4,1780044677807985266,1780044677425000000,338.169845,false,false,false,73681.0,73682.0
2,1780044678646155111,5,1780044678218245962,1780044677954000000,427.909149,false,false,false,73681.0,73682.0
3,1780044679146155111,5,1780044678218245962,1780044677954000000,927.909149,false,false,false,73681.0,73682.0
4,1780044679646155111,8,1780044679402174259,1780044679056000000,243.980852,false,false,false,73681.0,73682.0
5,1780044680146155111,9,1780044679910814641,1780044679603000000,235.340470,false,false,false,73681.0,73682.0
6,1780044680646155111,10,1780044680482190506,1780044680136000000,163.964605,false,false,false,73681.0,73682.0
7,1780044681146155111,11,1780044680977280655,1780044680687000000,168.874456,false,false,false,73681.0,73682.0
8,1780044681646155111,11,1780044680977280655,1780044680687000000,668.874456,false,false,false,73681.0,73682.0
9,1780044682146155111,14,1780044682037374894,1780044681727000000,108.780217,false,false,false,73681.0,73682.0
10,1780044682646155111,14,1780044682037374894,1780044681727000000,608.780217,false,false,false,73681.0,73682.0
11,1780044683146155111,16,1780044682674223972,1780044682236000000,471.931139,false,false,false,73681.0,73682.0
12,1780044683646155111,18,1780044683171032317,1780044682767000000,475.122794,false,false,false,73674.0,73675.0
13,1780044684146155111,22,1780044683943000817,1780044683314000000,203.154294,false,false,false,73661.0,73662.0
14,1780044684646155111,22,1780044683943000817,1780044683314000000,703.154294,false,false,false,73661.0,73662.0
15,1780044685146155111,25,1780044684802114410,1780044684390000000,344.040701,false,false,false,73661.0,73662.0
16,1780044685646155111,26,1780044685239606141,1780044684947000000,406.548970,false,false,false,73661.0,73662.0
17,1780044686146155111,29,1780044685818237748,1780044685484000000,327.917363,false,false,false,73661.0,73662.0
18,1780044686646155111,30,1780044686342768592,1780044686009000000,303.386519,false,false,false,73661.0,73662.0
19,1780044687146155111,32,1780044686866941025,1780044686535000000,279.214086,false,false,false,73661.0,73662.0
20,1780044687646155111,35,1780044687405511801,1780044687087000000,240.643310,false,false,false,73661.0,73662.0
21,1780044688146155111,37,1780044687949741697,1780044687648000000,196.413414,false,false,false,73661.0,73662.0
22,1780044688646155111,38,1780044688519221387,1780044688186000000,126.933724,false,false,false,73661.0,73662.0
23,1780044689146155111,38,1780044688519221387,1780044688186000000,626.933724,false,false,false,73661.0,73662.0
24,1780044689646155111,38,1780044688519221387,1780044688186000000,1126.933724,false,false,false,73661.0,73662.0
25,1780044690146155111,43,1780044690131605108,1780044689820000000,14.550003,false,false,false,73661.0,73662.0
26,1780044690646155111,43,1780044690131605108,1780044689820000000,514.550003,false,false,false,73661.0,73662.0
27,1780044691146155111,45,1780044690664077367,1780044690390000000,482.077744,false,false,false,73661.0,73662.0
