session,fold_id,model,train_first_block,train_last_block,test_first_block,test_last_block,purge_ns,embargo_ns,train_row_count,test_row_count,ask_test_rows,bid_test_rows,converged,iterations,objective,ask_interval_log_loss,bid_interval_log_loss,session_interval_log_loss,ask_brier,bid_brier,session_brier,ask_binary_log_loss,bid_binary_log_loss,session_binary_log_loss
jul30,1,H0,1785369300000000000,1785372960000000000,1785373020000000000,1785374160000000000,500000000,500000000,719902,239900,119950,119950,true,62,89853.433228189024,0.10806507794974754,0.11529074102960334,0.11167790948967543,0.015948454209625502,0.017062443870271529,0.016505449039948515,0.081636664900680361,0.086541747689297621,0.084089206294988991
jul30,1,H1,1785369300000000000,1785372960000000000,1785373020000000000,1785374160000000000,500000000,500000000,719902,239900,119950,119950,true,167,85772.890326687979,0.10389855088964138,0.10956821131532603,0.1067333811024837,0.016182047134596554,0.017063177591196393,0.016622612362896472,0.077487244520532489,0.080841999162006031,0.079164621841269267
jul30,2,H0,1785369300000000000,1785374160000000000,1785374220000000000,1785375420000000000,500000000,500000000,959902,239900,119950,119950,true,53,116612.47564253336,0.11833023109531528,0.11257551327972147,0.11545287218751837,0.017053817934596274,0.016299421364755678,0.016676619649675976,0.085742505485515527,0.083324471013181786,0.084533488249348657
jul30,2,H1,1785369300000000000,1785374160000000000,1785374220000000000,1785375420000000000,500000000,500000000,959902,239900,119950,119950,true,195,111359.15231540297,0.1217099967769595,0.11448576566679773,0.11809788122187861,0.017068737153670847,0.016556586040435028,0.016812661597052938,0.08912061335627923,0.085238901495427025,0.087179757425853127
jul30,3,H0,1785369300000000000,1785375420000000000,1785375480000000000,1785376680000000000,500000000,500000000,1199902,239900,119950,119950,true,45,144303.92516690891,0.10800016608545832,0.12634366318886917,0.11717191463716374,0.015240113551776636,0.017357936810006361,0.016299025180891498,0.078163172314881874,0.087377285159917828,0.082770228737399851
jul30,3,H1,1785369300000000000,1785375420000000000,1785375480000000000,1785376680000000000,500000000,500000000,1199902,239900,119950,119950,true,197,138962.36545728031,0.11789924893062645,0.12638740866382175,0.1221433287972241,0.015402482199444536,0.017133340441146758,0.016267911320295647,0.088056370164426426,0.087383530595276121,0.08771995037985128
jul30,4,H0,1785369300000000000,1785376680000000000,1785376740000000000,1785377880000000000,500000000,500000000,1439902,239900,119950,119950,true,44,172384.00937239738,0.1003366623227902,0.11374502890983623,0.10704084561631322,0.014028602523519569,0.01649400260584407,0.01526130256468182,0.073383943870836008,0.083769137470484464,0.078576540670660236
jul30,4,H1,1785369300000000000,1785376680000000000,1785376740000000000,1785377880000000000,500000000,500000000,1439902,239900,119950,119950,true,126,167217.37227074173,0.10175589280360163,0.11237422352809853,0.10706505816585007,0.014413554161271705,0.016758634956182517,0.015586094558727111,0.07480450772441212,0.082408318634260541,0.078606413179336337
jul30,5,H0,1785369300000000000,1785377880000000000,1785377940000000000,1785379140000000000,500000000,500000000,1679902,239900,119950,119950,true,42,198049.69774106352,0.099323026477587215,0.10712262308337366,0.10322282478048043,0.013960694686717103,0.015488844365105713,0.014724769525911407,0.072978848876216015,0.079486972776789025,0.07623291082650252
jul30,5,H1,1785369300000000000,1785377880000000000,1785377940000000000,1785379140000000000,500000000,500000000,1679902,239900,119950,119950,true,121,192723.23666669984,0.099436925469053736,0.10268471944656847,0.1010608224578111,0.013973594964148035,0.015235048699744486,0.01460432183194626,0.073087024950069121,0.075053556097572985,0.074070290523821053
jul30,6,H0,1785369300000000000,1785379140000000000,1785379200000000000,1785380400000000000,500000000,500000000,1919902,239900,119950,119950,true,46,222812.53674038229,0.09538838770063833,0.10130541648105161,0.09834690209084497,0.013322869353850622,0.014053782189565675,0.013688325771708148,0.070839651377166843,0.073826029090299047,0.072332840233732945
jul30,6,H1,1785369300000000000,1785379140000000000,1785379200000000000,1785380400000000000,500000000,500000000,1919902,239900,119950,119950,true,109,216829.12912469479,0.093398053984092982,0.098117968779332154,0.095758011381712568,0.013354989736393385,0.014126439693452493,0.013740714714922938,0.068824489787189927,0.070630225758707324,0.069727357772948625
jul30,7,H0,1785369300000000000,1785380400000000000,1785380460000000000,1785381600000000000,500000000,500000000,2159902,239900,119950,119950,true,44,246435.28958059216,0.083721668225670856,0.092531237808505709,0.088126453017088283,0.012189993851305439,0.013631922360527052,0.012910958105916245,0.065908479243441079,0.071979883762427671,0.068944181502934382
jul30,7,H1,1785369300000000000,1785380400000000000,1785380460000000000,1785381600000000000,500000000,500000000,2159902,239900,119950,119950,true,98,239819.16227457911,0.08271241152934912,0.088561853074050831,0.085637132301699975,0.01216856819349911,0.013470492136333164,0.012819530164916137,0.06491463444423691,0.068027105649367925,0.066470870046802411
jul30,8,H0,1785369300000000000,1785381600000000000,1785381660000000000,1785382860000000000,500000000,500000000,2399902,239900,119950,119950,true,38,267572.05392214347,0.097929926812209786,0.10039827707938441,0.099164101945797098,0.013575977437306866,0.014268424408116185,0.013922200922711524,0.072079031155853429,0.074937188786419445,0.073508109971136437
jul30,8,H1,1785369300000000000,1785381600000000000,1785381660000000000,1785382860000000000,500000000,500000000,2399902,239900,119950,119950,true,96,260333.98524402565,0.097336424999865764,0.095408115114617068,0.096372270057241416,0.013562582664600992,0.01402956344902841,0.013796073056814701,0.07148277702872001,0.069952043609725525,0.070717410319222768
jul30,9,H0,1785369300000000000,1785382860000000000,1785382920000000000,1785383580000000000,500000000,500000000,2639902,143900,71950,71950,true,38,291285.04395796865,0.084529172221609314,0.1070588216032205,0.095793996912414914,0.011844883513415465,0.015228913950081021,0.013536898731748244,0.063854942813283563,0.079763472043395456,0.071809207428339517
jul30,9,H1,1785369300000000000,1785382860000000000,1785382920000000000,1785383580000000000,500000000,500000000,2639902,143900,71950,71950,true,96,283376.38551717793,0.084315201001465459,0.10531182177442466,0.094813511387945054,0.011872913517658309,0.015436085476449915,0.013654499497054112,0.063649789370125942,0.078028541646933181,0.070839165508529561
aug04,1,H0,1785805140000000000,1785808680000000000,1785808740000000000,1785809880000000000,500000000,500000000,719902,239900,119950,119950,true,46,63742.452292148882,0.08814996232517984,0.094168776265106058,0.091159369295142956,0.012508717331847094,0.013684247339800766,0.013096482335823931,0.067962066679725791,0.072676716474167222,0.070319391576946499
aug04,1,H1,1785805140000000000,1785808680000000000,1785808740000000000,1785809880000000000,500000000,500000000,719902,239900,119950,119950,true,105,60310.51020650797,0.094224981664986621,0.10531205612496541,0.09976851889497601,0.012598527859633477,0.01501373895282189,0.013806133406227683,0.074029977155422408,0.083813739649867283,0.078921858402644846
aug04,2,H0,1785805140000000000,1785809880000000000,1785809940000000000,1785811080000000000,500000000,500000000,959902,239900,119950,119950,true,45,85580.811492825655,0.094288929060401594,0.087467968601611837,0.090878448831006708,0.012941266264107625,0.012084067110970582,0.012512666687539104,0.070060134135725691,0.066825941986987311,0.068443038061356501
aug04,2,H1,1785805140000000000,1785809880000000000,1785809940000000000,1785811080000000000,500000000,500000000,959902,239900,119950,119950,true,96,82271.743230966225,0.091355753345028934,0.086395068839017902,0.088875411092023418,0.012844949801656545,0.011986160027319621,0.012415554914488083,0.067115033311525907,0.065757823031094537,0.066436428171310222
aug04,3,H0,1785805140000000000,1785811080000000000,1785811140000000000,1785812220000000000,500000000,500000000,1199902,227900,113950,113950,true,41,107112.31324242394,0.077978734036481548,0.075450839356106844,0.076714786696294196,0.010341161689786707,0.010094751670472239,0.010217956680129474,0.061349800667534975,0.059837432755611146,0.06059361671157306
aug04,3,H1,1785805140000000000,1785811080000000000,1785811140000000000,1785812220000000000,500000000,500000000,1199902,227900,113950,113950,true,83,103313.08270720053,0.070602768939295499,0.07373621790988244,0.072169493424588976,0.010263723194849868,0.0105525045763193,0.010408113885584585,0.053971176889102856,0.058124110234797743,0.0560476435619503
