schema_version,task_id,run_id,event_id,decision_id,client_order_id,exchange_order_id,lead_venue,lead_symbol,execution_venue,execution_symbol,binance_event_ts_ms,binance_receive_ts_ms,hyperliquid_event_ts_ms,hyperliquid_receive_ts_ms,decision_ts_ms,binance_source_age_ms,hyperliquid_source_age_ms,binance_bid_top5_px,binance_ask_top5_px,binance_bid_top5_qtys,binance_ask_top5_qtys,hyperliquid_bid_top5_px,hyperliquid_ask_top5_px,hyperliquid_bid_top5_qtys,hyperliquid_ask_top5_qtys,tick_size,signal_contract_id,signal_score,signal_abs_z,signal_status,warning_bucket,fair_mid_px,side,quote_px,edge_ticks,required_edge_ticks,quote_type,time_in_force,post_only,action,block_reason,lifecycle_event_type,lifecycle_sequence,submit_local_ts_ms,exchange_ack_ts_ms,resting_start_ts_ms,reject_code,reject_reason,cancel_request_ts_ms,cancel_ack_ts_ms,fill_ts_ms,fill_qty_btc,fill_px,remaining_qty_btc,fee_usdc,rebate_usdc,inventory_delta_btc,realized_pnl_usdc,markout_1000ms_ticks,order_endpoint_called,private_endpoint_called,credential_read
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_001,synthetic_decision_1,,,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,decision,0,,,,,,,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_002,synthetic_decision_1,cl_synth_1,ex_synth_1,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,submit_ack,2,1000012,1000020,,,,,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_003,synthetic_decision_1,cl_synth_1,ex_synth_1,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,resting,3,1000012,1000020,1000021,,,,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_004,synthetic_decision_1,cl_synth_1,ex_synth_1,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,cancel_requested,4,1000012,1000020,1000021,,,1000080,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_005,synthetic_decision_1,cl_synth_1,ex_synth_1,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,cancel_ack,5,1000012,1000020,1000021,,,1000080,1000095,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_006,synthetic_decision_1,cl_synth_2,,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,post_only_reject,3,1001012,1001020,,post_only_would_cross,post_only_reject,,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_007,synthetic_decision_1,cl_synth_3,ex_synth_3,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,partial_fill,6,1002012,1002020,1002021,,,,,1002500,0.001,60000,0.001,0.01,0,0.001,0,2,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_008,synthetic_decision_1,cl_synth_3,ex_synth_3,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,fill,7,1002012,1002020,1002021,,,,,1002600,0.001,60000,0,0.01,0,0.001,0.5,5,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,event_009,synthetic_decision_1,,,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,block,False,60006,none,0,0,1.5,none,none,True,block,signal_below_threshold,blocked,0,,,,,,,,,,,,,,,,,False,False,False
cross_exchange_mvp_audit_replay_contract_v1,0625T006,synthetic_lifecycle_run,bad_event_001,,,,binance,BTCUSDT,hyperliquid,BTC,1000000,1000005,1000000,1000006,1000010,5,4,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,60000|59999|59998|59997|59996,60001|60002|60003|60004|60005,1|1|1|1|1,1|1|1|1|1,1,binance_lead_composite,1.25,1.25,pass,False,60006,buy,60000,6,1.5,touch,Alo,True,would_submit,,decision,0,,,,,,,,,,,,,,,,,False,False,True
