capture_id,research_date,role,row_count,valid_row_count,valid_fraction,obi_mean,obi_std,obi_unique_rounded_6dp,p01,p05,p25,p50,p75,p95,p99,informative,exclusion_reason
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,72000,72000,1.0,-0.04214558319237484,6.938893903907228e-18,1,-0.04214558319237483,-0.04214558319237483,-0.04214558319237483,-0.04214558319237483,-0.04214558319237483,-0.04214558319237483,-0.04214558319237483,false,low_OBI_variation
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,17998,17998,1.0,0.02823117203397782,0.574213919727982,15317,-0.9776040818167132,-0.9027698582551974,-0.478184190331579,0.06922159486533959,0.5477286018200118,0.8494889704199786,0.9308402980481436,true,
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,17998,17998,1.0,-0.0039013072367151693,0.5050106573924449,15960,-0.9141672374217811,-0.7929451261727798,-0.4297784393778961,-8.657714757055649e-09,0.4183673499558883,0.7950729438984553,0.9187749884178118,true,
2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,17998,17998,1.0,0.03553559029072568,0.5504968348748125,17024,-0.9228658097501465,-0.8281970230879583,-0.4590469077227678,0.05962714280368918,0.5332987578561781,0.8438154769303894,0.9241075929901962,true,
2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,17998,17998,1.0,-0.0021775887294407928,0.5372579803324045,16832,-0.912790971663307,-0.8196905127967965,-0.4764612418299767,-0.004082730863911312,0.46996449627892667,0.8316513285951943,0.9307247881273142,true,
2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,17997,17997,1.0,-0.006554942735256583,0.5631725183850513,17186,-0.9224597919739507,-0.8455864279825782,-0.5170916858587956,-0.019047619375917216,0.5010087135691433,0.8558727454367255,0.9505782298884895,true,
2026-07-30_1b18a29f3daf,2026-07-30,historical_method_development,17998,17998,1.0,0.6728571397491966,2.220446049250313e-16,1,0.6728571397491964,0.6728571397491964,0.6728571397491964,0.6728571397491964,0.6728571397491964,0.6728571397491964,0.6728571397491964,false,low_OBI_variation
2026-07-30_c655ea10171f,2026-07-30,historical_method_development,17998,17998,1.0,0.0013209399111314374,0.59753451966923,17063,-0.9448868699645938,-0.8791353673708179,-0.5599895913086284,3.4373046001983008e-09,0.5553050652877498,0.8836709356974508,0.9473910064976632,true,
2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,17999,17999,1.0,0.007362746606332606,0.5978784143943178,16982,-0.9483686208534884,-0.8790475651779573,-0.5416164545727342,0.0027700697118603857,0.5645844641089495,0.8910880584318174,0.9507350575086644,true,
2026-07-30_47309d2a7046,2026-07-30,historical_method_development,17998,17998,1.0,-0.0414086132542704,0.5905698853732477,16918,-0.9549771064784375,-0.8820684254488323,-0.5925211160795704,-0.06794086952167909,0.49713668193987676,0.8709130124225102,0.9472536516744599,true,
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,17998,17998,1.0,0.0149403149679169,0.4722820785297939,13388,-0.9400795724791398,-0.7667234871119752,-0.35459379690773163,0.0284701276869807,0.39114507341146665,0.7555149594837823,0.8958034191786496,true,
2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,17998,17998,1.0,-0.02582902903116113,0.4950551008801701,15683,-0.9614683046461331,-0.7981656623618775,-0.43640760693428077,-0.03388767729281089,0.38030673191801023,0.7746413788467064,0.9229290043517991,true,
2026-08-03_098332acc16a,2026-08-03,historical_method_development,17998,17998,1.0,0.10576922918464013,1.3877787807814457e-17,1,0.10576922918464012,0.10576922918464012,0.10576922918464012,0.10576922918464012,0.10576922918464012,0.10576922918464012,0.10576922918464012,false,low_OBI_variation
2026-08-03_b7b76aed76b8,2026-08-03,historical_method_development,17998,17998,1.0,0.8583473836558435,1.1102230246251565e-16,1,0.8583473836558436,0.8583473836558436,0.8583473836558436,0.8583473836558436,0.8583473836558436,0.8583473836558436,0.8583473836558436,false,low_OBI_variation
2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,17998,17998,1.0,0.03017202820599453,0.5697013930215723,15813,-0.9209283587908759,-0.8314933048235955,-0.49781464599039704,0.05906313039767737,0.5591782859888149,0.8507785001693204,0.9298080983366023,true,
2026-08-03_3a405386e85b,2026-08-03,historical_method_development,17999,17999,1.0,0.029967241238414665,0.576944510965774,14943,-0.9222798379190829,-0.8439766668719609,-0.5162596203706352,0.06467659311884612,0.5661882162435701,0.8499317956897614,0.9258689136892274,true,
