capture_id,research_date,role,offline_run_count,detected_run_count,run_recall,delay_p50_ms,delay_p90_ms,late_detection_fraction,false_entry_count,state_flicker_count,online_ood_fraction
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,13900,7734,0.5564028776978417,0.0,400.0,0.38453581587794156,19,0,0.00019444444444444443
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,6702,1936,0.28886899433005075,0.0,400.0,0.6709710743801653,1,0,0.002333592621402378
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,6514,2187,0.3357384095793675,0.0,400.0,0.6401463191586648,0,0,0.003111456828536504
2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,6758,2005,0.29668540988458125,0.0,400.0,0.6967581047381546,0,0,0.00044449383264807203
2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,6654,2030,0.30507965133754134,0.0,400.0,0.6862068965517242,0,0,0.001333481497944216
2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,6600,1990,0.3015151515151515,0.0,400.0,0.6814070351758794,2,0,0.000666740748972108
2026-07-30_1b18a29f3daf,2026-07-30,historical_method_development,3754,2111,0.5623335109216835,0.0,400.0,0.42396968261487444,2,0,0.001222358039782198
2026-07-30_c655ea10171f,2026-07-30,historical_method_development,6861,1880,0.2740125346159452,0.0,400.0,0.7143617021276596,1,0,0.003222580286698522
2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,6935,1838,0.26503244412400867,0.0,400.0,0.7274211099020674,0,0,0.0006666666666666666
2026-07-30_47309d2a7046,2026-07-30,historical_method_development,6818,1814,0.2660604282780874,0.0,400.0,0.7293274531422271,0,0,0.005445049449938882
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,6462,1882,0.29124110182606006,0.0,400.0,0.6540913921360255,0,0,0.00022224691632403602
2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,6880,1814,0.2636627906976744,0.0,400.0,0.7309812568908489,0,0,0.00055561729081009
2026-08-03_098332acc16a,2026-08-03,historical_method_development,3568,1961,0.5496076233183856,0.0,400.0,0.38041815400305967,2,0,0.00022224691632403602
2026-08-03_b7b76aed76b8,2026-08-03,historical_method_development,3685,2053,0.557123473541384,0.0,400.0,0.39844130540672185,10,0,0.000333370374486054
2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,7171,1593,0.22214474968623624,0.0,400.0,0.7696170747018205,0,0,0.006445160573397044
2026-08-03_3a405386e85b,2026-08-03,historical_method_development,6976,1701,0.24383600917431192,0.0,400.0,0.7413286302175192,0,0,0.002111111111111111
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,6744,1745,0.2587485172004745,0.0,400.0,0.6790830945558739,0,0,0.00022224691632403602
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,6674,1784,0.2673059634402158,0.0,400.0,0.6692825112107623,0,0,0.00388932103567063
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,6571,1772,0.26966976107137425,0.0,400.0,0.6534988713318285,1,0,0.000333370374486054
2026-08-03_d8e3322d6f2c,2026-08-03,historical_method_development,1813,935,0.5157198014340871,0.0,0.0,0.1572192513368984,4,0,0.00022222222222222223
2026-08-04_a6a45be8a495,2026-08-04,historical_method_development,28359,6792,0.23950068761239818,0.0,400.0,0.7572143698468787,2,0,8.333564821245035e-05
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,52244,15085,0.28874129086593675,0.0,400.0,0.6633079217765993,2,0,4.1667245378408035e-05
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,50771,16435,0.3237084162218589,0.0,400.0,0.6170368116823851,3,0,0.00023611439047764552
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,51963,15604,0.3002905913823297,0.0,400.0,0.6648295308895155,5,0,0.00015277989972082946
2026-08-26_164de1d394f7,2026-08-26,historical_no_refit_replay,27233,8018,0.2944222083501634,0.0,400.0,0.6673734098278873,2,0,0.00021333902237392996
2026-08-26_a055aa6c7a87,2026-08-26,historical_no_refit_replay,3390,1793,0.5289085545722714,0.0,400.0,0.20245398773006135,3,0,5.333475559348249e-05
2026-08-26_7e4d0a9ed099,2026-08-26,historical_no_refit_replay,26104,8499,0.32558228623965674,0.0,400.0,0.6204259324626427,1,0,0.00013333333333333334
2026-08-26_20fa36ad4d76,2026-08-26,historical_no_refit_replay,22100,8547,0.3867420814479638,0.0,400.0,0.4892944892944893,0,0,0.0006933518227152724
2026-08-27_ba5ebc09e758,2026-08-27,historical_no_refit_replay,27424,7957,0.2901473162193699,0.0,400.0,0.6639436973733819,0,0,0.00010666951118696498
