model_id,bucket_type,bucket,row_count,direction_hit_rate_nonzero,mae_ticks,rmse_ticks,correlation,mean_signed_move_ticks,mean_prediction_ticks
binance_lead_regression,binance_source_age_bucket,binance_source_age_high,3558,0.7266666667,11.3529192442,25.8308292416,0.1186226635,4.0022484542,0.2377425935
binance_lead_regression,binance_source_age_bucket,binance_source_age_low,3677,0.7080890973,13.3533066451,33.8267714673,0.1508230021,4.1555615991,0.2481710135
binance_lead_regression,binance_source_age_bucket,binance_source_age_mid,3469,0.7112375533,11.3007899694,26.6177983055,0.0875541134,3.5572211012,0.2150600891
binance_lead_regression,basis_bucket,basis_high,3478,0.6736227045,17.2283388146,37.6979055345,0.1096912515,5.953133985,0.4528565708
binance_lead_regression,basis_bucket,basis_low,4205,0.7710651828,10.6099995986,27.3926430517,0.0858078298,3.2413793103,-0.6653685525
binance_lead_regression,basis_bucket,basis_mid,3021,0.745302714,7.9976911284,17.651625376,0.1637918114,2.490897054,1.2337954397
binance_lead_regression,observed_regime,high_activity_liquidity,3587,0.6410788382,21.4756308408,43.2266570231,0.1261651346,6.5347086702,0.0544505365
binance_lead_regression,observed_regime,low_activity_liquidity,3550,0.8353221957,6.7365460647,14.6158478878,0.2023968839,2.6845070423,0.2912150952
binance_lead_regression,observed_regime,normal_activity_liquidity,3567,0.843537415,7.7792007997,21.0357163366,0.1169788753,2.4922904401,0.3575353942
basis_regression,binance_source_age_bucket,binance_source_age_high,3558,0.7373333333,17.8764726729,24.7866904356,0.4167425237,5.7560427206,-2.3792559578
basis_regression,binance_source_age_bucket,binance_source_age_low,3677,0.7596717468,19.4289560497,30.1071783239,0.4821720505,8.1125917868,0.0310338544
basis_regression,binance_source_age_bucket,binance_source_age_mid,3469,0.7283072546,18.0132973667,25.6215232881,0.3970200613,5.6615739406,-2.0536530289
basis_regression,basis_bucket,basis_high,3478,0.7378964942,23.2947339797,31.6748275328,0.6521163979,10.9186313974,20.1232113032
basis_regression,basis_bucket,basis_low,4205,0.9650238474,20.7340983534,27.9196701006,0.2361440991,7.614744352,-18.2211805891
basis_regression,basis_bucket,basis_mid,3021,0.4634655532,9.7076866509,18.455151414,-0.0273028149,-0.0148957299,-2.9274637894
basis_regression,observed_regime,high_activity_liquidity,3587,0.6957123098,26.8966128159,37.8405251403,0.7615879147,12.4839698913,17.04023776
basis_regression,observed_regime,low_activity_liquidity,3550,0.7875894988,13.7410929469,17.9288661626,0.4317452565,2.7971830986,-10.3923936432
basis_regression,observed_regime,normal_activity_liquidity,3567,0.8548752834,14.6548527048,20.6350589121,0.5583416194,4.2724978974,-11.1314098639
binance_lead_plus_basis_regression,binance_source_age_bucket,binance_source_age_high,3558,0.748,17.7499828172,24.7189559631,0.4192560728,5.9949409781,-2.2938242288
binance_lead_plus_basis_regression,binance_source_age_bucket,binance_source_age_low,3677,0.776084408,19.3187863059,30.0693942599,0.4841720197,8.2839271145,0.0692085809
binance_lead_plus_basis_regression,binance_source_age_bucket,binance_source_age_mid,3469,0.7439544808,17.9047190045,25.5998117858,0.397883525,5.8979533007,-1.988641266
binance_lead_plus_basis_regression,basis_bucket,basis_high,3478,0.7378964942,23.1864513364,31.6362916069,0.6536020772,10.9186313974,20.0053382959
binance_lead_plus_basis_regression,basis_bucket,basis_low,4205,0.9650238474,20.6900464481,27.9254293099,0.2392973923,7.614744352,-18.2669893893
binance_lead_plus_basis_regression,basis_bucket,basis_mid,3021,0.5323590814,9.485919654,18.301912785,0.0165629007,0.7464415756,-2.506262634
binance_lead_plus_basis_regression,observed_regime,high_activity_liquidity,3587,0.7019363762,26.7697612477,37.7835049335,0.7598479829,12.679119041,16.8497258532
binance_lead_plus_basis_regression,observed_regime,low_activity_liquidity,3550,0.8090692124,13.6044778098,17.7843300147,0.4400503652,3.0929577465,-10.2092706779
binance_lead_plus_basis_regression,observed_regime,normal_activity_liquidity,3567,0.8888888889,14.5730464022,20.7004596395,0.5478401466,4.4266890945,-10.9342862167
