dataset,feature,maximum_absolute_z,fraction_above_5,fraction_above_8
blocked_validation,obi_strength,2.057844690644614,0.0,0.0
blocked_validation,l1_obi_strength,2.764555890865208,0.0,0.0
blocked_validation,l1_l3_obi_strength,5.903300590362125,0.0025101976780671476,0.0
blocked_validation,level_imbalance_dispersion,2.222036236293585,0.0,0.0
blocked_validation,log_total_depth,7.063224593880719,0.0012550988390335738,0.0
blocked_validation,same_side_depth_concentration,3.148257213759159,0.0,0.0
blocked_validation,opposite_side_depth_concentration,3.001957857876816,0.0,0.0
blocked_validation,log1p_spread_ticks,2.618831449182674,0.0,0.0
blocked_validation,aligned_book_flow,1.5570836043864704,0.0,0.0
blocked_validation,aligned_trade_flow,1.9721552821079436,0.0,0.0
blocked_validation,aligned_trailing_midpoint_1s,8.386263965382343,0.00031377470975839345,0.00031377470975839345
blocked_validation,aligned_trailing_midpoint_5s,7.435613589448683,0.00031377470975839345,0.0
blocked_validation,log1p_trailing_abs_midpoint_5s,5.560088544338428,0.0006275494195167869,0.0
blocked_validation,log1p_source_age_ms,3.015716637972497,0.0,0.0
blocked_validation,no_new_information,10.80824601025441,0.004392845936617509,0.004392845936617509
blocked_validation,log1p_depth_update_count,4.76423737254925,0.0,0.0
blocked_validation,side_positive,1.1024448355290195,0.0,0.0
blocked_validation,utc_time_sin,1.698059931712968,0.0,0.0
blocked_validation,utc_time_cos,0.8286768020910577,0.0,0.0
no_refit_replay,obi_strength,2.0614606744702444,0.0,0.0
no_refit_replay,l1_obi_strength,2.7258253360158995,0.0,0.0
no_refit_replay,l1_l3_obi_strength,5.719401946723559,0.0029839612085042896,0.0
no_refit_replay,level_imbalance_dispersion,2.104780205868652,0.0,0.0
no_refit_replay,log_total_depth,6.123573080771405,0.002237970906378217,0.0
no_refit_replay,same_side_depth_concentration,3.1439207047144504,0.0,0.0
no_refit_replay,opposite_side_depth_concentration,2.9571538836664963,0.0,0.0
no_refit_replay,log1p_spread_ticks,1.8784922464428886,0.0,0.0
no_refit_replay,aligned_book_flow,1.5570836043864704,0.0,0.0
no_refit_replay,aligned_trade_flow,1.9721552821079436,0.0,0.0
no_refit_replay,aligned_trailing_midpoint_1s,5.9655868680894155,0.0003729951510630362,0.0
no_refit_replay,aligned_trailing_midpoint_5s,5.178158376584945,0.0003729951510630362,0.0
no_refit_replay,log1p_trailing_abs_midpoint_5s,7.68339514879852,0.05147333084669899,0.0
no_refit_replay,log1p_source_age_ms,3.4027502926555666,0.0,0.0
no_refit_replay,no_new_information,10.80824601025441,0.027601641178664676,0.027601641178664676
no_refit_replay,log1p_depth_update_count,4.76423737254925,0.0,0.0
no_refit_replay,side_positive,1.1024448355290195,0.0,0.0
no_refit_replay,utc_time_sin,6.752480124489104,0.6467735919433047,0.0
no_refit_replay,utc_time_cos,3.3253668903976807,0.0,0.0
