dataset,model,cause,horizon_ms,observed_rate,predicted_mean,calibration_intercept,calibration_slope,converged
blocked_validation,H0,follow,2000,0.5682459993724506,0.5098337187059415,0.2578310361868459,0.4713979137948003,true
blocked_validation,H0,fail,2000,0.4182616881079385,0.476468391105268,-0.29150911800642,0.4097012165945091,true
blocked_validation,H0,follow,5000,0.5764041418261688,0.5169586711480526,0.27982022714894544,0.42891262077164843,true
blocked_validation,H0,fail,5000,0.42359585817383116,0.4802852925483017,-0.27546243904027673,0.4181169282556727,true
blocked_validation,H1,follow,2000,0.5682459993724506,0.5178609219102343,0.2451658345160459,0.4258762736411034,true
blocked_validation,H1,fail,2000,0.4182616881079385,0.46850863194467574,-0.2820290104104478,0.37590785075174493,true
blocked_validation,H1,follow,5000,0.5764041418261688,0.5252068214943022,0.2692355300282287,0.3857616811299955,true
blocked_validation,H1,fail,5000,0.42359585817383116,0.47213549632023827,-0.26548958914766163,0.3786866901989757,true
no_refit_replay,H0,follow,2000,0.5352480417754569,0.574501247967632,-0.004097419021097414,0.46275230900977526,true
no_refit_replay,H0,fail,2000,0.30809399477806787,0.2998006390102354,-0.27848089501686835,0.5929600158618954,true
no_refit_replay,H0,follow,5000,0.6120850428944423,0.6302983229585515,0.24896820631403613,0.3691185288882247,true
no_refit_replay,H0,fail,5000,0.3547183886609474,0.31142468439724025,-0.2205099374584085,0.44070336052832687,true
no_refit_replay,H1,follow,2000,0.5352480417754569,0.565614136905541,0.02801977819661977,0.4092113238189092,true
no_refit_replay,H1,fail,2000,0.30809399477806787,0.30672176382081817,-0.33640708690446497,0.548065227308393,true
no_refit_replay,H1,follow,5000,0.6120850428944423,0.6220759656395211,0.2944708111476127,0.3064872503384524,true
no_refit_replay,H1,fail,5000,0.3547183886609474,0.31868832120057067,-0.2697558488089415,0.39929839344562856,true
