dataset,elapsed_time_bin,entry_count,H0_entry_nll,H1_entry_nll,Delta_NLL
blocked_validation,elapsed_100ms,844,1.6810635352745484,1.6797689922943457,0.0012945429802027064
blocked_validation,elapsed_200_500ms,1475,2.820328757269663,2.819471239406577,0.0008575178630860769
blocked_validation,elapsed_600_1000ms,570,4.286588710188897,4.294333570355212,-0.007744860166314815
blocked_validation,elapsed_1100_2000ms,255,5.676462623701778,5.687957477150663,-0.01149485344888479
blocked_validation,elapsed_2100_5000ms,43,7.990007899771642,7.9963183103424775,-0.0063104105708351454
no_refit_replay,elapsed_100ms,423,1.9684836379120891,1.977408113903857,-0.008924475991767933
no_refit_replay,elapsed_200_500ms,922,2.964281247015961,2.9726826839451546,-0.008401436929193373
no_refit_replay,elapsed_600_1000ms,515,4.125138961564678,4.133098768679122,-0.007959807114443329
no_refit_replay,elapsed_1100_2000ms,401,4.788042983907425,4.793210946300225,-0.005167962392800263
no_refit_replay,elapsed_2100_5000ms,331,6.4341340689377455,6.421225717422233,0.012908351515512173
no_refit_replay,elapsed_5100_120000ms,89,12.352670634502719,12.628523578695074,-0.27585294419235495
