view_seq,view_ts,coin,session_id,connection_attempt,joined_raw_seq,joined_l2book_local_ts,joined_l2book_event_ts,join_age_ms,future_join,missing_join,reconnect_recovery_crossed,best_bid_px,best_ask_px,bid_topn_px,ask_topn_px,bid_topn_qty,ask_topn_qty,bid_topn_order_count,ask_topn_order_count,mid_px,spread_px,spread_ticks,book_freshness_bucket,market_view_quality
0,1780044677646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,1,1780044677646155111,1780044677425000000,0.000000,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,2.47113|0.77177|0.00038|0.00017|1.37239,11.00908|0.021|1.04991|0.03154|1.93289,10|9|2|1|3,51|2|7|3|6,73681.5,1,10,fresh,candidate_ready
1,1780044678146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,4,1780044677807985266,1780044677425000000,338.169845,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,2.47113|0.77177|0.00038|0.00017|1.37239,11.00908|0.021|1.04991|0.03154|1.93289,10|9|2|1|3,51|2|7|3|6,73681.5,1,10,warm,candidate_ready
2,1780044678646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,5,1780044678218245962,1780044677954000000,427.909149,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.0217|0.77177|0.00038|0.00017|1.37239,10.58539|0.021|1.04991|0.03154|2.61213,11|9|2|1|3,50|2|7|3|7,73681.5,1,10,warm,candidate_ready
3,1780044679146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,5,1780044678218245962,1780044677954000000,927.909149,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.0217|0.77177|0.00038|0.00017|1.37239,10.58539|0.021|1.04991|0.03154|2.61213,11|9|2|1|3,50|2|7|3|7,73681.5,1,10,warm,candidate_ready
4,1780044679646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,8,1780044679402174259,1780044679056000000,243.980852,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.12153|0.09341|0.00038|0.44783|2.39138,8.72955|0.021|0.59488|2.43516|4.19935,10|7|2|2|4,46|2|6|5|8,73681.5,1,10,fresh,candidate_ready
5,1780044680146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,9,1780044679910814641,1780044679603000000,235.340470,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.50089|0.09341|0.00038|0.69477|1.37239,8.3224|0.021|0.59488|2.43516|2.163,12|7|2|3|3,45|2|6|5|6,73681.5,1,10,fresh,candidate_ready
6,1780044680646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,10,1780044680482190506,1780044680136000000,163.964605,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,4.06719|0.09341|0.00038|0.69477|1.37239,8.23732|0.021|0.59488|2.43516|3.52149,14|7|2|3|3,44|2|6|5|7,73681.5,1,10,fresh,candidate_ready
7,1780044681146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,11,1780044680977280655,1780044680687000000,168.874456,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.77276|0.0938|0.00038|0.69477|1.37239,9.32146|0.021|0.59488|1.41587|2.163,13|8|2|3|3,48|2|6|4|6,73681.5,1,10,fresh,candidate_ready
8,1780044681646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,11,1780044680977280655,1780044680687000000,668.874456,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,3.77276|0.0938|0.00038|0.69477|1.37239,9.32146|0.021|0.59488|1.41587|2.163,13|8|2|3|3,48|2|6|4|6,73681.5,1,10,warm,candidate_ready
9,1780044682146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,14,1780044682037374894,1780044681727000000,108.780217,false,false,false,73681.0,73682.0,73681.0|73680.0|73679.0|73678.0|73677.0,73682.0|73683.0|73684.0|73685.0|73686.0,1.09653|0.09341|0.67967|0.69477|0.01374,9.81973|1.04033|3.14341|1.46367|5.55786,5|7|3|3|2,48|3|9|5|9,73681.5,1,10,fresh,candidate_ready
