event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784188818954,1784188819526866466,0.573044,buy,64205,64205,64206,1,0.005,19.71182,67,3942.364,0,0,0,0,19.71682,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,19.71182,,,67,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784188819240,1784188819528253337,0.288393,buy,64205,64205,64206,1,0.005,19.71182,67,3942.364,30,0.22861,0.00017,0.22878,19.71682,0.01160329099722977640410573307,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,1,0,286,1,bbo_history_too_sparse,synthetic_current_event_only,,,,19.71182,,,67,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,trades,1784188819440,1784188819619418333,0.17957,buy,64205,64205,64206,1,0.005,19.71182,67,3942.364,33,0.22861,0.00017,0.22878,19.71682,0.01160329099722977640410573307,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,1,0,486,1,bbo_history_too_sparse,synthetic_current_event_only,,,,19.71182,,,67,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,l2Book,1784188819492,1784188819743955105,0.25212,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,33,0,0.22878,0.22878,9.23297,0.0247785923706023088995198728,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,2,538,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,trades,1784188819623,1784188819878552055,0.255723,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,35,0.00167,0.22878,0.23045,9.23297,0.02495946591400167010181989111,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,2,538,131,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,131,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,trades,1784188819689,1784188819922831384,0.234019,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,37,0.00167,0.22878,0.23045,9.23297,0.02495946591400167010181989111,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,2,538,197,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,197,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1784188819777,1784188819981172920,0.204338,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,40,0.00167,0.22878,0.23045,9.23297,0.02495946591400167010181989111,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,2,538,285,1,same_touch_stable_enough,real_bbo_history_touch_stability,285,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1784188819843,1784188820033035943,0.190182,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,41,0.00167,0.22878,0.23045,9.23297,0.02495946591400167010181989111,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,2,538,351,1,same_touch_stable_enough,real_bbo_history_touch_stability,351,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,trades,1784188819960,1784188820149855211,0.190009,buy,64211,64211,64212,1,0.005,9.22797,30,1845.594,42,0.00167,0.22878,0.23045,9.23297,0.02495946591400167010181989111,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,2,538,468,1,same_touch_stable_enough,real_bbo_history_touch_stability,468,1784188819492,,9.22797,,,30,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1784188820041,1784188820392206193,0.351368,buy,64211,64211,64212,1,0.005,14.07618,43,2815.236,42,0.00167,0.22878,0.23045,14.08118,0.01636581593303970263855728,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,3,1087,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,549,1784188819492,9.22797,14.07618,4.84821,30,43,13,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
