schema_version,session_id,horizon_ms,identification_class,grid_count,fraction_of_nominal_calendar_grid,binary_endpoint_identification_supported,interval_likelihood_eligible,formal_eligible,primary_selection_eligible
skhynix_stage_h0a_support_v1,jul30,50,binary_identification_supported,1439768,0.999949994444,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,50,interval_likelihood_only_supported,0,0.000000000000,false,true,true,true
skhynix_stage_h0a_support_v1,jul30,50,right_censored_segment,40,0.000027780865,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,right_censored_source_end,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,epoch_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,core_quality_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,source_gap_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,reference_quote_unavailable,32,0.000022224692,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,50,invalid_quote_state,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,binary_identification_supported,1439728,0.999922213579,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,100,interval_likelihood_only_supported,0,0.000000000000,false,true,true,true
skhynix_stage_h0a_support_v1,jul30,100,right_censored_segment,80,0.000055561729,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,right_censored_source_end,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,epoch_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,core_quality_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,source_gap_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,reference_quote_unavailable,32,0.000022224692,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,100,invalid_quote_state,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,binary_identification_supported,1439608,0.999838870986,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,250,interval_likelihood_only_supported,0,0.000000000000,false,true,true,true
skhynix_stage_h0a_support_v1,jul30,250,right_censored_segment,200,0.000138904323,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,right_censored_source_end,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,epoch_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,core_quality_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,source_gap_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,reference_quote_unavailable,32,0.000022224692,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,250,invalid_quote_state,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,binary_identification_supported,1439408,0.999699966663,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,500,interval_likelihood_only_supported,0,0.000000000000,false,true,true,true
skhynix_stage_h0a_support_v1,jul30,500,right_censored_segment,400,0.000277808645,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,right_censored_source_end,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,epoch_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,core_quality_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,source_gap_censored,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,reference_quote_unavailable,32,0.000022224692,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,500,invalid_quote_state,0,0.000000000000,false,false,true,true
skhynix_stage_h0a_support_v1,jul30,1000,binary_identification_supported,1439008,0.999422158018,true,true,true,false
skhynix_stage_h0a_support_v1,jul30,1000,interval_likelihood_only_supported,0,0.000000000000,false,true,true,false
skhynix_stage_h0a_support_v1,jul30,1000,right_censored_segment,800,0.000555617291,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,right_censored_source_end,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,epoch_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,core_quality_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,source_gap_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,reference_quote_unavailable,32,0.000022224692,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,1000,invalid_quote_state,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,binary_identification_supported,1438208,0.998866540727,true,true,true,false
skhynix_stage_h0a_support_v1,jul30,2000,interval_likelihood_only_supported,0,0.000000000000,false,true,true,false
skhynix_stage_h0a_support_v1,jul30,2000,right_censored_segment,1600,0.001111234582,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,right_censored_source_end,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,epoch_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,core_quality_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,source_gap_censored,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,reference_quote_unavailable,32,0.000022224692,false,false,true,false
skhynix_stage_h0a_support_v1,jul30,2000,invalid_quote_state,0,0.000000000000,false,false,true,false
skhynix_stage_h0a_support_v1,aug03,50,binary_identification_supported,1799713,0.999953883662,true,true,false,true
skhynix_stage_h0a_support_v1,aug03,50,interval_likelihood_only_supported,0,0.000000000000,false,true,false,true
skhynix_stage_h0a_support_v1,aug03,50,right_censored_segment,50,0.000027780926,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,right_censored_source_end,0,0.000000000000,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,epoch_censored,0,0.000000000000,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,core_quality_censored,0,0.000000000000,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,source_gap_censored,0,0.000000000000,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,reference_quote_unavailable,33,0.000018335411,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,50,invalid_quote_state,0,0.000000000000,false,false,false,true
skhynix_stage_h0a_support_v1,aug03,100,binary_identification_supported,1799663,0.999926102736,true,true,false,true
skhynix_stage_h0a_support_v1,aug03,100,interval_likelihood_only_supported,0,0.000000000000,false,true,false,true
