event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784122219998,1784122220538500185,0.540662,buy,65316,65316,65317,1,0.005,3.33229,24,666.458,0,0,0,0,3.33729,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,3.33229,,,24,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784122220193,1784122220539756064,0.346881,buy,65316,65316,65317,1,0.005,3.33229,24,666.458,12,0.00018,0.00295,0.00313,3.33729,0.0009378867284533259021541430322,strict_trade_through_seen_but_visible_top_not_depleted,,0.00078,False,missing_touch_freshness_or_queue_reset_evidence,1,0,195,1,bbo_history_too_sparse,synthetic_current_event_only,,,,3.33229,,,24,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784122220511,1784122220758152190,0.247328,buy,65316,65316,65317,1,0.005,5.48882,38,1097.764,9,0.00018,0,0.00018,5.49382,0.00003276408764757491144595199697,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,2,513,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,513,1784122219998,3.33229,5.48882,2.15653,24,38,14,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1784122220594,1784122220866060082,0.272239,buy,65316,65316,65317,1,0.005,5.48882,38,1097.764,11,0.06081,0,0.06081,5.49382,0.01106880094360572425015744964,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,2,513,83,2,same_touch_stable_enough,real_bbo_history_touch_stability,596,1784122219998,3.33229,5.48882,2.15653,24,38,14,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,trades,1784122220731,1784122221036702062,0.305848,buy,65316,65316,65317,1,0.005,5.48882,38,1097.764,12,0.06081,0,0.06081,5.49382,0.01106880094360572425015744964,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,2,513,220,2,same_touch_stable_enough,real_bbo_history_touch_stability,733,1784122219998,3.33229,5.48882,2.15653,24,38,14,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1784122221058,1784122221337032067,0.279196,buy,65316,65316,65317,1,0.005,7.18247,40,1436.494,12,0.06081,0,0.06081,7.18747,0.00846055705275987238903258031,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,3,1060,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1060,1784122219998,5.48882,7.18247,1.69365,38,40,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1784122221058,1784122221337437873,0.279499,buy,65316,65316,65317,1,0.005,7.18247,40,1436.494,13,0.0611,0,0.0611,7.18747,0.008500905047255849415719300394,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,3,1060,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1060,1784122219998,5.48882,7.18247,1.69365,38,40,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1784122221130,1784122221402407667,0.272557,buy,65316,65316,65317,1,0.005,7.18247,40,1436.494,15,0.0611,0,0.0611,7.18747,0.008500905047255849415719300394,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,3,1060,72,3,same_touch_stable_enough,real_bbo_history_touch_stability,1132,1784122219998,5.48882,7.18247,1.69365,38,40,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784122221605,1784122221885078132,0.280228,buy,65319,65319,65320,1,0.005,22.4166,142,4483.32,13,0,0.0611,0.0611,22.4216,0.002725050843829164734006493738,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,4,1607,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1784122221605,,22.4166,,,142,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,trades,1784122221662,1784122221962302239,0.300459,buy,65319,65319,65320,1,0.005,22.4166,142,4483.32,15,0,0.0611,0.0611,22.4216,0.002725050843829164734006493738,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,4,1607,57,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,57,1784122221605,,22.4166,,,142,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
