window_id,evaluation_id,order_attempt_id,attempt_key,attempt,exchange_time_ms,local_receive_ts_ns,side_or_aggressor,px,size_btc,source_sequence,raw_event_sequence,at_quote,through_quote,interval_trade_capture_status,public_stream_gap_count,public_stream_coverage_status,source_status
window_01,255,2,window_01:attempt_2,2,1784122276981,1784122279178198387,A,65366,0.005,120459045735259,120459045735259,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122276981,1784122279178198387,A,65364,0.00106,610744399577507,610744399577507,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65364,0.01252,149484908501359,149484908501359,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65363,0.00076,950829567219589,950829567219589,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65362,0.00017,399610831523475,399610831523475,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65361,0.00016,783318334900247,783318334900247,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65360,0.02249,260080319348056,260080319348056,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,A,65359,0.08303,193188152110385,193188152110385,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277053,1784122279178435262,B,65360,0.47057,427195796178050,427195796178050,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277517,1784122279178582366,B,65360,0.01851,61319050344483,61319050344483,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122277586,1784122279178637037,B,65360,0.00034,13590976250904,13590976250904,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278188,1784122279178866337,B,65359,0.00038,117001148476314,117001148476314,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278188,1784122279178866337,A,65358,0.00022,548497932992661,548497932992661,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278188,1784122279178866337,A,65358,0.00016,567957347414720,567957347414720,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278188,1784122279178866337,A,65356,0.00016,349513030016851,349513030016851,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278521,1784122279179017447,A,65352,0.01129,453187611404407,453187611404407,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278729,1784122279179076044,A,65352,0.02966,1068937416738413,1068937416738413,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,255,2,window_01:attempt_2,2,1784122278856,1784122279179238631,A,65352,0.00252,704822032657299,704822032657299,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
