event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784121672843,1784121673577573362,0.734758,buy,65540,65540,65541,1,0.005,7.28168,45,1456.336,0,0,0,0,7.28668,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.28168,,,45,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784121673181,1784121673578879184,0.398046,buy,65540,65540,65541,1,0.005,7.28168,45,1456.336,29,0.13814,0.85492,0.99306,7.28668,0.1362842885923356041434507897,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,1,0,338,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.28168,,,45,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784121673398,1784121673627539600,0.229712,buy,65540,65540,65541,1,0.005,9.1449,46,1828.98,24,0.13814,0.85455,0.99269,9.1499,0.1084918960862960250931704172,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,2,555,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,555,1784121672843,7.28168,9.1449,1.86322,45,46,1,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1784121673398,1784121673627914360,0.229972,buy,65540,65540,65541,1,0.005,9.1449,46,1828.98,25,0.13814,0.85455,0.99269,9.1499,0.1084918960862960250931704172,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,2,555,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,555,1784121672843,7.28168,9.1449,1.86322,45,46,1,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1784121673912,1784121674171307152,0.259462,buy,65540,65540,65541,1,0.005,7.3042,34,1460.84,25,0.13814,0.85455,0.99269,7.3092,0.1358137689487221583757456356,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,3,1069,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1069,1784121672843,9.1449,7.3042,-1.8407,46,34,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1784121674416,1784121674905169991,0.489338,buy,65540,65540,65541,1,0.005,8.06777,35,1613.554,15,0.13814,0.2,0.33814,8.07277,0.0418864900151992438778758716,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,4,1573,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1573,1784121672843,9.1449,8.06777,-1.07713,46,35,-11,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1784121674691,1784121675004827312,0.31401,buy,65540,65540,65541,1,0.005,8.06777,35,1613.554,31,0.14043,0.2,0.34043,8.07277,0.04217015968496563137559970122,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,4,1573,275,4,same_touch_stable_enough,real_bbo_history_touch_stability,1848,1784121672843,9.1449,8.06777,-1.07713,46,35,-11,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1784121674821,1784121675005295480,0.18436,buy,65540,65540,65541,1,0.005,8.06777,35,1613.554,35,0.14043,0.2,0.34043,8.07277,0.04217015968496563137559970122,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,4,1573,405,4,same_touch_stable_enough,real_bbo_history_touch_stability,1978,1784121672843,9.1449,8.06777,-1.07713,46,35,-11,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784121674927,1784121675197060080,0.270238,buy,65540,65540,65541,1,0.005,15.75744,55,3151.488,28,0.14043,0,0.14043,15.76244,0.008909153658951279116684980244,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,5,2084,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2084,1784121672843,9.1449,15.75744,6.61254,46,55,9,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,trades,1784121674927,1784121675197449955,0.270514,buy,65540,65540,65541,1,0.005,15.75744,55,3151.488,29,0.14043,0,0.14043,15.76244,0.008909153658951279116684980244,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,5,2084,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2084,1784121672843,9.1449,15.75744,6.61254,46,55,9,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
