fixture_case_id,artifact_event_id,row_index,reason_code,detail
valid_accepted_lifecycle,,,,pass
valid_post_only_reject,,,,pass
missing_required_field,evt_missing_required,1,missing_required_field,venue
unknown_enum_value,evt_unknown_enum,1,unknown_enum_value,response_category=accepted_live
conflicting_terminal_state,evt_conflict_1,1,terminal_state_conflict,exchange_client_conflict:canceled|filled
conflicting_terminal_state,evt_conflict_2,2,terminal_state_conflict,exchange_client_conflict:canceled|filled
bad_timestamp,evt_bad_timestamp,1,missing_required_field,local_receive_time
bad_timestamp,evt_bad_timestamp,1,missing_timestamp,local_receive_time
duplicate_event_identity,evt_duplicate,1,duplicate_event_identity,evt_duplicate
duplicate_event_identity,evt_duplicate,2,duplicate_event_identity,evt_duplicate
unsupported_evidence_source,evt_unsupported,1,unsupported_evidence_source,artifact_source_class=signed_exchange_endpoint_response
incomplete_lifecycle_evidence,evt_incomplete,1,terminal_consistency_invalid,terminal marker incompatible with lifecycle state
