attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,61,post_open_orders_l2_resync,1783579392.586257,1783579392586256896,61,60,62,62,1783579392861939545,l2Book,1783579392337,True,0.7575,pass,,62796.0,62797.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,119,post_open_orders_l2_resync,1783579412.9113557,1783579412911355648,120,117,121,121,1783579413214956878,l2Book,1783579412855,True,0.755,pass,,62805.0,62806.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,184,post_open_orders_l2_resync,1783579434.8511434,1783579434851143424,186,186,187,187,1783579435313454254,l2Book,1783579434999,True,0.6975,pass,,62839.0,62840.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,197,post_open_orders_l2_resync,1783579439.0735195,1783579439073519360,200,199,202,202,1783579439296741494,l2Book,1783579438970,True,0.76625,pass,,62823.0,62824.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,200,post_open_orders_l2_resync,1783579440.240612,1783579440240612096,205,203,206,206,1783579440464533918,l2Book,1783579440047,True,0.76625,pass,,62821.0,62822.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,206,post_open_orders_l2_resync,1783579442.3056152,1783579442305615104,212,211,213,213,1783579442490408768,l2Book,1783579442184,True,0.76625,pass,,62819.0,62820.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,314,post_open_orders_l2_resync,1783579477.3400726,1783579477340072704,321,317,322,322,1783579477611285667,l2Book,1783579477231,True,0.7637499999999999,pass,,62819.0,62820.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,398,post_open_orders_l2_resync,1783579501.3853652,1783579501385365248,406,405,407,407,1783579501583366241,l2Book,1783579501333,True,0.7224999999999999,pass,,62841.0,62842.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,412,post_open_orders_l2_resync,1783579504.5722387,1783579504572238592,421,420,423,423,1783579504901563153,l2Book,1783579504596,True,0.7224999999999999,pass,,62835.0,62836.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,461,post_open_orders_l2_resync,1783579518.6882102,1783579518688210176,472,469,473,473,1783579519102767735,l2Book,1783579518725,True,0.7537499999999999,pass,,62824.0,62825.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,503,post_open_orders_l2_resync,1783579529.9081676,1783579529908167680,515,513,516,516,1783579530208730181,l2Book,1783579529872,True,0.7575,pass,,62831.0,62832.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,532,post_open_orders_l2_resync,1783579539.752248,1783579539752248064,545,543,546,546,1783579539943288680,l2Book,1783579539619,True,0.6875,pass,,62833.0,62834.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,559,post_open_orders_l2_resync,1783579549.2238247,1783579549223824640,573,572,575,575,1783579549620555603,l2Book,1783579549344,True,0.7237499999999999,pass,,62830.0,62831.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,588,post_open_orders_l2_resync,1783579559.609478,1783579559609477888,604,602,606,606,1783579559903421475,l2Book,1783579559631,True,0.7025000000000001,pass,,62822.0,62823.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,589,post_open_orders_l2_resync,1783579560.3132403,1783579560313240320,607,606,608,608,1783579560546775188,l2Book,1783579560179,True,0.7025000000000001,pass,,62819.0,62820.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,717,post_open_orders_l2_resync,1783579603.8828595,1783579603882859520,736,735,737,737,1783579604018435822,l2Book,1783579603721,True,0.67625,pass,,62823.0,62824.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,801,post_open_orders_l2_resync,1783579626.5849028,1783579626584902656,821,819,825,825,1783579626620562865,l2Book,1783579626287,True,0.7074999999999999,pass,,62825.0,62827.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,871,post_open_orders_l2_resync,1783579644.043653,1783579644043653120,895,894,897,897,1783579644413924254,l2Book,1783579644097,True,0.75625,pass,,62858.0,62859.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,882,post_open_orders_l2_resync,1783579646.7361329,1783579646736132864,908,907,911,911,1783579647270508804,l2Book,1783579646937,True,0.75625,pass,,62840.0,62841.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,913,post_open_orders_l2_resync,1783579656.7008865,1783579656700886528,942,940,943,943,1783579656830380123,l2Book,1783579656533,True,0.7825,pass,,62854.0,62855.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1008,post_open_orders_l2_resync,1783579682.7210321,1783579682721032192,1038,1037,1040,1040,1783579683128910111,l2Book,1783579682810,True,0.6925000000000001,pass,,62855.0,62856.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1010,post_open_orders_l2_resync,1783579683.5522335,1783579683552233472,1042,1040,1043,1043,1783579683699348071,l2Book,1783579683396,True,0.6925000000000001,pass,,62854.0,62855.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1129,post_open_orders_l2_resync,1783579713.4544063,1783579713454406144,1162,1160,1163,1163,1783579713649373747,l2Book,1783579713366,True,0.7537499999999999,pass,,62881.0,62882.0,requires_l2Book_observed_after_private_open_orders_before_reprice
