event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1783579370923,1783579371847583030,0.924775,buy,62792,62792,62793,1,0.005,12.58018,47,2516.036,0,0,0,0,12.58518,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,12.58018,,,47,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1783579371012,1783579371848845655,0.836966,buy,62792,62792,62793,1,0.005,12.58018,47,2516.036,3,0.03804,0,0.03804,12.58518,0.003022602775645640348409796284,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,89,1,bbo_history_too_sparse,synthetic_current_event_only,,,,12.58018,,,47,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1783579371530,1783579371947547813,0.417724,buy,62792,62792,62793,1,0.005,24.42246,61,4884.492,3,0.03804,0,0.03804,24.42746,0.001557263833407157354878485115,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,2,607,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,607,1783579370923,12.58018,24.42246,11.84228,47,61,14,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1783579372017,1783579372425145430,0.40829,buy,62792,62792,62793,1,0.005,24.42246,61,4884.492,4,0.03848,0,0.03848,24.42746,0.001575276348830373686007468644,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,2,607,487,2,same_touch_stable_enough,real_bbo_history_touch_stability,1094,1783579370923,12.58018,24.42246,11.84228,47,61,14,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1783579372136,1783579372541907484,0.406049,buy,62792,62792,62793,1,0.005,23.35818,63,4671.636,3,0.00044,0,0.00044,23.36318,0.00001883305269231328954363233087,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,3,1213,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1213,1783579370923,24.42246,23.35818,-1.06428,61,63,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1783579372743,1783579373157533898,0.414686,buy,62792,62792,62793,1,0.005,25.78148,70,5156.296,3,0.00044,0,0.00044,25.78648,0.0000170632052145155135559409427,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,4,1820,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1820,1783579370923,24.42246,25.78148,1.35902,63,70,7,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1783579372819,1783579373181410323,0.362542,buy,62792,62792,62793,1,0.005,25.78148,70,5156.296,4,0.00044,0,0.00044,25.78648,0.0000170632052145155135559409427,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,4,1820,76,4,same_touch_stable_enough,real_bbo_history_touch_stability,1896,1783579370923,24.42246,25.78148,1.35902,63,70,7,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1783579372947,1783579373248807774,0.30195,buy,62792,62792,62793,1,0.005,25.78148,70,5156.296,5,0.00044,0,0.00044,25.78648,0.0000170632052145155135559409427,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,4,1820,204,4,same_touch_stable_enough,real_bbo_history_touch_stability,2024,1783579370923,24.42246,25.78148,1.35902,63,70,7,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,trades,1783579373022,1783579373417557644,0.395767,buy,62792,62792,62793,1,0.005,25.78148,70,5156.296,31,0.00044,0,0.00044,25.78648,0.0000170632052145155135559409427,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,4,1820,279,4,same_touch_stable_enough,real_bbo_history_touch_stability,2099,1783579370923,24.42246,25.78148,1.35902,63,70,7,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1783579373352,1783579373750949400,0.399113,buy,62805,62805,62806,1,0.005,7.59035,52,1518.07,31,0,0.00112,0.00112,7.59535,0.0001474586424588728630017049906,strict_trade_through_seen_but_visible_top_not_depleted,,0.00028,False,missing_touch_freshness_or_queue_reset_evidence,5,2429,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1783579373352,,7.59035,,,52,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
