category,key,count,share_pct
source_channel,trades,1147,91.104051
source_channel,l2Book,112,8.895949
freshness_source,synthetic_current_event_only,1257,99.841144
freshness_source,real_bbo_history_touch_stability,2,0.158856
fresh_touch_evidence_status,block,1257,99.841144
fresh_touch_evidence_status,pass,2,0.158856
top_reset_status,missing,1257,99.841144
top_reset_status,reset_supported,2,0.158856
top_reset_reason,insufficient_real_bbo_history,1257,99.841144
top_reset_reason,same_touch_top_qty_or_order_count_reduced,2,0.158856
public_depletion_status,touched_quote_without_depletion,720,57.188245
public_depletion_status,not_depleted,205,16.282764
public_depletion_status,strict_trade_through_seen_but_visible_top_not_depleted,195,15.488483
public_depletion_status,depleted_top_plus_order_proxy,129,10.246227
public_depletion_status,depleted_visible_top_proxy_only,10,0.794281
skip_reason_atom,missing_touch_freshness_or_queue_reset_evidence,1257,51.899257
skip_reason_atom,missing_same_side_strict_through_support,960,39.636664
skip_reason_atom,missing_recent_same_side_at_or_through_throughput,205,8.464079
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,753,59.809373
skip_reason_combo,missing_touch_freshness_or_queue_reset_evidence,299,23.749007
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,205,16.282764
skip_reason_combo,missing_same_side_strict_through_support,2,0.158856
