minute_bucket_exchange_ms,candidate_count,l2book_candidate_count,trade_candidate_count,synthetic_current_event_only_count,fresh_touch_evidence_pass_count,strict_trade_through_seen_count,at_or_through_trade_seen_count,visible_top_plus_order_depleted_count,allowed_count
1782197040000,63,6,57,61,2,18,62,10,0
1782197100000,138,11,127,138,0,23,89,8,0
1782197160000,109,11,98,109,0,14,68,9,0
1782197220000,159,11,148,159,0,75,112,50,0
1782197280000,123,12,111,123,0,37,114,21,0
1782197340000,103,11,92,103,0,27,92,9,0
1782197400000,129,11,118,129,0,21,112,4,0
1782197460000,91,11,80,91,0,37,75,11,0
1782197520000,181,11,170,181,0,34,173,7,0
1782197580000,122,11,111,122,0,11,118,10,0
1782197640000,41,6,35,41,0,2,39,0,0
