scope,session,segment_id,side,joined_count,h0b_identified_count,h0b_censored_count,h0b_grid_boundary_censored_count,h0b_interval_likelihood_only_censored_count,h0b_right_censored_segment_count,h0b_right_censored_source_end_count,h0b_epoch_censored_count,h0b_core_quality_censored_count,h0b_source_gap_censored_count,h0b_reference_quote_unavailable_count,h0b_invalid_quote_state_count,stage4_identified_count,stage4_censored_count,h0b_only_censored_count,stage4_only_censored_count,both_censored_count,eligible_count,censored_count,h0b_event_count,stage4_event_count,both_event_count,h0b_only_count,stage4_only_count,neither_count,h0b_event_rate,stage4_event_rate,agreement_fraction,direction_mapping_match,quote_risk_naming_match,primary_seal_unchanged
segment,jul30,segment_0001,maker_ask_risk,24691,24691,0,0,0,0,0,0,0,0,0,0,10088,14603,0,14603,0,10088,14603,387,5196,380,7,4816,4885,0.0383624107850912,0.51506740681998409,0.52190721649484539,true,false,true
segment,jul30,segment_0001,maker_bid_risk,23992,23992,0,0,0,0,0,0,0,0,0,0,9742,14250,0,14250,0,9742,14250,436,4921,431,5,4490,4816,0.044754670498870872,0.50513241634161365,0.53859577088893451,true,false,true
segment,jul30,segment_0002,maker_ask_risk,16822,16815,7,0,0,1,0,0,0,0,6,0,6582,10240,0,10233,7,6582,10240,317,2850,315,2,2535,3730,0.048161652993011242,0.43299908842297175,0.6145548465512003,true,false,true
segment,jul30,segment_0002,maker_bid_risk,17166,17165,1,0,0,1,0,0,0,0,0,0,6922,10244,0,10243,1,6922,10244,331,3052,329,2,2723,3868,0.047818549552152555,0.44091303091592027,0.6063276509679284,true,false,true
segment,jul30,segment_0003,maker_ask_risk,19896,19894,2,1,0,1,0,0,0,0,0,0,7805,12091,0,12089,2,7805,12091,336,3985,332,4,3653,3816,0.043049327354260092,0.51057014734144779,0.53145419602818711,true,false,true
segment,jul30,segment_0003,maker_bid_risk,20607,20607,0,0,0,0,0,0,0,0,0,0,8748,11859,0,11859,0,8748,11859,330,3953,327,3,3626,4792,0.037722908093278461,0.45187471422039321,0.58516232281664382,true,false,true
segment,jul30,segment_0004,maker_ask_risk,19151,19151,0,0,0,0,0,0,0,0,0,0,7230,11921,0,11921,0,7230,11921,336,3389,330,6,3059,3835,0.046473029045643155,0.46874135546334716,0.57607192254495154,true,false,true
segment,jul30,segment_0004,maker_bid_risk,19241,19241,0,0,0,0,0,0,0,0,0,0,7501,11740,0,11740,0,7501,11740,346,3249,343,3,2906,4249,0.04612718304226103,0.43314224770030663,0.61218504199440071,true,false,true
segment,jul30,segment_0005,maker_ask_risk,16590,16589,1,0,0,1,0,0,0,0,0,0,6388,10202,0,10201,1,6388,10202,214,2952,213,1,2739,3435,0.0335003130870382,0.46211646837820913,0.57107075767063242,true,false,true
segment,jul30,segment_0005,maker_bid_risk,15895,15895,0,0,0,0,0,0,0,0,0,0,5669,10226,0,10226,0,5669,10226,237,3006,236,1,2770,2662,0.041806315046745458,0.53025224907391078,0.51120127006526728,true,false,true
segment,jul30,segment_0006,maker_ask_risk,13835,13835,0,0,0,0,0,0,0,0,0,0,5039,8796,0,8796,0,5039,8796,144,2373,140,4,2233,2662,0.02857709863068069,0.4709267711847589,0.55606271085532843,true,false,true
segment,jul30,segment_0006,maker_bid_risk,13060,13060,0,0,0,0,0,0,0,0,0,0,5018,8042,0,8042,0,5018,8042,237,2428,235,2,2193,2588,0.047229972100438423,0.48385811080111596,0.5625747309685134,true,false,true
segment,jul30,segment_0007,maker_ask_risk,12642,12642,0,0,0,0,0,0,0,0,0,0,4902,7740,0,7740,0,4902,7740,176,2235,175,1,2060,2666,0.035903712770297837,0.45593635250917991,0.57955936352509185,true,false,true
segment,jul30,segment_0007,maker_bid_risk,11985,11985,0,0,0,0,0,0,0,0,0,0,4328,7657,0,7657,0,4328,7657,189,2254,188,1,2066,2073,0.043669131238447317,0.52079482439926061,0.52241219963031427,true,false,true
segment,jul30,segment_0008,maker_ask_risk,11512,11512,0,0,0,0,0,0,0,0,0,0,4012,7500,0,7500,0,4012,7500,162,1997,160,2,1837,2013,0.040378863409770691,0.49775672981056829,0.54162512462612167,true,false,true
segment,jul30,segment_0008,maker_bid_risk,11437,11436,1,1,0,0,0,0,0,0,0,0,4153,7284,0,7283,1,4153,7284,173,2034,171,2,1863,2117,0.041656633758728627,0.48976643390320251,0.55092704069347465,true,false,true
session,jul30,ALL,maker_ask_risk,135139,135129,10,1,0,3,0,0,0,0,6,0,52046,83093,0,83083,10,52046,83093,2072,24977,2045,27,22932,27042,0.039810936479268338,0.47990239403604501,0.55887099873189106,true,false,true
session,jul30,ALL,maker_bid_risk,133383,133381,2,1,0,1,0,0,0,0,0,0,52081,81302,0,81300,2,52081,81302,2279,24897,2260,19,22637,27165,0.043758760392465582,0.47804381636297305,0.56498531134194807,true,false,true
