attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,29,post_open_orders_l2_resync,1784122344.3821125,1784122344382112512,29,27,30,30,1784122344382302697,l2Book,1784122343987,True,0.7474999999999999,pass,,65389.0,65390.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,30,post_open_orders_l2_resync,1784122344.4189658,1784122344418965760,31,30,33,33,1784122344950989734,l2Book,1784122344498,True,0.705,pass,,65383.0,65387.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,131,post_open_orders_l2_resync,1784122369.8613,1784122369861299968,134,134,137,137,1784122370468574622,l2Book,1784122370019,True,0.76,pass,,65436.0,65437.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,200,post_open_orders_l2_resync,1784122386.3655677,1784122386365567744,206,205,208,208,1784122386646906056,l2Book,1784122386255,True,0.7875,pass,,65435.0,65436.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,230,post_open_orders_l2_resync,1784122393.7671661,1784122393767166208,238,236,239,239,1784122394105814301,l2Book,1784122393782,True,0.6887500000000001,pass,,65459.0,65460.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,255,post_open_orders_l2_resync,1784122399.7590625,1784122399759062528,264,263,265,265,1784122399926077659,l2Book,1784122399619,True,0.6887500000000001,pass,,65493.0,65494.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,256,post_open_orders_l2_resync,1784122401.6667614,1784122401666761472,266,265,268,268,1784122401667248408,l2Book,1784122400159,True,0.6887500000000001,pass,,65487.0,65488.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,263,post_open_orders_l2_resync,1784122401.7866187,1784122401786618624,275,274,276,276,1784122402115352069,l2Book,1784122401767,True,0.68625,pass,,65483.0,65484.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,288,post_open_orders_l2_resync,1784122406.4368498,1784122406436849920,301,299,302,302,1784122406504789886,l2Book,1784122406240,True,0.81,pass,,65455.0,65456.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,379,post_open_orders_l2_resync,1784122426.3333254,1784122426333325312,393,391,394,394,1784122426650289128,l2Book,1784122426266,True,0.755,pass,,65429.0,65430.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,404,post_open_orders_l2_resync,1784122431.8431482,1784122431843148288,419,417,420,420,1784122432056004474,l2Book,1784122431728,True,0.8300000000000001,pass,,65440.0,65441.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,467,post_open_orders_l2_resync,1784122448.660173,1784122448660173056,483,481,485,485,1784122448956424832,l2Book,1784122448658,True,0.76875,pass,,65399.0,65400.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,536,post_open_orders_l2_resync,1784122467.0333488,1784122467033348864,554,553,555,555,1784122467398347076,l2Book,1784122466985,True,0.7725,pass,,65415.0,65416.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,692,post_open_orders_l2_resync,1784122506.5267766,1784122506526776576,711,708,712,712,1784122506526946824,l2Book,1784122506082,True,0.7625,pass,,65457.0,65458.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,696,post_open_orders_l2_resync,1784122507.5161595,1784122507516159488,716,716,719,719,1784122507978929736,l2Book,1784122507703,True,0.76125,pass,,65461.0,65463.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,699,post_open_orders_l2_resync,1784122508.4301388,1784122508430138880,722,719,724,724,1784122508549970224,l2Book,1784122508249,True,0.76125,pass,,65456.0,65457.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,730,post_open_orders_l2_resync,1784122515.4380183,1784122515438018304,755,754,756,756,1784122515521260624,l2Book,1784122515215,True,0.71,pass,,65462.0,65463.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,757,post_open_orders_l2_resync,1784122521.791814,1784122521791814144,783,781,784,784,1784122522075939814,l2Book,1784122521554,True,0.6837500000000001,pass,,65435.0,65443.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,759,post_open_orders_l2_resync,1784122522.2130668,1784122522213066752,786,784,788,788,1784122522468529090,l2Book,1784122522101,True,0.6837500000000001,pass,,65431.0,65432.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,761,post_open_orders_l2_resync,1784122522.7529929,1784122522752992768,790,788,791,791,1784122522965500573,l2Book,1784122522653,True,0.6837500000000001,pass,,65423.0,65424.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,814,post_open_orders_l2_resync,1784122536.7712824,1784122536771282432,844,843,845,845,1784122537000091874,l2Book,1784122536632,True,0.74875,pass,,65445.0,65453.0,requires_l2Book_observed_after_private_open_orders_before_reprice
