attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,29,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122344353,49,65389.5,65363.55,-25.95,0.0,65389.5,30,30,1,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,30,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784122344353,611,,,,,,33,33,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,200,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784122386376,282,,,,,,208,208,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,255,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122399748,191,65493.5,65471.149999999994,-22.35,25.0,65518.5,265,265,4,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,263,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122402073,55,65483.5,65462.45,-21.05,-8.69999999999709,65474.8,276,276,5,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,288,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122406289,225,65455.5,65436.350000000006,-19.15,-25.0,65430.5,302,302,6,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,536,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784122466527,883,,,,,,555,555,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,757,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784122521514,575,,,,,,784,784,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,759,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122522348,130,65431.5,65408.149999999994,-23.35,-0.20000000001164153,65431.29999999999,788,788,9,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,761,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784122522454,521,,,,,,791,791,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,814,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122536906,104,65449.0,65420.850000000006,-28.15,12.700000000011642,65461.70000000001,845,845,11,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
