capture_id,research_date,checkpoint_count,ready_checkpoint_count,segment_count,reset_count,sequence_gap_count,initial_bridge_failure_count,quality_boundary_count,bin_boundary_violations,non_admitted_message_contributions,u_below_abs_o_violations
2026-07-29_c092d6b4402c,2026-07-29,359999,0,1,0,0,1,1,0,0,0
2026-07-29_0540d8311fc2,2026-07-29,89991,89891,2,0,0,0,0,0,0,0
2026-07-30_2cc63928e27f,2026-07-30,89989,89889,2,0,0,0,0,0,0,0
2026-07-30_bd0fb3d8fa82,2026-07-30,89992,89892,2,0,0,0,0,0,0,0
2026-07-30_d88a85361fb1,2026-07-30,89990,89890,2,0,0,0,0,0,0,0
2026-07-30_b19ed82d662d,2026-07-30,89988,89888,2,0,0,0,0,0,0,0
2026-07-30_1b18a29f3daf,2026-07-30,89991,0,1,0,0,1,1,0,0,0
2026-07-30_c655ea10171f,2026-07-30,89990,89890,2,0,0,0,0,0,0,0
2026-07-30_f91aa7f4acf1,2026-07-30,89993,89893,2,0,0,0,0,0,0,0
2026-07-30_47309d2a7046,2026-07-30,89990,89890,2,0,0,0,0,0,0,0
2026-08-03_f1ce2c62420e,2026-08-03,89987,89887,2,0,0,0,0,0,0,0
2026-08-03_d0a70a33d273,2026-08-03,89988,89888,2,0,0,0,0,0,0,0
2026-08-03_098332acc16a,2026-08-03,89990,0,1,0,0,1,1,0,0,0
2026-08-03_b7b76aed76b8,2026-08-03,89991,0,1,0,0,1,1,0,0,0
2026-08-03_2994fc7a75af,2026-08-03,89993,89893,2,0,0,0,0,0,0,0
2026-08-03_3a405386e85b,2026-08-03,89991,89891,2,0,0,0,0,0,0,0
2026-08-03_1dd085c2ccc5,2026-08-03,89991,89891,2,0,0,0,0,0,0,0
2026-08-03_7f200bdbf129,2026-08-03,89990,89890,2,0,0,0,0,0,0,0
2026-08-03_c6ba75ad540b,2026-08-03,89990,89890,2,0,0,0,0,0,0,0
2026-08-03_d8e3322d6f2c,2026-08-03,89992,0,1,0,0,1,1,0,0,0
2026-08-04_a6a45be8a495,2026-08-04,359991,359891,2,0,0,0,0,0,0,0
2026-08-07_46d1e1a74698,2026-08-07,719988,697768,5,2,0,1,1,0,0,0
2026-08-24_aeee94c4bfe5,2026-08-24,719988,719788,4,1,0,0,0,0,0,0
2026-08-25_fd89fc8de22f,2026-08-25,719990,719790,4,1,0,0,0,0,0,0
2026-08-26_164de1d394f7,2026-08-26,374990,374890,2,0,0,0,0,0,0,0
2026-08-26_a055aa6c7a87,2026-08-26,374989,0,1,0,0,1,1,0,0,0
2026-08-26_7e4d0a9ed099,2026-08-26,374992,374892,2,0,0,0,0,0,0,0
2026-08-26_20fa36ad4d76,2026-08-26,374993,374893,2,0,0,0,0,0,0,0
2026-08-27_ba5ebc09e758,2026-08-27,374988,374888,2,0,0,0,0,0,0,0
