required_id,source_file,status,detail
reject_future_label_aliases,future_label_leakage_guard_requirements,pass,present
reject_future_label_filter_condition,future_label_leakage_guard_requirements,pass,present
reject_future_label_in_case_label,future_label_leakage_guard_requirements,pass,present
reject_future_label_in_free_text,future_label_leakage_guard_requirements,pass,present
reject_future_label_input_section,future_label_leakage_guard_requirements,pass,present
reject_future_label_join_back_to_context,future_label_leakage_guard_requirements,pass,present
reject_future_label_live_decision,future_label_leakage_guard_requirements,pass,present
reject_future_label_shadow_decision,future_label_leakage_guard_requirements,pass,present
reject_future_label_trigger,future_label_leakage_guard_requirements,pass,present
require_future_label_output_only_trace,future_label_leakage_guard_requirements,pass,present
reject_action_aliases_in_text,no_action_field_guard_requirements,pass,present
reject_deployment_promotion_fields,no_action_field_guard_requirements,pass,present
reject_executable_trigger_fields,no_action_field_guard_requirements,pass,present
reject_leverage_stop_take_profit_fields,no_action_field_guard_requirements,pass,present
reject_order_side_fields,no_action_field_guard_requirements,pass,present
reject_parameter_search_fields,no_action_field_guard_requirements,pass,present
reject_private_order_live_fields,no_action_field_guard_requirements,pass,present
reject_quote_price_fields,no_action_field_guard_requirements,pass,present
reject_quote_size_fields,no_action_field_guard_requirements,pass,present
reject_shadow_decision_fields,no_action_field_guard_requirements,pass,present
reject_submit_cancel_fill_fields,no_action_field_guard_requirements,pass,present
require_no_action_validation_trace,no_action_field_guard_requirements,pass,present
reject_action_field_definitions,generator_reject_conditions,pass,present
reject_ad_hoc_source_expansion,generator_reject_conditions,pass,present
reject_case_catalog_generation,generator_reject_conditions,pass,present
reject_deployment_or_promotion_language,generator_reject_conditions,pass,present
reject_diagnostic_to_strategy_upgrade,generator_reject_conditions,pass,present
reject_executable_trigger_fields,generator_reject_conditions,pass,present
reject_execution_layer_proof_overclaim,generator_reject_conditions,pass,present
reject_future_label_as_input,generator_reject_conditions,pass,present
reject_generator_implementation_in_t006,generator_reject_conditions,pass,present
reject_implicit_generator_authorization,generator_reject_conditions,pass,present
reject_label_as_trigger_or_shadow_decision,generator_reject_conditions,pass,present
reject_missing_required_artifact,generator_reject_conditions,pass,present
reject_missing_validation_trace_requirement,generator_reject_conditions,pass,present
reject_private_order_or_collection_scope_expansion,generator_reject_conditions,pass,present
reject_row_level_generation_in_t006,generator_reject_conditions,pass,present
reject_shadow_decision_generation,generator_reject_conditions,pass,present
reject_strategy_private_order_live_or_promotion,generator_reject_conditions,pass,present
reject_t004_t005_boundary_weakening,generator_reject_conditions,pass,present
