fixture_case_id,settlement_record_id,row_index,reason_code,detail
valid_maker_fee_settlement,,,,pass
valid_maker_rebate_settlement,,,,pass
missing_required_field,econ_artifact_settlement_missing_required,1,missing_required_field,settlement_record_id
unknown_enum_value,settlement_unknown_enum,1,unknown_enum_value,settlement_label=real_fee_proof
forbidden_endpoint_field,settlement_forbidden,1,forbidden_endpoint_or_action_field,endpoint_url
missing_settlement_authority,settlement_missing_authority,1,missing_required_field,settlement_source_authority
missing_settlement_authority,settlement_missing_authority,1,missing_settlement_authority,settlement_source_authority
conflicting_settlement_authority,settlement_conflicting_authority,1,conflicting_settlement_authority,conflicting_settlement_authority
unsupported_maker_taker_classification,settlement_bad_classification,1,unsupported_maker_taker_classification,maker_taker_unknown_fail_closed
settlement_fail_closed_label_accepted,settlement_fail_closed_accepted,1,settlement_fail_closed_label_accepted,partial_settlement_fail_closed
spread_fail_closed_label_accepted,settlement_spread_fail_closed,1,spread_fail_closed_label_accepted,missing_spread_capture_fail_closed
fee_rebate_arithmetic_nonconserving,settlement_bad_fee_math,1,fee_rebate_arithmetic_nonconserving,fee_amount+rebate_amount must equal net_fee_amount
fee_rebate_arithmetic_nonconserving,settlement_bad_fee_math,1,currency_conversion_mismatch,net_fee_amount*conversion_rate
currency_conversion_mismatch,settlement_bad_conversion,1,currency_conversion_mismatch,net_fee_amount*conversion_rate
currency_conversion_mismatch,settlement_bad_conversion,1,tick_value_arithmetic_mismatch,net_fee_in_settlement_currency/tick_value
tick_value_arithmetic_mismatch,settlement_bad_tick,1,tick_value_arithmetic_mismatch,net_fee_in_settlement_currency/tick_value
tick_value_arithmetic_mismatch,settlement_bad_tick,1,spread_capture_consistency_mismatch,realized_spread_ticks-net_fee_ticks
timestamp_domain_merged_or_invalid,settlement_bad_time,1,timestamp_domain_merged_or_invalid,fill<exchange_settlement<local_receive<reconciliation<artifact_generated<validation
timestamp_domain_merged_or_invalid,settlement_bad_time,1,timestamp_domain_merged_or_invalid,conversion_timestamp
hypothetical_spread_overclaim,settlement_hypothetical,1,hypothetical_spread_overclaim,1
fill_notional_alone_overclaim,settlement_fill_notional,1,fill_notional_alone_overclaim,fill_notional_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
order_fills_alone_overclaim,settlement_order_fill,1,order_fills_alone_overclaim,order_fills_alone_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
public_markout_alone_overclaim,settlement_markout,1,public_markout_alone_overclaim,public_markout_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
account_inventory_alone_overclaim,settlement_inventory,1,account_inventory_alone_overclaim,account_inventory_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
replay_lifecycle_alone_overclaim,settlement_replay,1,replay_lifecycle_alone_overclaim,replay_lifecycle_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
pnl_proof_overclaim,settlement_pnl,1,pnl_proof_overclaim,pnl_proof|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
live_deployment_promotion_overclaim,settlement_live,1,live_deployment_promotion_overclaim,live_readiness|no_real_fees_rebates_spread_capture_pnl_live_deployment_or_promotion_proof|future_economics_context_only|future_economics_context_only
duplicate_settlement_identity,settlement_duplicate,1,duplicate_settlement_identity,settlement_duplicate
duplicate_settlement_identity,settlement_duplicate,2,duplicate_settlement_identity,settlement_duplicate
