policy_case,required_fields,current_status,fail_closed_required,accepted_future_use,forbidden_current_interpretation,notes
base_quote_asset_units,base_asset|quote_asset|unit_precision,design_label_only,no,future_unit_context,common_pnl_unit_without_conversion,Base and quote units remain separate.
fee_currency_unit,fee_currency|fee_asset|amount_precision,design_label_only,no,future_fee_unit_context,fee_as_quote_without_proof,Fee currency must not be assumed.
rebate_currency_unit,rebate_currency|rebate_asset|amount_precision,design_label_only,no,future_rebate_unit_context,rebate_as_quote_without_proof,Rebate currency must not be assumed.
conversion_timestamp_policy,conversion_timestamp|exchange_settlement_time|fill_time,design_label_only,no,future_conversion_context,conversion_time_as_fill_or_settlement_time,Conversion timestamp stays separate.
conversion_source_provenance,conversion_source_provenance|conversion_rate,design_label_only,no,future_conversion_context,conversion_rate_assumed,Source provenance required.
tick_size_policy,tick_size|instrument|quote_asset,design_label_only,no,future_tick_context,tick_metric_proof,Tick size requires unit identity.
tick_value_policy,tick_value|conversion_rate|quote_asset,design_label_only,no,future_tick_value_context,pnl_value_proof,Tick value requires accepted conversion.
rounding_tolerance_policy,rounding_policy|conversion_tolerance|amount_precision,design_label_only,no,future_precision_context,implicit_rounding_metric,Tolerance must be explicit.
missing_conversion_fail_closed,conversion_rate_or_source_missing,fail_closed,yes,none,pnl_or_spread_capture_proof,Missing conversion blocks common-unit economics.
conflicting_conversion_fail_closed,conflicting_conversion_source_or_rate,fail_closed,yes,none,pnl_or_spread_capture_proof,Conflicting conversion blocks economics proof.
unit_inconsistent_fail_closed,asset_or_currency_unit_mismatch,fail_closed,yes,none,pnl_or_spread_capture_proof,Unit mismatch blocks economics proof.
precision_invalid_fail_closed,precision_or_rounding_invalid,fail_closed,yes,none,pnl_or_spread_capture_proof,Precision invalid blocks economics proof.
unsupported_conversion_fail_closed,unsupported_conversion_or_tick_policy,fail_closed,yes,none,pnl_or_spread_capture_proof,Unsupported conversion blocks economics proof.
