settlement_label,category,accepted_future_use,current_proof_status,fail_closed_required,forbidden_current_interpretation,notes
maker_fee_settlement_design_label,fee_settlement,future_fee_arithmetic_context,design_label_only,no,current_maker_fee_metric,Requires accepted settlement artifact and arithmetic validation later.
maker_rebate_settlement_design_label,rebate_settlement,future_rebate_arithmetic_context,design_label_only,no,current_maker_rebate_metric,Requires accepted settlement artifact and arithmetic validation later.
taker_fee_settlement_design_label,fee_settlement,future_taker_fee_context,design_label_only,no,current_taker_fee_metric,Requires maker/taker classification validation later.
zero_fee_settlement_design_label,zero_fee_context,future_zero_fee_context,design_label_only,no,current_zero_fee_metric,Requires explicit settlement proof later.
funding_commission_adjustment_design_label,adjustment_context,future_adjustment_context,design_label_only,no,current_pnl_adjustment_metric,Adjustment label is not fee/rebate proof.
missing_settlement_fail_closed,missing_evidence,none,fail_closed,yes,fee_rebate_or_pnl_proof,No settlement evidence.
delayed_settlement_fail_closed,delayed_evidence,none,fail_closed,yes,current_settlement_metric,Settlement timing incomplete.
partial_settlement_fail_closed,partial_evidence,none,fail_closed,yes,current_net_fee_metric,Partial settlement cannot prove full economics.
unknown_settlement_fail_closed,unknown_evidence,none,fail_closed,yes,fee_rebate_or_pnl_proof,Unknown settlement type.
ambiguous_settlement_fail_closed,ambiguous_evidence,none,fail_closed,yes,fee_rebate_or_pnl_proof,Ambiguous settlement type.
conflicting_settlement_fail_closed,conflicting_evidence,none,fail_closed,yes,fee_rebate_or_pnl_proof,Conflicting settlement records.
unsupported_settlement_fail_closed,unsupported_evidence,none,fail_closed,yes,fee_rebate_or_pnl_proof,Unsupported settlement class.
