column_name,column_category,required_status,source_contract,definition,allowed_use,forbidden_use,validator_reference
artifact_schema_version,validation_trace,required,T006 manifest,"Version of the future row-level read-only artifact schema.","Schema compatibility and QA trace only.","No strategy, live, or deployment behavior.",reject_strategy_private_order_live_or_promotion
artifact_generation_task_id,validation_trace,required,T006 acceptance gate,"Task id of the separately dispatched future implementation task.","Lineage and QA trace only.","No implicit authorization from T006.",reject_implicit_generator_authorization
source_task_id,lineage,required,T003/T004/T005 manifests,"Accepted source task id for each future row.","Immutable provenance only.","No ad hoc source expansion.",reject_ad_hoc_source_expansion
source_artifact_path,lineage,required,input_manifest_allowlist.csv,"Accepted local source artifact path for each future row.","Read-only source trace only.","No remote path, private endpoint output, live bot log, account state, or production config.",reject_private_order_or_collection_scope_expansion
source_sample_id,lineage,required,T003 lineage,"Accepted public/canonical sample id if available.","Sample provenance and concentration checks only.","No sample-specific live enablement or deployment recommendation.",reject_live_or_deployment_claim
source_row_reference,lineage,required,T003 row_level_input_policy,"Stable reference to a source row in accepted public/canonical artifacts.","Traceability only; no source rows are generated in T006.","No source-row catalog generation inside T006.",reject_row_level_generation_in_t006
source_observation_ts,lineage,required,T003 source row lineage,"Decision-time observation timestamp from accepted source rows.","Timestamp provenance and as-of QA only.","No order timing, live scheduling, or trigger timing.",reject_executable_trigger_fields
context_basis_mid_ticks,decision_time_visible_context,allowed,T004 case_field_contract.csv,"Decision-time Binance mid minus Hyperliquid mid in ticks.","Read-only context only.","No executable trigger, order side, quote price, quote size, leverage, stop/take-profit, shadow decision, live instruction, or strategy implementation.",reject_executable_trigger_fields
basis_magnitude_bucket,decision_time_visible_context,allowed,T004 case_field_contract.csv,"Decision-time basis magnitude bucket inherited from T004.","Read-only context and diagnostic explanation only.","No executable trigger, row-level case-library trigger, or trading instruction.",reject_label_as_trigger_or_shadow_decision
hl_top5_imbalance_bucket,decision_time_visible_context,allowed,T004 case_field_contract.csv,"Decision-time public Hyperliquid top5 imbalance bucket.","Read-only venue-state context only.","No private/order endpoint use, order side, quote price, or strategy rule.",reject_private_order_or_collection_scope_expansion
hl_microprice_minus_mid_bucket,decision_time_visible_context,allowed,T004 case_field_contract.csv,"Decision-time public Hyperliquid microprice-minus-mid bucket.","Read-only venue-state context only.","No executable trigger, shadow decision, or live behavior.",reject_executable_trigger_fields
input_binance_mid_move_ticks_from_prev,decision_time_visible_context,allowed,T004 case_field_contract.csv,"Decision-time Binance momentum control inherited from T004.","Read-only control/context field only.","No future label substitution and no strategy trigger.",reject_future_label_as_input
spread_bucket,diagnostic_context,allowed,T004 case_field_contract.csv,"Public observed spread bucket used for diagnostic stability checks.","Read-only diagnostic reporting only.","No quote placement, quote distance, or execution rule.",reject_diagnostic_to_strategy_upgrade
join_age_bucket,diagnostic_context,allowed,T004 case_field_contract.csv,"Observation join-age bucket used for data freshness diagnostics.","Read-only diagnostic reporting only.","No live gate, production config, or order behavior.",reject_diagnostic_to_strategy_upgrade
visible_movement_bucket,diagnostic_context,allowed,T004 case_field_contract.csv,"Public movement/activity proxy used for conditioning checks.","Read-only diagnostic reporting only.","No parameter search or deployment decision.",reject_diagnostic_to_strategy_upgrade
case_label,read_only_label,required,T004 case_label_contract.csv,"Read-only design label such as basis_positive_clean_context.","Offline research grouping only.","No executable trigger, case-library trigger, shadow decision, order side, or trading instruction.",reject_label_as_trigger_or_shadow_decision
horizon_ms,future_label_for_research_only,allowed,T004 case_field_contract.csv,"Nominal future horizon for offline outcome evaluation.","Offline research output only.","Forbidden as input, trigger, filter, case condition, shadow-decision field, or live decision.",reject_future_label_as_input
effective_future_row_delta_count,future_label_for_research_only,allowed,T004 case_field_contract.csv,"Effective future row-delta support count for horizon independence diagnostics.","Offline research output only.","Forbidden as input, trigger, filter, case condition, shadow-decision field, or live decision.",reject_future_label_as_input
hyperliquid_future_mid_move_ticks,future_label_for_research_only,allowed,T004 case_field_contract.csv,"Future Hyperliquid mid move outcome label.","Offline research output only.","Forbidden as input, trigger, row-level case condition, shadow-decision field, or live decision.",reject_future_label_as_input
fill_probability_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that fill probability remains unproven.","Execution gap preservation only.","No claim that maker fills are proven.",reject_execution_layer_proof_overclaim
queue_position_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that queue or queue-ahead remains unproven.","Execution gap preservation only.","No queue or priority proof claim.",reject_execution_layer_proof_overclaim
post_only_reject_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that post-only reject behavior remains unproven.","Execution gap preservation only.","No post-only execution claim.",reject_execution_layer_proof_overclaim
cancel_fill_race_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that cancel-fill race behavior remains unproven.","Execution gap preservation only.","No cancel-fill safety claim.",reject_execution_layer_proof_overclaim
fees_rebates_spread_capture_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that fees, rebates, and spread capture remain unproven.","Execution gap preservation only.","No PnL, spread capture, or promotion claim.",reject_execution_layer_proof_overclaim
inventory_lifecycle_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that inventory lifecycle remains unproven.","Execution gap preservation only.","No inventory execution claim.",reject_execution_layer_proof_overclaim
real_order_lifecycle_unproven,execution_gap_reference,required,T005 execution_gap_boundary_register.md,"Marker that real order lifecycle remains unproven.","Execution gap preservation only.","No private/order endpoint, user stream, signing, nonce, or exchange reconciliation proof claim.",reject_execution_layer_proof_overclaim
validator_schema_pass,validation_trace,required,T006 acceptance gate,"Future validator pass/fail trace for schema-only checks.","QA trace only.","No live or strategy authorization.",reject_strategy_private_order_live_or_promotion
validator_no_action_fields_pass,validation_trace,required,no_action_field_guard_requirements.csv,"Future validator trace proving no action-capable fields exist.","QA trace only.","No order side, quote price/size, submit/cancel/fill, leverage, stop/take-profit, trigger, private/order/live field.",reject_action_field_definitions
validator_future_label_output_only_pass,validation_trace,required,future_label_leakage_guard_requirements.csv,"Future validator trace proving future labels remain output-only.","QA trace only.","No future label as input, trigger, filter, condition, shadow decision, or live decision.",reject_future_label_as_input
