capture_id,research_date,role,reference_grid_ms,robustness_grid_ms,label_matched_agreement,row_count
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,200.0,400.0,0.9878888888888889,18000
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,200.0,400.0,0.994,4500
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,200.0,400.0,0.9933333333333333,4500
2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,200.0,400.0,0.9975555555555555,4500
2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,200.0,400.0,0.994,4500
2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,200.0,400.0,0.996,4500
2026-07-30_1b18a29f3daf,2026-07-30,historical_method_development,200.0,400.0,0.9846666666666667,4500
2026-07-30_c655ea10171f,2026-07-30,historical_method_development,200.0,400.0,0.9977777777777778,4500
2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,200.0,400.0,0.9962222222222222,4500
2026-07-30_47309d2a7046,2026-07-30,historical_method_development,200.0,400.0,0.9955555555555555,4500
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,200.0,400.0,0.9946666666666667,4500
2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,200.0,400.0,0.9955555555555555,4500
2026-08-03_098332acc16a,2026-08-03,historical_method_development,200.0,400.0,0.9837777777777778,4500
2026-08-03_b7b76aed76b8,2026-08-03,historical_method_development,200.0,400.0,0.9848888888888889,4500
2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,200.0,400.0,0.9951111111111111,4500
2026-08-03_3a405386e85b,2026-08-03,historical_method_development,200.0,400.0,0.996,4500
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,200.0,400.0,0.9951111111111111,4500
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,200.0,400.0,0.9948888888888889,4500
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,200.0,400.0,0.9951111111111111,4500
2026-08-03_d8e3322d6f2c,2026-08-03,historical_method_development,200.0,400.0,0.9944444444444445,4500
2026-08-04_a6a45be8a495,2026-08-04,historical_method_development,200.0,400.0,0.9956111111111111,18000
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,200.0,400.0,0.9952777777777778,36000
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,200.0,400.0,0.9961111111111111,36000
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,200.0,400.0,0.9966111111111111,36000
2026-08-26_164de1d394f7,2026-08-26,historical_no_refit_replay,200.0,400.0,0.99712,18750
2026-08-26_a055aa6c7a87,2026-08-26,historical_no_refit_replay,200.0,400.0,0.9944,18750
2026-08-26_7e4d0a9ed099,2026-08-26,historical_no_refit_replay,200.0,400.0,0.99648,18750
2026-08-26_20fa36ad4d76,2026-08-26,historical_no_refit_replay,200.0,400.0,0.9957866666666667,18750
2026-08-27_ba5ebc09e758,2026-08-27,historical_no_refit_replay,200.0,400.0,0.9972266666666667,18750
