prototype_id,neutral_path,role,occurrence_count,assigned_without_refit
c448af53139e,Q1->Q0->Q1,historical_method_development,8228,false
c448af53139e,Q1->Q0->Q1,historical_blocked_validation,6653,true
c448af53139e,Q1->Q0->Q1,historical_no_refit_replay,4910,true
63ccdbbeea72,Q0->Q1->Q0,historical_method_development,7954,false
63ccdbbeea72,Q0->Q1->Q0,historical_blocked_validation,4831,true
63ccdbbeea72,Q0->Q1->Q0,historical_no_refit_replay,3883,true
1e721abcd652,Q1->Q0->Q1->Q0->Q1,historical_method_development,6619,false
1e721abcd652,Q1->Q0->Q1->Q0->Q1,historical_blocked_validation,1366,true
1e721abcd652,Q1->Q0->Q1->Q0->Q1,historical_no_refit_replay,2090,true
10663514f7ee,Q0->Q1->Q0->Q1->Q0,historical_method_development,6594,false
10663514f7ee,Q0->Q1->Q0->Q1->Q0,historical_blocked_validation,1136,true
10663514f7ee,Q0->Q1->Q0->Q1->Q0,historical_no_refit_replay,1979,true
544a9df1a50f,Q1->Q4->Q1,historical_method_development,1680,false
544a9df1a50f,Q1->Q4->Q1,historical_blocked_validation,7186,true
544a9df1a50f,Q1->Q4->Q1,historical_no_refit_replay,7332,true
