research_date,filter_id,signal_pair_count,background_pair_count,abstain_pair_count,total_pair_count,partition_exact
2026-07-29,F000,0,44458,855522,899980,True
2026-07-29,F001,0,44458,855522,899980,True
2026-07-29,F002,0,44458,855522,899980,True
2026-07-29,F010,0,44458,855522,899980,True
2026-07-29,F011,0,44458,855522,899980,True
2026-07-29,F012,0,44458,855522,899980,True
2026-07-29,F020,0,44458,855522,899980,True
2026-07-29,F021,0,44458,855522,899980,True
2026-07-29,F022,0,44458,855522,899980,True
2026-07-29,F100,0,44458,855522,899980,True
2026-07-29,F101,0,44458,855522,899980,True
2026-07-29,F102,0,44458,855522,899980,True
2026-07-29,F110,0,44458,855522,899980,True
2026-07-29,F111,0,44458,855522,899980,True
2026-07-29,F112,0,44458,855522,899980,True
2026-07-29,F120,0,44458,855522,899980,True
2026-07-29,F121,0,44458,855522,899980,True
2026-07-29,F122,0,44458,855522,899980,True
2026-07-29,F200,0,44458,855522,899980,True
2026-07-29,F201,0,44458,855522,899980,True
2026-07-29,F202,0,44458,855522,899980,True
2026-07-29,F210,0,44458,855522,899980,True
2026-07-29,F211,0,44458,855522,899980,True
2026-07-29,F212,0,44458,855522,899980,True
2026-07-29,F220,0,44458,855522,899980,True
2026-07-29,F221,0,44458,855522,899980,True
2026-07-29,F222,0,44458,855522,899980,True
2026-07-30,F000,0,1112194,327652,1439846,True
2026-07-30,F001,0,1112194,327652,1439846,True
2026-07-30,F002,0,1112194,327652,1439846,True
2026-07-30,F010,0,1112194,327652,1439846,True
2026-07-30,F011,0,1112194,327652,1439846,True
2026-07-30,F012,0,1112194,327652,1439846,True
2026-07-30,F020,0,1112194,327652,1439846,True
2026-07-30,F021,0,1112194,327652,1439846,True
2026-07-30,F022,0,1112194,327652,1439846,True
2026-07-30,F100,0,1112194,327652,1439846,True
2026-07-30,F101,0,1112194,327652,1439846,True
2026-07-30,F102,0,1112194,327652,1439846,True
2026-07-30,F110,0,1112194,327652,1439846,True
2026-07-30,F111,0,1112194,327652,1439846,True
2026-07-30,F112,0,1112194,327652,1439846,True
2026-07-30,F120,0,1112194,327652,1439846,True
2026-07-30,F121,0,1112194,327652,1439846,True
2026-07-30,F122,0,1112194,327652,1439846,True
2026-07-30,F200,0,1112194,327652,1439846,True
2026-07-30,F201,0,1112194,327652,1439846,True
2026-07-30,F202,0,1112194,327652,1439846,True
2026-07-30,F210,0,1112194,327652,1439846,True
2026-07-30,F211,0,1112194,327652,1439846,True
2026-07-30,F212,0,1112194,327652,1439846,True
2026-07-30,F220,0,1112194,327652,1439846,True
2026-07-30,F221,0,1112194,327652,1439846,True
2026-07-30,F222,0,1112194,327652,1439846,True
2026-08-03,F000,0,596910,1202896,1799806,True
2026-08-03,F001,0,596910,1202896,1799806,True
2026-08-03,F002,0,596910,1202896,1799806,True
2026-08-03,F010,0,596910,1202896,1799806,True
2026-08-03,F011,0,596910,1202896,1799806,True
