research_date,filter_id,common_candidate_count,admitted_candidate_count,admitted_cluster_count,cancel_insufficient_history,cancel_abstain,cancel_not_novel,cancel_opposite_coherence,cancel_conflict,cancel_coherence_lost,cancel_margin
2026-07-29,F000,7,0,0,0,5,2,0,0,0,0
2026-07-29,F001,7,0,0,0,7,0,0,0,0,0
2026-07-29,F002,7,0,0,0,7,0,0,0,0,0
2026-07-29,F010,7,0,0,0,5,2,0,0,0,0
2026-07-29,F011,7,0,0,0,7,0,0,0,0,0
2026-07-29,F012,7,0,0,0,7,0,0,0,0,0
2026-07-29,F020,7,0,0,0,5,2,0,0,0,0
2026-07-29,F021,7,0,0,0,7,0,0,0,0,0
2026-07-29,F022,7,0,0,0,7,0,0,0,0,0
2026-07-29,F100,7,0,0,0,7,0,0,0,0,0
2026-07-29,F101,7,0,0,0,7,0,0,0,0,0
2026-07-29,F102,7,0,0,0,7,0,0,0,0,0
2026-07-29,F110,7,0,0,0,7,0,0,0,0,0
2026-07-29,F111,7,0,0,0,7,0,0,0,0,0
2026-07-29,F112,7,0,0,0,7,0,0,0,0,0
2026-07-29,F120,7,0,0,0,7,0,0,0,0,0
2026-07-29,F121,7,0,0,0,7,0,0,0,0,0
2026-07-29,F122,7,0,0,0,7,0,0,0,0,0
2026-07-29,F200,7,0,0,0,7,0,0,0,0,0
2026-07-29,F201,7,0,0,0,7,0,0,0,0,0
2026-07-29,F202,7,0,0,0,7,0,0,0,0,0
2026-07-29,F210,7,0,0,0,7,0,0,0,0,0
2026-07-29,F211,7,0,0,0,7,0,0,0,0,0
2026-07-29,F212,7,0,0,0,7,0,0,0,0,0
2026-07-29,F220,7,0,0,0,7,0,0,0,0,0
2026-07-29,F221,7,0,0,0,7,0,0,0,0,0
2026-07-29,F222,7,0,0,0,7,0,0,0,0,0
2026-07-30,F000,158,0,0,0,112,26,3,11,6,0
2026-07-30,F001,158,0,0,0,133,17,1,5,2,0
2026-07-30,F002,158,0,0,0,148,8,1,1,0,0
2026-07-30,F010,158,0,0,0,112,26,3,11,6,0
2026-07-30,F011,158,0,0,0,133,17,1,5,2,0
2026-07-30,F012,158,0,0,0,148,8,1,1,0,0
2026-07-30,F020,158,0,0,0,112,26,3,11,6,0
2026-07-30,F021,158,0,0,0,133,17,1,5,2,0
2026-07-30,F022,158,0,0,0,148,8,1,1,0,0
2026-07-30,F100,158,0,0,0,125,15,8,9,1,0
2026-07-30,F101,158,0,0,0,139,12,4,2,1,0
2026-07-30,F102,158,0,0,0,149,7,1,1,0,0
2026-07-30,F110,158,0,0,0,125,15,8,9,1,0
2026-07-30,F111,158,0,0,0,139,12,4,2,1,0
2026-07-30,F112,158,0,0,0,149,7,1,1,0,0
2026-07-30,F120,158,0,0,0,125,15,8,9,1,0
2026-07-30,F121,158,0,0,0,139,12,4,2,1,0
2026-07-30,F122,158,0,0,0,149,7,1,1,0,0
2026-07-30,F200,158,0,0,0,134,10,8,6,0,0
2026-07-30,F201,158,0,0,0,144,8,4,2,0,0
2026-07-30,F202,158,0,0,0,151,5,2,0,0,0
2026-07-30,F210,158,0,0,0,134,10,8,6,0,0
2026-07-30,F211,158,0,0,0,144,8,4,2,0,0
2026-07-30,F212,158,0,0,0,151,5,2,0,0,0
2026-07-30,F220,158,0,0,0,134,10,8,6,0,0
2026-07-30,F221,158,0,0,0,144,8,4,2,0,0
2026-07-30,F222,158,0,0,0,151,5,2,0,0,0
2026-08-03,F000,59,0,0,0,48,2,1,7,0,1
2026-08-03,F001,59,0,0,0,51,3,0,5,0,0
2026-08-03,F002,59,0,0,0,54,3,0,2,0,0
2026-08-03,F010,59,0,0,0,48,2,1,7,0,1
2026-08-03,F011,59,0,0,0,51,3,0,5,0,0
2026-08-03,F012,59,0,0,0,54,3,0,2,0,0
2026-08-03,F020,59,0,0,0,48,2,1,7,0,1
2026-08-03,F021,59,0,0,0,51,3,0,5,0,0
2026-08-03,F022,59,0,0,0,54,3,0,2,0,0
2026-08-03,F100,59,0,0,0,48,2,1,7,1,0
2026-08-03,F101,59,0,0,0,51,3,0,5,0,0
2026-08-03,F102,59,0,0,0,54,3,0,2,0,0
2026-08-03,F110,59,0,0,0,48,2,1,7,1,0
2026-08-03,F111,59,0,0,0,51,3,0,5,0,0
2026-08-03,F112,59,0,0,0,54,3,0,2,0,0
2026-08-03,F120,59,0,0,0,48,2,1,7,1,0
2026-08-03,F121,59,0,0,0,51,3,0,5,0,0
2026-08-03,F122,59,0,0,0,54,3,0,2,0,0
2026-08-03,F200,59,0,0,0,50,1,3,5,0,0
2026-08-03,F201,59,0,0,0,52,2,2,3,0,0
