duration_ms,replicate,cluster_count
10000,0,0
10000,1,0
10000,2,0
10000,3,0
10000,4,0
10000,5,0
10000,6,0
10000,7,0
10000,8,0
10000,9,0
10000,10,0
10000,11,0
10000,12,0
10000,13,0
10000,14,0
10000,15,0
10000,16,0
10000,17,0
10000,18,0
10000,19,0
10000,20,0
10000,21,0
10000,22,0
10000,23,0
10000,24,0
10000,25,0
10000,26,0
10000,27,0
10000,28,0
10000,29,0
10000,30,0
10000,31,0
10000,32,0
10000,33,0
10000,34,0
10000,35,0
10000,36,0
10000,37,0
10000,38,0
10000,39,0
10000,40,0
10000,41,0
10000,42,0
10000,43,0
10000,44,0
10000,45,0
10000,46,0
10000,47,0
10000,48,0
10000,49,0
10000,50,0
10000,51,0
10000,52,0
10000,53,0
10000,54,0
10000,55,0
10000,56,0
10000,57,0
10000,58,0
10000,59,0
10000,60,0
10000,61,0
10000,62,0
10000,63,0
10000,64,0
10000,65,0
10000,66,0
10000,67,0
10000,68,0
10000,69,0
10000,70,0
10000,71,0
10000,72,0
10000,73,0
10000,74,0
10000,75,0
10000,76,0
10000,77,0
10000,78,0
10000,79,0
10000,80,0
10000,81,0
10000,82,0
10000,83,0
10000,84,0
10000,85,0
10000,86,0
10000,87,0
10000,88,0
10000,89,0
10000,90,0
10000,91,0
10000,92,0
10000,93,0
10000,94,0
10000,95,0
10000,96,0
10000,97,0
10000,98,0
10000,99,0
10000,100,0
10000,101,0
10000,102,0
10000,103,0
10000,104,0
10000,105,0
10000,106,0
10000,107,0
10000,108,0
10000,109,0
10000,110,0
10000,111,0
10000,112,0
10000,113,0
10000,114,0
10000,115,0
10000,116,0
10000,117,0
10000,118,0
10000,119,0
10000,120,0
10000,121,0
10000,122,0
10000,123,0
10000,124,0
10000,125,0
10000,126,0
10000,127,0
10000,128,0
10000,129,0
10000,130,0
10000,131,0
10000,132,0
10000,133,0
10000,134,0
10000,135,0
10000,136,0
10000,137,0
10000,138,0
10000,139,0
10000,140,0
10000,141,0
10000,142,0
10000,143,0
10000,144,0
10000,145,0
10000,146,0
10000,147,0
10000,148,0
10000,149,0
10000,150,0
10000,151,0
10000,152,0
10000,153,0
10000,154,0
10000,155,0
10000,156,0
10000,157,0
10000,158,0
10000,159,0
10000,160,0
10000,161,0
10000,162,0
10000,163,0
10000,164,0
10000,165,0
10000,166,0
10000,167,0
10000,168,0
10000,169,0
10000,170,0
10000,171,0
10000,172,0
10000,173,0
10000,174,0
10000,175,0
10000,176,0
10000,177,0
10000,178,0
10000,179,0
10000,180,0
10000,181,0
10000,182,0
10000,183,0
10000,184,0
10000,185,0
10000,186,0
10000,187,0
10000,188,0
10000,189,0
10000,190,0
10000,191,0
10000,192,0
10000,193,0
10000,194,0
10000,195,0
10000,196,0
10000,197,0
10000,198,0
30000,0,0
30000,1,0
30000,2,0
30000,3,0
30000,4,0
30000,5,0
30000,6,0
30000,7,0
30000,8,0
30000,9,0
30000,10,0
30000,11,0
30000,12,0
30000,13,0
30000,14,0
30000,15,0
30000,16,0
30000,17,0
30000,18,0
30000,19,0
30000,20,0
30000,21,0
30000,22,0
30000,23,0
30000,24,0
30000,25,0
30000,26,0
30000,27,0
30000,28,0
30000,29,0
30000,30,0
30000,31,0
30000,32,0
30000,33,0
30000,34,0
30000,35,0
30000,36,0
30000,37,0
30000,38,0
30000,39,0
30000,40,0
30000,41,0
30000,42,0
30000,43,0
30000,44,0
30000,45,0
30000,46,0
30000,47,0
30000,48,0
30000,49,0
30000,50,0
30000,51,0
30000,52,0
30000,53,0
30000,54,0
30000,55,0
30000,56,0
30000,57,0
30000,58,0
30000,59,0
30000,60,0
30000,61,0
30000,62,0
30000,63,0
30000,64,0
30000,65,0
30000,66,0
30000,67,0
30000,68,0
30000,69,0
30000,70,0
30000,71,0
30000,72,0
30000,73,0
30000,74,0
30000,75,0
30000,76,0
30000,77,0
30000,78,0
30000,79,0
30000,80,0
30000,81,0
30000,82,0
30000,83,0
30000,84,0
30000,85,0
30000,86,0
30000,87,0
30000,88,0
30000,89,0
30000,90,0
30000,91,0
30000,92,0
30000,93,0
30000,94,0
30000,95,0
30000,96,0
30000,97,0
30000,98,0
30000,99,0
30000,100,0
30000,101,0
30000,102,0
30000,103,0
30000,104,0
30000,105,0
30000,106,0
30000,107,0
30000,108,0
30000,109,0
30000,110,0
30000,111,0
30000,112,0
30000,113,0
30000,114,0
30000,115,0
30000,116,0
30000,117,0
30000,118,0
30000,119,0
30000,120,0
30000,121,0
30000,122,0
30000,123,0
30000,124,0
30000,125,0
30000,126,0
30000,127,0
30000,128,0
30000,129,0
30000,130,0
30000,131,0
30000,132,0
30000,133,0
30000,134,0
30000,135,0
30000,136,0
30000,137,0
30000,138,0
30000,139,0
30000,140,0
30000,141,0
30000,142,0
30000,143,0
30000,144,0
30000,145,0
30000,146,0
30000,147,0
30000,148,0
30000,149,0
30000,150,0
30000,151,0
30000,152,0
30000,153,0
30000,154,0
30000,155,0
30000,156,0
30000,157,0
30000,158,0
30000,159,0
30000,160,0
30000,161,0
30000,162,0
30000,163,0
30000,164,0
30000,165,0
30000,166,0
30000,167,0
30000,168,0
30000,169,0
30000,170,0
30000,171,0
30000,172,0
30000,173,0
30000,174,0
30000,175,0
30000,176,0
30000,177,0
30000,178,0
30000,179,0
30000,180,0
30000,181,0
30000,182,0
30000,183,0
30000,184,0
30000,185,0
30000,186,0
30000,187,0
30000,188,0
30000,189,0
30000,190,0
30000,191,0
30000,192,0
30000,193,0
30000,194,0
30000,195,0
30000,196,0
30000,197,0
30000,198,0
60000,0,0
60000,1,0
60000,2,0
60000,3,0
60000,4,0
60000,5,0
60000,6,0
60000,7,0
60000,8,0
60000,9,0
60000,10,0
60000,11,0
60000,12,0
60000,13,0
60000,14,0
60000,15,0
60000,16,0
60000,17,0
60000,18,0
60000,19,0
60000,20,0
60000,21,0
60000,22,0
60000,23,0
60000,24,0
60000,25,0
60000,26,0
60000,27,0
60000,28,0
60000,29,0
60000,30,0
60000,31,0
60000,32,0
60000,33,0
60000,34,0
60000,35,0
60000,36,0
60000,37,0
60000,38,0
60000,39,0
60000,40,0
60000,41,0
60000,42,0
60000,43,0
60000,44,0
60000,45,0
60000,46,0
60000,47,0
60000,48,0
60000,49,0
60000,50,0
60000,51,0
60000,52,0
60000,53,0
60000,54,0
60000,55,0
60000,56,0
60000,57,0
60000,58,0
60000,59,0
60000,60,0
60000,61,0
60000,62,0
60000,63,0
60000,64,0
60000,65,0
60000,66,0
60000,67,0
60000,68,0
60000,69,0
60000,70,0
60000,71,0
60000,72,0
60000,73,0
60000,74,0
60000,75,0
60000,76,0
60000,77,0
60000,78,0
60000,79,0
60000,80,0
60000,81,0
60000,82,0
60000,83,0
60000,84,0
60000,85,0
60000,86,0
60000,87,0
60000,88,0
60000,89,0
60000,90,0
60000,91,0
60000,92,0
60000,93,0
60000,94,0
60000,95,0
60000,96,0
60000,97,0
60000,98,0
60000,99,0
60000,100,0
60000,101,0
60000,102,0
60000,103,0
60000,104,0
60000,105,0
60000,106,0
60000,107,0
60000,108,0
60000,109,0
60000,110,0
60000,111,0
60000,112,0
60000,113,0
60000,114,0
60000,115,0
60000,116,0
60000,117,0
60000,118,0
60000,119,0
60000,120,0
60000,121,0
60000,122,0
60000,123,0
60000,124,0
60000,125,0
60000,126,0
60000,127,0
60000,128,0
60000,129,0
60000,130,0
60000,131,0
60000,132,0
60000,133,0
60000,134,0
60000,135,0
60000,136,0
60000,137,0
60000,138,0
60000,139,0
60000,140,0
60000,141,0
60000,142,0
60000,143,0
60000,144,0
60000,145,0
60000,146,0
60000,147,0
60000,148,0
60000,149,0
60000,150,0
60000,151,0
60000,152,0
60000,153,0
60000,154,0
60000,155,0
60000,156,0
60000,157,0
60000,158,0
60000,159,0
60000,160,0
60000,161,0
60000,162,0
60000,163,0
60000,164,0
60000,165,0
60000,166,0
60000,167,0
60000,168,0
60000,169,0
60000,170,0
60000,171,0
60000,172,0
60000,173,0
60000,174,0
60000,175,0
60000,176,0
60000,177,0
60000,178,0
60000,179,0
60000,180,0
60000,181,0
60000,182,0
60000,183,0
60000,184,0
60000,185,0
60000,186,0
60000,187,0
60000,188,0
60000,189,0
60000,190,0
60000,191,0
60000,192,0
60000,193,0
60000,194,0
60000,195,0
60000,196,0
60000,197,0
60000,198,0
