capture_id,research_date,segment_id,artificial_start_ts_ns,comparison_guard_ts_ns,expected_count,actual_count,identity_exact,expected_support_count,actual_support_count,support_count_exact
2026-07-29_0540d8311fc2,2026-07-29,0,1785314248220000000,1785314310220000000,0,0,True,12774,12774,True
2026-07-29_0540d8311fc2,2026-07-29,0,1785314848220000000,1785314910220000000,0,0,True,5209,5209,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785292645000000000,1785292707000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785293245000000000,1785293307000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785293845000000000,1785293907000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785294445000000000,1785294507000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785295045000000000,1785295107000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785295645000000000,1785295707000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785296245000000000,1785296307000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785296845000000000,1785296907000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785297445000000000,1785297507000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785298045000000000,1785298107000000000,0,0,True,0,0,True
2026-07-29_c092d6b4402c,2026-07-29,1,1785298645000000000,1785298707000000000,0,0,True,0,0,True
2026-07-30_1b18a29f3daf,2026-07-30,0,1785377093680000000,1785377155680000000,0,0,True,46852,46852,True
2026-07-30_1b18a29f3daf,2026-07-30,0,1785377693680000000,1785377755680000000,0,0,True,22232,22232,True
2026-07-30_2cc63928e27f,2026-07-30,0,1785369889540000000,1785369951540000000,0,0,True,52946,52946,True
2026-07-30_2cc63928e27f,2026-07-30,0,1785370489540000000,1785370551540000000,0,0,True,24785,24785,True
2026-07-30_47309d2a7046,2026-07-30,0,1785382496460000000,1785382558460000000,0,0,True,33540,33540,True
2026-07-30_47309d2a7046,2026-07-30,0,1785383096460000000,1785383158460000000,0,0,True,15738,15738,True
2026-07-30_b19ed82d662d,2026-07-30,0,1785375292840000000,1785375354840000000,0,0,True,48015,48015,True
2026-07-30_b19ed82d662d,2026-07-30,0,1785375892840000000,1785375954840000000,0,0,True,22044,22044,True
2026-07-30_bd0fb3d8fa82,2026-07-30,0,1785371690660000000,1785371752660000000,0,0,True,46839,46839,True
2026-07-30_bd0fb3d8fa82,2026-07-30,0,1785372290660000000,1785372352660000000,0,0,True,22574,22574,True
2026-07-30_c655ea10171f,2026-07-30,0,1785378894620000000,1785378956620000000,0,0,True,40414,40414,True
2026-07-30_c655ea10171f,2026-07-30,0,1785379494620000000,1785379556620000000,0,0,True,18109,18109,True
2026-07-30_d88a85361fb1,2026-07-30,0,1785373491600000000,1785373553600000000,0,0,True,50103,50103,True
2026-07-30_d88a85361fb1,2026-07-30,0,1785374091600000000,1785374153600000000,0,0,True,22701,22701,True
2026-07-30_f91aa7f4acf1,2026-07-30,0,1785380695500000000,1785380757500000000,0,0,True,37939,37939,True
2026-07-30_f91aa7f4acf1,2026-07-30,0,1785381295500000000,1785381357500000000,0,0,True,17349,17349,True
