handoff_id,future_source_field_or_fact,target_schema_field,required_transform,validation_gate,fail_closed_if_missing_or_invalid,forbidden_interpretation
source_task_identity,collector_task_id,task_id,set_to_future_collector_task_id,prerequisite_source_line_gate,true,collector_task_id_as_metric_proof
source_contract_identity,source_contract_task_id,source_task_id,must_equal_0610T006,prerequisite_source_line_gate,true,wrong_source_contract_as_authority
source_line_identity,private_order_response_source_line,source_line_id,must_equal_private_order_response_source_line,schema_forbidden_field_gate,true,cross_source_line_metric_claim
venue_symbol,venue_and_instrument,venue|instrument,normalize_to_artifact_strings,source_provenance_gate,true,venue_symbol_as_strategy_signal
artifact_authority,read_only_private_order_response_artifact,artifact_source_class,must_be_accepted_private_order_response_artifact_contract,source_policy_gate,true,unsupported_endpoint_as_evidence
source_policy,read_only_no_trading_source_policy,source_policy,must_be_design_or_later_read_only_no_trading_policy,source_policy_gate,true,trading_capable_policy_as_evidence
artifact_event_identity,source_event_or_message_identifier,artifact_event_id,stable_local_artifact_id_not_raw_secret,identity_consistency_gate,true,raw_endpoint_event_as_order_proof
event_sequence,source_event_order,event_sequence_index,monotonic_per_opaque_order_reference,lifecycle_terminal_consistency_gate,true,event_order_as_queue_priority_proof
client_order_reference,raw_client_order_id_or_client_ref,client_order_ref_hash,hash_or_opaque_reference_before_storage,identity_consistency_gate,true,raw_client_order_id_storage
exchange_order_reference,raw_exchange_order_id,exchange_order_ref_hash,hash_or_opaque_reference_before_storage,identity_consistency_gate,true,raw_exchange_order_id_storage
exchange_time,exchange_reported_event_time,exchange_event_time,preserve_source_reported_timestamp_domain,timing_separation_gate,true,artifact_time_as_exchange_time
local_receive,collector_receive_clock,local_receive_time,preserve_local_receive_timestamp_domain,timing_separation_gate,true,receive_time_as_fill_latency_proof
artifact_generation,local_artifact_write_clock,artifact_generated_time,preserve_artifact_generation_timestamp_domain,timing_separation_gate,true,generated_time_as_exchange_time
validation_time,validator_or_reconciliation_clock,validation_or_reconciliation_time,preserve_validation_timestamp_domain,timing_separation_gate,true,validation_time_as_lifecycle_event_time
response_category,accepted_rejected_filled_canceled_expired_or_unknown,response_category,map_to_0611T002_allowed_response_categories,response_label_taxonomy_gate,true,response_label_as_fill_probability
lifecycle_state,source_lifecycle_state,lifecycle_state_label,map_to_0611T002_allowed_lifecycle_states,lifecycle_terminal_consistency_gate,true,single_label_as_real_lifecycle_proof
post_only_reject,source_reject_code_or_reason,post_only_reject_class,map_unknown_missing_conflicting_unsupported_to_fail_closed,post_only_reject_taxonomy_gate,true,generic_reject_as_post_only_behavior
terminal_marker,terminal_or_active_status,terminal_state_marker,map_to_terminal_non_terminal_unknown_conflicting,lifecycle_terminal_consistency_gate,true,terminal_marker_as_pnl_or_viability_proof
conflict_flag,unknown_missing_conflicting_state,unknown_missing_conflicting_flag,set_true_for_uncertain_or_conflicting_evidence,unknown_missing_conflicting_event_gate,true,uncertain_event_as_accepted_evidence
validation_gate,active_validator_gate_id,validation_gate_id,record_specific_gate_that_accepted_or_failed,overclaim_rejection_gate,true,missing_gate_as_validated_artifact
validation_status,validator_result,validation_status,map_to_accepted_fail_closed_or_unsupported_design_label,overclaim_rejection_gate,true,accepted_status_as_metric_authorization
fail_reason,validator_fail_reason,fail_closed_reason,record_reason_for_fail_closed_or_empty_for_pass,overclaim_rejection_gate,false,empty_fail_reason_as_success_when_failed
overclaim_id,overclaim_rejection_rule,overclaim_rejection_id,record_reject_rule_for_forbidden_claims,overclaim_rejection_gate,true,boundary_pass_as_execution_proof
allowed_future_use,future_use_text,allowed_future_use,local_artifact_validation_and_reconciliation_input_only,boundary_preservation_gate,true,runner_strategy_live_authorization
forbidden_interpretation,forbidden_scope_text,forbidden_current_interpretation,explicitly_forbid_metrics_strategy_live_promotion,boundary_preservation_gate,true,collector_boundary_as_promotion
