window_id,evaluation_id,order_attempt_id,event_sequence,source_kind,order_status_type,hold_elapsed_seconds,quote_aging_guard_status,quote_aging_guard_reason,observation_horizon_status,censoring_status,censoring_reason
window_01,1,,518,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,2,,1036,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,3,,1056,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,4,,1139,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,5,,1184,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,6,,1233,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,7,,1591,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,8,,1615,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,9,,1632,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,10,,1687,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,11,,1691,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,12,,1906,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,13,,1968,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,14,,2024,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,15,,2450,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,16,,2468,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,17,,2869,0713T002_live_window_artifact,skipped,,,,not_applicable_no_order_submitted,not_applicable_no_order_submitted,no_order_submitted
window_01,18,1,2922,0713T002_live_window_artifact,resting,3.125993,pass,,short_horizon,short_hold_censored,hold_lt_5s_no_low_fill_probability_inference
