window_id,evaluation_id,order_attempt_id,event_sequence,source_kind,source_path,live_classification,order_status_type,side,limit_px,size_btc,post_only_tif,order_endpoint_called,post_only_reject,reject_interpretation,quote_placement,pre_bid,pre_ask,post_bid,post_ask,hold_elapsed_seconds,censoring_status,censoring_reason,no_fill_state,depth_proxy_status,depth_proxy_scope,same_side_visible_qty_at_or_ahead_of_quote_btc,same_side_visible_order_count_at_or_ahead_of_quote,top_depth_multiple_of_order,trade_through_status,public_trade_count,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,opportunity_status,exact_timestamp_caveat,evidence_limitation,route_signal
window_01,1,,518,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,2,,1036,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,3,,1056,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,4,,1139,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,5,,1184,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,6,,1233,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,7,,1591,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,8,,1615,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,9,,1632,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
window_01,10,,1687,0713T002_live_window_artifact,local_live_analysis/cross_exchange_resting_interval_live_evidence_0713T002_20260713T064917Z/window_01,submitted_resting_no_fill,skipped,,,,Alo,False,False,,placement_unknown_no_order_submitted,62844.0,62845.0,62844.0,62845.0,,not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,depth_proxy_missing_or_not_applicable,no_order_submitted,,,,not_applicable_no_order_submitted,0,,,,,,not_applicable_no_order_submitted,opportunity_not_applicable_no_order_submitted,no_order_submitted,no_order_submitted,no_order_submitted
