window_id,evaluation_id,order_attempt_id,event_sequence,source_kind,depth_proxy_status,depth_proxy_scope,side,limit_px,current_bid,current_ask,same_side_visible_qty_at_or_ahead_of_quote_btc,same_side_visible_order_count_at_or_ahead_of_quote,top_depth_multiple_of_order,visible_depth_bucket,depth_reconstruction_status,post_only_non_crossing,current_touch_match
window_01,1,1,518,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,2,1,1036,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,3,1,1056,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,4,1,1139,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,5,1,1184,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,6,1,1233,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,7,1,1591,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,8,1,1615,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,9,1,1632,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,10,1,1687,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,11,1,1691,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,12,1,1906,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,13,1,1968,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,14,1,2024,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,15,1,2450,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,16,1,2468,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,17,1,2869,0713T002_live_window_artifact,depth_proxy_missing_or_not_applicable,no_order_submitted,,,62844.0,62845.0,,,,depth_proxy_missing,not_applicable_no_order_submitted,True,True
window_01,18,1,2922,0713T002_live_window_artifact,depth_proxy_present,resting_start_l2_book_snapshot_at_or_after_order_resting_proxy_not_exact,buy,62844.0,62844.0,62845.0,0.05334,1,10.885714286,large_visible_top_depth,l2_snapshot_proxy_not_after_order_resting,True,True
