artifact,sha256,bytes
attempt_level_quote_fill_evidence_matrix.csv,e6c566774b88bc182dd698662e843351370dbdcc3c0247ed240e6deb1bc6bc82,12296
boundary_manifest.json,a70f7da64b3fc22dca7f5742cd2d3433b4fa1ecdf5356a129bd006116a5b2bab,1014
censoring_horizon_matrix.csv,918747a07ab6e157f23871091cb868f564dd404615ecceeea3fa02102c5ed73c,3080
final_route.json,05706d1854ab93269c171ba4bb750c4c7ac73c39c22c6f0531be0b30076e8e1b,85
input_source_manifest.json,efd1b157d9bfaa974bec9e67d2956766ea792b50b62dfd7a0a74b65b934b3a78,2652
quote_fill_probability_manifest.json,58d84e90b54689885a15a0b21b8fa63d3cffebba227a75d585ced010d1a97249,5901
resting_interval_public_trades_depletion_summary.csv,0d582eb759e01d11f8f1861eb7fe26140e32b40970b654a8a491fb82e1c14d44,678
same_side_depth_proxy_matrix.csv,0873dccac4d2c1bedd6964edb57b9963b4b764c84e6bd99f2ec786979f019d6e,3885
source_attribution_overlay.json,823e53294ba1f02f3da7947fc666534a40fe852fcbdfec1880ab5ce133499d99,1671
validation_report.md,0e861c98acc75769f5dbbc4a706fe813e8314a5f59cf786c65f11cf7bc140611,896
