null_name,replicate,top_grammar_count,observed_top_grammar_count,exceeds_observed
transition_block_permutation,0,9907,26850,false
transition_block_permutation,1,9951,26850,false
transition_block_permutation,2,9947,26850,false
transition_block_permutation,3,9859,26850,false
transition_block_permutation,4,10010,26850,false
transition_block_permutation,5,9961,26850,false
transition_block_permutation,6,9825,26850,false
transition_block_permutation,7,9966,26850,false
transition_block_permutation,8,10057,26850,false
transition_block_permutation,9,9883,26850,false
transition_block_permutation,10,10040,26850,false
transition_block_permutation,11,9928,26850,false
transition_block_permutation,12,9916,26850,false
transition_block_permutation,13,9993,26850,false
transition_block_permutation,14,9738,26850,false
transition_block_permutation,15,10062,26850,false
transition_block_permutation,16,9876,26850,false
transition_block_permutation,17,10034,26850,false
transition_block_permutation,18,10001,26850,false
transition_block_permutation,19,9868,26850,false
transition_block_permutation,20,10144,26850,false
transition_block_permutation,21,9982,26850,false
transition_block_permutation,22,9963,26850,false
transition_block_permutation,23,9965,26850,false
transition_block_permutation,24,9949,26850,false
transition_block_permutation,25,9860,26850,false
transition_block_permutation,26,9941,26850,false
transition_block_permutation,27,10004,26850,false
transition_block_permutation,28,9885,26850,false
transition_block_permutation,29,9803,26850,false
transition_block_permutation,30,10061,26850,false
transition_block_permutation,31,9881,26850,false
transition_block_permutation,32,10037,26850,false
transition_block_permutation,33,10111,26850,false
transition_block_permutation,34,9998,26850,false
transition_block_permutation,35,9842,26850,false
transition_block_permutation,36,9960,26850,false
transition_block_permutation,37,9962,26850,false
transition_block_permutation,38,9931,26850,false
transition_block_permutation,39,9836,26850,false
