event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784017185940,1784017186288149868,0.348325,buy,62587,62587,62588,1,0.005,7.87682,40,1575.364,0,0,0,0,7.88182,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.87682,,,40,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784017185056,1784017186289469542,1.233596,buy,62587,62587,62588,1,0.005,7.87682,40,1575.364,1,0,0,0,7.88182,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,-884,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.87682,,,40,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_after_candidate_visible_by_local_receive,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784017186472,1784017186687123153,0.215323,buy,62587,62587,62588,1,0.005,7.67721,39,1535.442,1,0,0,0,7.68221,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,2,532,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,532,1784017185940,7.87682,7.67721,-0.19961,40,39,-1,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,l2Book,1784017187013,1784017187262968773,0.250111,buy,62587,62587,62588,1,0.005,7.66456,38,1532.912,1,0,0,0,7.66956,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,3,1073,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1073,1784017185940,7.87682,7.66456,-0.21226,40,38,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1784017187556,1784017187774405757,0.218556,buy,62587,62587,62588,1,0.005,7.65283,37,1530.566,1,0,0,0,7.65783,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,4,1616,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1616,1784017185940,7.87682,7.65283,-0.22399,40,37,-3,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1784017188089,1784017188311746183,0.222899,buy,62587,62587,62588,1,0.005,7.65283,37,1530.566,0,0,0,0,7.65783,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,5,2149,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2149,1784017185940,7.87682,7.65283,-0.22399,40,37,-3,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,l2Book,1784017188629,1784017188842504385,0.213645,buy,62587,62587,62588,1,0.005,8.05205,39,1610.41,0,0,0,0,8.05705,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,6,2689,0,6,same_touch_stable_enough,real_bbo_history_touch_stability,2689,1784017185940,7.87682,8.05205,0.17523,40,39,-1,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,l2Book,1784017189172,1784017189560961509,0.389106,buy,62587,62587,62588,1,0.005,7.65283,37,1530.566,0,0,0,0,7.65783,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,7,3232,0,7,same_touch_stable_enough,real_bbo_history_touch_stability,3232,1784017185940,8.05205,7.65283,-0.39922,40,37,-3,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784017189709,1784017189942450501,0.233638,buy,62587,62587,62588,1,0.005,3.82894,32,765.788,0,0,0,0,3.83394,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,8,3769,0,8,same_touch_stable_enough,real_bbo_history_touch_stability,3769,1784017185940,8.05205,3.82894,-4.22311,40,32,-8,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1784017190237,1784017190453522665,0.216695,buy,62587,62587,62588,1,0.005,3.34961,31,669.922,0,0,0,0,3.35461,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,9,4297,0,9,same_touch_stable_enough,real_bbo_history_touch_stability,4297,1784017185940,8.05205,3.34961,-4.70244,40,31,-9,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
