cause,feature,H0_coefficient,H1_coefficient,H1_only
follow,elapsed_100ms,-1.0742435675728175,-1.174651025906377,false
follow,elapsed_200_500ms,-1.4709408185766586,-1.573098253114786,false
follow,elapsed_600_1000ms,-1.87232493374734,-1.9705197795056277,false
follow,elapsed_1100_2000ms,-1.8338805864008514,-1.9235010780489927,false
follow,elapsed_2100_5000ms,-2.470445636719933,-2.5268972543666606,false
follow,elapsed_5100_120000ms,0.0,0.0,false
follow,obi_strength,0.025268831815357124,0.030402743326435167,false
follow,l1_obi_strength,0.08596158350007932,0.08185920156218986,false
follow,l1_l3_obi_strength,0.02982953015441573,0.02897503699256356,false
follow,level_imbalance_dispersion,0.025894128814983364,0.026208336881020287,false
follow,log_total_depth,0.03530452246948541,0.04418790042126896,false
follow,same_side_depth_concentration,-0.07798805862738112,-0.0707528783702771,false
follow,opposite_side_depth_concentration,-0.041840464582961666,-0.041085763876352,false
follow,log1p_spread_ticks,0.10181239888746253,0.10247525786450569,false
follow,aligned_book_flow,0.017996947044567835,0.019784415145665455,false
follow,aligned_trade_flow,0.19544726041687374,0.19489952574505454,false
follow,aligned_trailing_midpoint_1s,0.10913419200603011,0.09940227817312594,false
follow,aligned_trailing_midpoint_5s,0.030007910760269922,0.039071455168380696,false
follow,log1p_trailing_abs_midpoint_5s,0.32008080442038106,0.3192851406748813,false
follow,log1p_source_age_ms,0.0028820084831118354,0.0017713605529237882,false
follow,no_new_information,0.026525607689328143,0.0241888249355427,false
follow,log1p_depth_update_count,0.017234516944730067,0.010009816911429938,false
follow,side_positive,0.06786511130772356,0.07576248276542948,false
follow,utc_time_sin,-0.042780355121719786,-0.04026939556783172,false
follow,utc_time_cos,0.0626694649785854,0.06156544632289398,false
follow,reversal_indicator_R,,0.16496278154264005,true
fail,elapsed_100ms,-1.4948012924039564,-1.4048489857968376,false
fail,elapsed_200_500ms,-1.6300341133280691,-1.5376635694659468,false
fail,elapsed_600_1000ms,-1.8983286661233898,-1.8098819630885232,false
fail,elapsed_1100_2000ms,-1.798210148138765,-1.7174691277857446,false
fail,elapsed_2100_5000ms,-3.219334964325358,-3.152324079011165,false
fail,elapsed_5100_120000ms,0.0,0.0,false
fail,obi_strength,-0.1297047279620054,-0.13480492208003045,false
fail,l1_obi_strength,-0.09811797408280715,-0.09464488039292761,false
fail,l1_l3_obi_strength,0.1073613105405586,0.10946321980710931,false
fail,level_imbalance_dispersion,-0.06586460489566927,-0.06683046399207751,false
fail,log_total_depth,0.06175306302346979,0.05481442258320556,false
fail,same_side_depth_concentration,-0.10976406441524597,-0.11684449605223132,false
fail,opposite_side_depth_concentration,-0.049359862825091756,-0.048988503941056076,false
fail,log1p_spread_ticks,0.10934758993284745,0.10797378517422887,false
fail,aligned_book_flow,-0.07816744010656629,-0.08010359333856669,false
fail,aligned_trade_flow,-0.026783767334231257,-0.02499095801905436,false
fail,aligned_trailing_midpoint_1s,-0.003340970576780295,0.008053882748857688,false
fail,aligned_trailing_midpoint_5s,0.01700956157470082,0.007537199603411711,false
fail,log1p_trailing_abs_midpoint_5s,0.3080689879948329,0.3093542612024276,false
fail,log1p_source_age_ms,0.059191261619491654,0.059504415788604055,false
fail,no_new_information,-0.08171067564600043,-0.07989335283617206,false
fail,log1p_depth_update_count,0.23577235456022794,0.24079622171189838,false
fail,side_positive,-0.08169638056167211,-0.08972002943234611,false
fail,utc_time_sin,0.08792215965469792,0.08391705052695872,false
fail,utc_time_cos,0.11971369120584423,0.1206200656208508,false
fail,reversal_indicator_R,,-0.15805601925745297,true
