sample_id,field,required_for_complete_context,row_count,non_empty_count,coverage_rate
xemm_0627_t001_hlfast_utc16_a,sample_id,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,observed_regime,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,source_row_index,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,future_row_index,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_decision_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_l2book_local_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_l2book_event_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_local_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_exch_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_source_age_ms,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_join_age_ms,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,nominal_horizon_ms,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,effective_future_age_ms,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,future_hyperliquid_decision_ts,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_current_bid_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_current_ask_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_buy_touch_quote_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_sell_touch_quote_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,tick_size,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_mid_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_top5_microprice_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_spread_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_bid_top5_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_ask_top5_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_bid_top5_qtys,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_ask_top5_qtys,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_mid_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_top5_microprice_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_bid_top5_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_ask_top5_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_bid_top5_qtys,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,binance_ask_top5_qtys,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,input_binance_top5_imbalance,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,input_binance_microprice_minus_mid_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,input_binance_mid_move_ticks_from_prev,True,3592,3591,0.9997216
xemm_0627_t001_hlfast_utc16_a,input_binance_top5_bid_qty,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,basis_mid_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_top5_imbalance,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_microprice_minus_mid_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_context_quality,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,future_hyperliquid_mid_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,future_hyperliquid_top5_microprice_px,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_future_mid_move_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,hyperliquid_future_microprice_minus_mid_change_ticks,True,3592,3592,1
xemm_0627_t001_hlfast_utc16_a,label_row_quality,True,3592,3592,1
xemm_0627_t001_hlfast_utc17_b,sample_id,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,observed_regime,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,source_row_index,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,future_row_index,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,hyperliquid_decision_ts,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,hyperliquid_l2book_local_ts,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,hyperliquid_l2book_event_ts,True,3581,3581,1
xemm_0627_t001_hlfast_utc17_b,binance_local_ts,True,3581,3581,1
