recovery_reset_count,refractory_reset_count,episode_count,episode_share
2,0,1,0.023809523809523808
2,1,1,0.023809523809523808
5,1,1,0.023809523809523808
10,4,1,0.023809523809523808
13,10,1,0.023809523809523808
19,4,1,0.023809523809523808
21,24,1,0.023809523809523808
28,23,1,0.023809523809523808
44,17,1,0.023809523809523808
48,21,1,0.023809523809523808
54,9,1,0.023809523809523808
88,4,1,0.023809523809523808
97,17,1,0.023809523809523808
121,20,1,0.023809523809523808
132,41,1,0.023809523809523808
138,35,1,0.023809523809523808
178,97,1,0.023809523809523808
340,77,1,0.023809523809523808
411,186,1,0.023809523809523808
489,46,1,0.023809523809523808
506,647,1,0.023809523809523808
515,6,1,0.023809523809523808
578,183,1,0.023809523809523808
586,295,1,0.023809523809523808
593,556,1,0.023809523809523808
640,87,1,0.023809523809523808
653,288,1,0.023809523809523808
682,133,1,0.023809523809523808
733,195,1,0.023809523809523808
954,340,1,0.023809523809523808
1208,170,1,0.023809523809523808
1356,453,1,0.023809523809523808
1626,157,1,0.023809523809523808
1738,6,1,0.023809523809523808
2021,112,1,0.023809523809523808
2078,182,1,0.023809523809523808
2859,1490,1,0.023809523809523808
3418,1029,1,0.023809523809523808
4794,10,1,0.023809523809523808
6029,193,1,0.023809523809523808
9502,3564,1,0.023809523809523808
22359,9,1,0.023809523809523808
