capture_id,research_date,role,segment_id,candidate_ts_ns,candidate_event_seq,candidate_checkpoint_index,initial_direction,prequiet_checkpoint_count,qualifying_exposure_ms,peak_pressure_up,peak_pressure_down,integrated_pressure_up_score_ms,integrated_pressure_down_score_ms,raw_micro_crossing_count,bid_depth_baseline,ask_depth_baseline,spread_baseline,obi_baseline,activity_baseline,baseline_checkpoint_count,episode_id,confirmation_ts_ns,confirmation_event_seq,confirmation_checkpoint_index,confirmation_delay_ms,confirmation_component_pair,confirmation_nonfloor_component_count,current_dominant_direction,direction_switch_count,recovery_reset_count,refractory_reset_count,first_recovery_candidate_ts_ns,first_refractory_ts_ns,maximum_bid_depth_deficit,maximum_ask_depth_deficit,minimum_spread_ticks,maximum_spread_ticks,refractory_completed_ts_ns,refractory_completed_event_seq,refractory_duration_ms,terminal_ts_ns,terminal_event_seq,terminal_status,episode_duration_ms,confirmed_duration_ms,recovery_duration_ms,terminal_spread_ticks,terminal_obi,terminal_bid_depth,terminal_ask_depth,terminal_bid_recovered,terminal_ask_recovered
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,0,1785726347300000000,20933,7502,-1,75,100.0,40440.42321777344,9751.222061157227,48293355.71035616,9978881.906155236,1116,2.499833345413208,0.8830000162124634,1.0,0.47795242071151733,1.0,45,5fdf696cef6547ed5a2e9dd4c35bc43457de5d030b00ba63d3b38b12b01b6310,1785726347420000000,20961,7508,120.0,dep_ofi,0,1,729,586,295,1785726347580000000,1785726347580000000,0.9758650575566513,0.9452623657359837,1.0,31.0,1785726559020000000,55629,1000.0,1785726559020000000,55629,safe_reentry_available,211720.0,211600.0,211440.0,5.0,0.4570598900318146,6.857166767120361,2.555166721343994,True,True
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,0,1785726811460000000,91317,30710,1,62,100.0,172527.6650390625,24973.850242614746,182253548.6548074,57391557.28115573,6181,1.3636666536331177,27.079666137695312,1.0,-0.9041134715080261,1.0,45,b3e20971acae84970c8042183ef4b51c23e65d5c9c00079830375f15a02dfc6f,1785726811560000000,91337,30715,100.0,dep_ofi,1,1,3864,4794,10,1785726811620000000,1785727100940000000,0.9716450750987935,0.998627506482151,1.0,35.0,,,,1785727997040000000,298941,never_recovered,1185580.0,1185480.0,1185420.0,4.0,-0.7971136569976807,0.921999990940094,8.16683292388916,False,False
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728219140000000,43519,11060,1,67,100.0,66779.31323242188,11985.285675048828,136703095.89167875,23986012.1158176,2747,1.2934999465942383,7.565499782562256,1.0,-0.7079805731773376,1.0,45,9abf7fc5fb6602d917123d9aee439d86d17d05e8e4121ab1ce07942ed891ce1f,1785728219380000000,43526,11072,240.0,dep_ofi,3,-1,1705,2078,182,1785728219400000000,1785728224980000000,0.9711377398194249,0.9952195269344144,1.0,13.0,1785728779320000000,130347,1000.0,1785728779320000000,130347,recovered_but_imbalanced,560180.0,559940.0,559920.0,3.0,-0.608426570892334,2.6363332271575928,10.829000473022461,True,True
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786071299500000000,2739130,345447,-1,54,100.0,30377.309661865234,12744.21475982666,31256966.589373045,9208984.743748847,940,8.70199966430664,3.323166608810425,1.0,0.4472980201244354,1.0,45,3cfada84b70de40de91acdfc87c56f3ab757b3380cca34b14e9c344b4bc0726d,1786071299700000000,2739137,345457,200.0,dep_ofi,1,1,575,640,87,1786071299720000000,1786071299720000000,0.9905960312647812,0.988765735698239,1.0,13.0,1786071466060000000,2777567,1000.0,1786071466060000000,2777567,recovered_without_wide_spread,166560.0,166360.0,166340.0,1.0,0.598975419998169,11.236666679382324,2.818166732788086,True,True
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786072894420000000,3110305,425193,1,55,100.0,56614.46716308594,16970.800262451172,63934494.919748746,20674041.947763138,2246,2.9728333950042725,1.680999994277954,1.0,0.2772741913795471,1.0,45,a0782c8800808c198169b70dff2453802f079ae48c87fee948360698f89c539b,1786072894560000000,3110384,425200,140.0,dep_ofi,2,1,1410,1356,453,1786072894680000000,1786072895220000000,0.9880024669445352,0.9728336317702332,1.0,16.0,1786073291800000000,3191506,1000.0,1786073291800000000,3191506,recovered_without_wide_spread,397380.0,397240.0,397120.0,1.0,0.8504896759986877,17.115333557128906,1.3828333616256714,True,True
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786077397320000000,4168185,650338,1,50,100.0,224334.5244140625,76305.15286636353,144705029.70993763,76149913.37092192,7084,3.7850000858306885,12.201833724975586,1.0,-0.5264853239059448,1.0,45,aec7fe22edf335ae88c393eae07b5a84b64cb49eb7cb7554ced9dfc155c8b6b8,1786077397420000000,4168206,650343,100.0,dep_ofi,2,-1,4397,6029,193,1786077397440000000,1786077401120000000,0.9879348312276806,0.9975276939815195,1.0,45.0,,,,1786078790300000000,4470953,never_recovered,1392980.0,1392880.0,1392860.0,1.0,0.027571946382522583,1.9876667261123657,1.88100004196167,False,False
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,1,1787540740140000000,2542153,414575,-1,53,100.0,126618.71875,119128.375,272794988.4106057,169230866.4523009,14649,7.778166770935059,11.894332885742188,1.0,-0.2098245620727539,1.0,45,d10251749156fe51c41a04be0cd75fbf4de31c20ee49cd0fd3ae6e66e026c604,1787540740240000000,2542348,414580,100.0,dep_trade_ofi,0,-1,8440,9502,3564,1787540740580000000,1787540740820000000,0.9938717352596843,0.9955581087128628,1.0,20.0,1787543468160000000,3273650,1000.0,1787543468160000000,3273650,recovered_without_wide_spread,2728020.0,2727920.0,2727580.0,1.0,-0.14854763448238373,8.3149995803833,11.216333389282227,True,True
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,1,1787545908820000000,3853824,673009,-1,57,100.0,179305.98974609375,15216.020347595215,145343999.7225237,35918403.44785814,5064,7.802666664123535,14.241999626159668,1.0,-0.29210391640663147,1.0,45,f1e2116b354cea3b3dbbc4e3e34226fd581389e78699ff54b9503b97ea7b9f68,1787545908940000000,3853936,673015,120.0,dep_trade_ofi,0,-1,2906,2859,1490,1787545909160000000,1787545909440000000,0.9912636706568168,0.9907433412963557,1.0,23.0,,,,1787546848380000000,4051691,never_recovered,939560.0,939440.0,939220.0,1.0,-0.15874813497066498,12.010833740234375,16.543832778930664,True,True
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,1,1787625417200000000,1971696,297844,-1,54,100.0,13252.968933105469,6427.60632610321,14326114.093481483,8727841.736676997,939,20.765832901000977,1.7899999618530273,1.0,0.8412827253341675,1.0,45,4b0b484fb068d6cb36413afae3442012688befd8b182c584ceef9c1cf53522b4,1787625417320000000,1971744,297850,120.0,dep_ofi,1,1,531,578,183,1787625417400000000,1787625421100000000,0.9949275650921484,0.9397579130661908,1.0,7.0,1787625586740000000,2014970,1000.0,1787625586740000000,2014970,recovered_without_wide_spread,169540.0,169420.0,169340.0,1.0,0.6574019193649292,24.12583351135254,4.986999988555908,True,True
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,1,1787629020280000000,2936120,477998,1,60,100.0,162435.1662902832,99060.60753154755,621995444.1326284,271278134.34639895,25000,65.18482971191406,14.545332908630371,1.0,0.6351360082626343,1.0,45,aa0e63c215c02df17c875f93bb4bd39ee6a54f836cb5ea5a5dcfc087c76f108b,1787629020420000000,2936314,478005,140.0,dep_trade_ofi,2,-1,13859,22359,9,1787629020640000000,1787629023380000000,0.9995678953714935,0.9975708131332373,1.0,31.0,,,,1787633860100000000,4238936,never_recovered,4839820.0,4839680.0,4839460.0,1.0,0.43997764587402344,16.312665939331055,6.3441667556762695,False,False
