row_id,sample_id,observed_regime,decision_id,action,block_reason,candidate_id,forecast_model_type,forecast_model_contract_hash,forecast_model_output_ticks,signal_score_units,signal_score,side,forecast_mid_px,fair_mid_px,reservation_px,quote_bid_px,quote_ask_px,post_only_invariant,future_mid_move_ticks,signed_markout_ticks,adjusted_counterfactual_edge_ticks,source_age_bucket,basis_bucket,order_endpoint_called,private_endpoint_called,credential_read
2,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:2,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,0.27811721,forecast_move_ticks,0.27811721,buy,60095.52781172,60095.52781172,60095.52781172,60095,60096,True,-5,-5,-6.5,binance_source_age_low,basis_mid,False,False,False
3,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:3,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-15.84450307,forecast_move_ticks,-15.84450307,sell,60093.91554969,60093.91554969,60093.91554969,60093,60096,True,-30,30,28.5,binance_source_age_mid,basis_low,False,False,False
4,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:4,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-40.58800683,forecast_move_ticks,-40.58800683,sell,60090.94119932,60090.94119932,60090.94119932,60090,60096,True,-165,165,163.5,binance_source_age_low,basis_low,False,False,False
5,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:5,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-33.73456003,forecast_move_ticks,-33.73456003,sell,60089.126544,60089.126544,60089.126544,60089,60093,True,-170,170,168.5,binance_source_age_low,basis_low,False,False,False
6,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:6,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-0.60511498,forecast_move_ticks,-0.60511498,sell,60078.4394885,60078.4394885,60078.4394885,60078,60079,True,-30,30,28.5,binance_source_age_high,basis_mid,False,False,False
7,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:7,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,4.43809739,forecast_move_ticks,4.43809739,buy,60075.94380974,60075.94380974,60075.94380974,60075,60076,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
8,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:8,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,4.4086542,forecast_move_ticks,4.4086542,buy,60075.94086542,60075.94086542,60075.94086542,60075,60076,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
9,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:9,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,2.68282893,forecast_move_ticks,2.68282893,buy,60075.76828289,60075.76828289,60075.76828289,60075,60076,True,-20,-20,-21.5,binance_source_age_high,basis_mid,False,False,False
10,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:10,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,3.83827533,forecast_move_ticks,3.83827533,buy,60075.88382753,60075.88382753,60075.88382753,60075,60076,True,-20,-20,-21.5,binance_source_age_mid,basis_mid,False,False,False
11,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:11,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,8.97478093,forecast_move_ticks,8.97478093,buy,60074.39747809,60074.39747809,60074.39747809,60073,60075,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
12,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:12,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,8.86767974,forecast_move_ticks,8.86767974,buy,60074.38676797,60074.38676797,60074.38676797,60073,60075,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
13,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:13,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-15.82527957,forecast_move_ticks,-15.82527957,sell,60071.91747204,60071.91747204,60071.91747204,60071,60074,True,-65,65,63.5,binance_source_age_low,basis_low,False,False,False
14,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:14,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-13.1793584,forecast_move_ticks,-13.1793584,sell,60072.18206416,60072.18206416,60072.18206416,60072,60074,True,-130,130,128.5,binance_source_age_high,basis_low,False,False,False
15,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:15,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-0.43662897,forecast_move_ticks,-0.43662897,sell,60066.9563371,60066.9563371,60066.9563371,60066,60068,True,-65,65,63.5,binance_source_age_mid,basis_mid,False,False,False
16,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:16,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,13.98468377,forecast_move_ticks,13.98468377,buy,60061.89846838,60061.89846838,60061.89846838,60060,60062,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
17,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:17,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.09135241,forecast_move_ticks,15.09135241,buy,60062.00913524,60062.00913524,60062.00913524,60060,60063,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
18,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:18,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.17164671,forecast_move_ticks,15.17164671,buy,60062.01716467,60062.01716467,60062.01716467,60060,60063,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
19,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:19,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.57800503,forecast_move_ticks,15.57800503,buy,60062.0578005,60062.0578005,60062.0578005,60060,60063,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
20,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:20,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.88672266,forecast_move_ticks,15.88672266,buy,60062.08867227,60062.08867227,60062.08867227,60060,60063,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
21,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:21,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,28.05906242,forecast_move_ticks,28.05906242,buy,60063.30590624,60063.30590624,60063.30590624,60060,60064,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
22,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:22,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,27.83357993,forecast_move_ticks,27.83357993,buy,60063.28335799,60063.28335799,60063.28335799,60060,60064,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
23,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:23,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,27.89243853,forecast_move_ticks,27.89243853,buy,60063.28924385,60063.28924385,60063.28924385,60060,60064,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
