regime_id,feature,variant,row_count,direction_hit_rate,mean_signed_future_move_ticks,sample_count,classification
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_positive,119,0.65546218,31.21848739,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_negative,123,0.62601626,-32.03252033,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,abs_top_quartile,61,0.50819672,6.14754098,3,directional_signal_reject
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_positive,119,0.65546218,31.21848739,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_negative,123,0.62601626,-32.03252033,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,abs_top_quartile,61,0.50819672,6.14754098,3,directional_signal_reject
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_positive,5,0.8,-74,3,directional_signal_watch
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_negative,12,0.75,-65.83333333,2,directional_signal_supported
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,abs_top_quartile,0,,,0,directional_signal_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_positive,242,0.51239669,-0.92975207,3,directional_signal_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_negative,0,,,0,directional_signal_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,abs_top_quartile,61,0.75409836,53.68852459,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_positive,133,0.84210526,51.91729323,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_negative,109,0.88990826,-65.41284404,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,abs_top_quartile,61,0.54098361,12.70491803,3,directional_signal_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_positive,133,0.84210526,51.91729323,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_negative,109,0.88990826,-65.41284404,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,abs_top_quartile,61,0.54098361,12.70491803,3,directional_signal_reject
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_positive,57,0.94736842,97.54385965,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_negative,185,0.62162162,-31.27027027,3,directional_signal_supported
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,abs_top_quartile,61,0.91803279,-80.40983607,3,directional_signal_supported
