fold_id,candidate_id,accept_eligible,threshold_abs_z,side_mapping,train_active_rows,train_coverage_rate,train_direction_hit_rate,train_direction_hit_rate_nonzero,train_mean_signed_label_ticks,train_adjusted_edge_proxy_ticks,train_coverage_gate
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,0.0,positive_signal_buy_negative_signal_sell,7117,1,0.10102571,0.83604651,2.61346073,1.11346073,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,0.0,positive_signal_sell_negative_signal_buy,7117,1,0.01981172,0.16395349,-2.61346073,-4.11346073,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,0.5,positive_signal_buy_negative_signal_sell,5270,0.74048054,0.11499051,0.88596491,3.27419355,1.77419355,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,0.5,positive_signal_sell_negative_signal_buy,5270,0.74048054,0.01480076,0.11403509,-3.27419355,-4.77419355,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,1.0,positive_signal_buy_negative_signal_sell,3079,0.43262611,0.13283534,0.90888889,3.90386489,2.40386489,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_top5_imbalance,True,1.0,positive_signal_sell_negative_signal_buy,3079,0.43262611,0.01331601,0.09111111,-3.90386489,-5.40386489,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,0.0,positive_signal_buy_negative_signal_sell,7117,1,0.1008852,0.83488372,2.48700295,0.98700295,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,0.0,positive_signal_sell_negative_signal_buy,7117,1,0.01995223,0.16511628,-2.48700295,-3.98700295,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,0.5,positive_signal_buy_negative_signal_sell,5151,0.72376001,0.11551155,0.88541667,3.30712483,1.80712483,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,0.5,positive_signal_sell_negative_signal_buy,5151,0.72376001,0.01494855,0.11458333,-3.30712483,-4.80712483,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,1.0,positive_signal_buy_negative_signal_sell,2887,0.40564845,0.13058538,0.91283293,3.92275719,2.42275719,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_microprice_minus_mid_ticks,True,1.0,positive_signal_sell_negative_signal_buy,2887,0.40564845,0.01246969,0.08716707,-3.92275719,-5.42275719,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_mid_move_ticks_from_prev,True,0.0,positive_signal_buy_negative_signal_sell,7117,1,0.06491499,0.5372093,0.16439511,-1.33560489,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_mid_move_ticks_from_prev,True,0.0,positive_signal_sell_negative_signal_buy,7117,1,0.05592244,0.4627907,-0.16439511,-1.66439511,pass
holdout_xemm_0627_t001_hlfast_utc16_a,binance_mid_move_ticks_from_prev,True,0.5,positive_signal_buy_negative_signal_sell,47,0.00660391,0.17021277,0.8,1.70212766,0.20212766,fail
holdout_xemm_0627_t001_hlfast_utc16_a,binance_mid_move_ticks_from_prev,True,0.5,positive_signal_sell_negative_signal_buy,47,0.00660391,0.04255319,0.2,-1.70212766,-3.20212766,fail
holdout_xemm_0627_t001_hlfast_utc16_a,binance_mid_move_ticks_from_prev,True,1.0,positive_signal_buy_negative_signal_sell,45,0.00632289,0.17777778,0.8,1.77777778,0.27777778,fail
