sample_id,split,observed_regime,source_row_index,future_row_index,nominal_horizon_ms,effective_future_age_ms,hyperliquid_decision_ts,future_hyperliquid_decision_ts,binance_source_age_ms,hyperliquid_join_age_ms,basis_mid_ticks,hyperliquid_spread_ticks,hyperliquid_top5_imbalance,hyperliquid_microprice_minus_mid_ticks,signal_score,candidate_side,future_mid_move_ticks,future_microprice_minus_mid_change_ticks,signed_future_mid_move_ticks,touch_markout_ticks,future_labels_role
xemm_0625_t002_utc15_a,train,high_activity_liquidity,1,3,1000,1000,1782399294831379757,1782399295831379757,13.687882,500.000000,67.5,10,-0.67871054,-3.3935527,-0.94442924,sell,0,-1.60610103,-0,5,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,2,4,1000,1000,1782399295331379757,1782399296331379757,8.504888,1000.000000,125.5,10,-0.67871054,-3.3935527,1.81340841,buy,0,-1.60610103,0,5,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,3,5,1000,5000,1782399295831379757,1782399300831379757,6.045796,108.377807,125.5,10,-0.99993075,-4.99965373,-0.13408284,sell,190,-0.00009942,-190,-185,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,4,5,1000,4500,1782399296331379757,1782399300831379757,0.797725,608.377807,173.5,10,-0.99993075,-4.99965373,-0.43527226,sell,190,-0.00009942,-190,-185,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,5,7,1000,5500,1782399300831379757,1782399306331379757,25.710222,55.002625,-18.5,10,-0.99995063,-4.99975315,0.26421626,buy,-190,1.71200676,-190,-185,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,6,7,1000,5000,1782399301331379757,1782399306331379757,1.357048,555.002625,-29.5,10,-0.99995063,-4.99975315,-0.66169096,sell,-190,1.71200676,190,195,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,7,9,1000,5500,1782399306331379757,1782399311831379757,3.7607,164.150339,-26.5,10,-0.65754928,-3.28774639,-0.62799468,sell,130,-1.6668069,-130,-125,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,8,9,1000,5000,1782399306831379757,1782399311831379757,5.291291,664.150339,89.5,10,-0.65754928,-3.28774639,1.19189225,buy,130,-1.6668069,130,135,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,9,11,1000,5500,1782399311831379757,1782399317331379757,23.895165,195.486797,-32.5,10,-0.99091066,-4.95455329,0.03556039,buy,10,6.72958586,10,15,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,10,11,1000,5000,1782399312331379757,1782399317331379757,23.767947,695.486797,97.5,10,-0.99091066,-4.95455329,0.19800321,buy,10,6.72958586,10,15,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,11,13,1000,5500,1782399317331379757,1782399322831379757,3.899926,361.662582,84.5,10,0.35500651,1.77503257,-0.74816687,sell,80,-6.77454995,-80,-75,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,12,13,1000,5000,1782399317831379757,1782399322831379757,29.697712,861.662582,124.5,10,0.35500651,1.77503257,0.23448444,buy,80,-6.77454995,80,85,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,13,15,1000,5000,1782399322831379757,1782399327831379757,17.797116,307.089858,115.5,10,-0.99990348,-4.99951738,0.57717674,buy,-10,3.53982903,-10,-5,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,14,15,1000,4500,1782399323331379757,1782399327831379757,21.797522,807.089858,52.5,10,-0.99990348,-4.99951738,-0.11289788,sell,-10,3.53982903,10,15,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,15,17,1000,5500,1782399327831379757,1782399333331379757,13.968753,80.575823,84.5,10,-0.29193767,-1.45968835,-0.66200621,sell,-100,-3.54002938,100,105,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,16,17,1000,5000,1782399328331379757,1782399333331379757,9.90966,580.575823,84.5,10,-0.29193767,-1.45968835,-0.05609828,sell,-100,-3.54002938,100,105,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,17,19,1000,5500,1782399333331379757,1782399338831379757,1.889469,31.912474,-71.5,10,-0.99994355,-4.99971773,-0.70194734,sell,100,2.44056496,-100,-95,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,18,19,1000,5000,1782399333831379757,1782399338831379757,17.892552,531.912474,-71.5,10,-0.99994355,-4.99971773,-0.45910608,sell,100,2.44056496,-100,-95,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,19,21,1000,5500,1782399338831379757,1782399344331379757,5.605166,202.155406,26.5,10,-0.51183055,-2.55915277,0.0971481,buy,-50,3.89962942,-50,-45,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,20,21,1000,5000,1782399339331379757,1782399344331379757,27.712093,702.155406,26.5,10,-0.51183055,-2.55915277,-0.83670465,sell,-50,3.89962942,50,55,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,21,23,1000,5500,1782399344331379757,1782399349831379757,8.531766,237.606086,-284.5,10,0.26809533,1.34047665,-0.30074378,sell,-350,3.32104371,350,355,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,22,23,1000,5000,1782399344831379757,1782399349831379757,11.73956,737.606086,-231.5,10,0.26809533,1.34047665,0.42381168,buy,-350,3.32104371,-350,-345,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,23,25,1000,5500,1782399349831379757,1782399355331379757,7.957915,296.788068,223.5,10,0.93230407,4.66152036,1.20980665,buy,260,-0.27283366,260,265,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,24,25,1000,5000,1782399350331379757,1782399355331379757,11.500725,796.788068,264.5,10,0.93230407,4.66152036,-0.76371914,sell,260,-0.27283366,-260,-255,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,25,27,1000,5500,1782399355331379757,1782399360831379757,9.884179,335.435296,130.5,10,0.87773734,4.3886867,0.21386032,buy,80,-9.38850216,80,85,label_only_not_decision_input
xemm_0625_t002_utc15_a,train,high_activity_liquidity,26,27,1000,5000,1782399355831379757,1782399360831379757,23.884185,835.435296,93.5,10,0.87773734,4.3886867,-0.05636139,sell,80,-9.38850216,-80,-75,label_only_not_decision_input
