sample_set_id,quote_side,threshold_ticks,persistence_count,horizon_ms,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,assumption_set
0617T005_8_input,buy,50,1,100,1843,1834,0.995117,76735,41.63592,15,-125,385,76.735,0.04163592,unconstrained_all_intents
0617T005_8_input,buy,50,1,250,1843,1833,0.994574,78060,42.354856,15,-125,385,78.06,0.04235486,unconstrained_all_intents
0617T005_8_input,buy,50,1,500,1843,1835,0.995659,94785,51.429734,25,-125,395,94.785,0.05142973,unconstrained_all_intents
0617T005_8_input,buy,50,1,1000,1843,1830,0.992946,133100,72.219208,55,-95,595,133.1,0.07221921,unconstrained_all_intents
0617T005_8_input,buy,50,1,5000,1841,1636,0.888647,222360,120.782184,95,-355,1665,222.36,0.12078218,unconstrained_all_intents
0617T005_8_input,buy,50,1,10000,1841,1471,0.799022,240315,130.535035,105,-625,2105,240.315,0.13053504,unconstrained_all_intents
0617T005_8_input,buy,50,2,100,1256,1253,0.997611,47860,38.105096,15,-105,365,47.86,0.0381051,unconstrained_all_intents
0617T005_8_input,buy,50,2,250,1256,1253,0.997611,48505,38.618631,15,-105,365,48.505,0.03861863,unconstrained_all_intents
0617T005_8_input,buy,50,2,500,1256,1253,0.997611,57980,46.16242,15,-105,395,57.98,0.04616242,unconstrained_all_intents
0617T005_8_input,buy,50,2,1000,1256,1244,0.990446,80020,63.710191,35,-35,595,80.02,0.06371019,unconstrained_all_intents
0617T005_8_input,buy,50,2,5000,1255,1101,0.877291,138685,110.505976,85,-355,1665,138.685,0.11050598,unconstrained_all_intents
0617T005_8_input,buy,50,2,10000,1255,987,0.786454,155240,123.697211,95,-465,2105,155.24,0.12369721,unconstrained_all_intents
0617T005_8_input,buy,50,3,100,907,906,0.998897,30045,33.125689,5,-25,365,30.045,0.03312569,unconstrained_all_intents
0617T005_8_input,buy,50,3,250,907,905,0.997795,30300,33.406836,5,-25,365,30.3,0.03340684,unconstrained_all_intents
0617T005_8_input,buy,50,3,500,907,905,0.997795,36075,39.77398,5,-25,395,36.075,0.03977398,unconstrained_all_intents
0617T005_8_input,buy,50,3,1000,907,898,0.990077,50560,55.744212,20,-35,595,50.56,0.05574421,unconstrained_all_intents
0617T005_8_input,buy,50,3,5000,907,783,0.863286,92090,101.532525,85,-355,1665,92.09,0.10153252,unconstrained_all_intents
0617T005_8_input,buy,50,3,10000,907,707,0.779493,106755,117.701213,85,-425,2075,106.755,0.11770121,unconstrained_all_intents
0617T005_8_input,buy,75,1,100,993,985,0.991944,55900,56.294058,35,-125,385,55.9,0.05629406,unconstrained_all_intents
0617T005_8_input,buy,75,1,250,993,984,0.990937,56875,57.275932,45,-125,385,56.875,0.05727593,unconstrained_all_intents
0617T005_8_input,buy,75,1,500,993,986,0.992951,69170,69.657603,55,-125,395,69.17,0.0696576,unconstrained_all_intents
0617T005_8_input,buy,75,1,1000,993,990,0.996979,95900,96.576032,85,-95,595,95.9,0.09657603,unconstrained_all_intents
0617T005_8_input,buy,75,1,5000,993,922,0.928499,155280,156.374622,125,-275,1665,155.28,0.15637462,unconstrained_all_intents
0617T005_8_input,buy,75,1,10000,993,842,0.847936,169445,170.639476,135,-625,2105,169.445,0.17063948,unconstrained_all_intents
0617T005_8_input,buy,75,2,100,581,578,0.994836,30825,53.055077,35,-105,365,30.825,0.05305508,unconstrained_all_intents
0617T005_8_input,buy,75,2,250,581,579,0.996558,31340,53.94148,35,-105,365,31.34,0.05394148,unconstrained_all_intents
0617T005_8_input,buy,75,2,500,581,579,0.996558,37015,63.709122,45,-105,395,37.015,0.06370912,unconstrained_all_intents
0617T005_8_input,buy,75,2,1000,581,580,0.998279,51640,88.881239,65,-25,595,51.64,0.08888124,unconstrained_all_intents
0617T005_8_input,buy,75,2,5000,581,541,0.931153,86985,149.716007,105,-275,1665,86.985,0.14971601,unconstrained_all_intents
0617T005_8_input,buy,75,2,10000,581,493,0.848537,98645,169.784854,125,-465,2105,98.645,0.16978485,unconstrained_all_intents
0617T005_8_input,buy,75,3,100,369,369,1,16870,45.718157,5,5,365,16.87,0.04571816,unconstrained_all_intents
0617T005_8_input,buy,75,3,250,369,369,1,16975,46.00271,5,5,365,16.975,0.04600271,unconstrained_all_intents
0617T005_8_input,buy,75,3,500,369,369,1,20785,56.327913,15,5,395,20.785,0.05632791,unconstrained_all_intents
0617T005_8_input,buy,75,3,1000,369,369,1,29070,78.780488,45,5,595,29.07,0.07878049,unconstrained_all_intents
0617T005_8_input,buy,75,3,5000,369,343,0.929539,52390,141.97832,85,-275,1665,52.39,0.14197832,unconstrained_all_intents
0617T005_8_input,buy,75,3,10000,369,315,0.853659,61390,166.368564,105,-385,2075,61.39,0.16636856,unconstrained_all_intents
0617T005_8_input,buy,100,1,100,577,570,0.987868,42330,73.362218,65,-125,365,42.33,0.07336222,unconstrained_all_intents
0617T005_8_input,buy,100,1,250,577,570,0.987868,43095,74.688042,65,-125,365,43.095,0.07468804,unconstrained_all_intents
0617T005_8_input,buy,100,1,500,577,572,0.991334,52845,91.585789,75,-125,395,52.845,0.09158579,unconstrained_all_intents
0617T005_8_input,buy,100,1,1000,577,575,0.996534,71785,124.410745,115,-25,595,71.785,0.12441075,unconstrained_all_intents
0617T005_8_input,buy,100,1,5000,577,539,0.934142,113375,196.490468,155,-275,1665,113.375,0.19649047,unconstrained_all_intents
0617T005_8_input,buy,100,1,10000,577,500,0.866551,124740,216.187175,175,-625,2105,124.74,0.21618718,unconstrained_all_intents
0617T005_8_input,buy,100,2,100,290,288,0.993103,20710,71.413793,55,-35,365,20.71,0.07141379,unconstrained_all_intents
0617T005_8_input,buy,100,2,250,290,289,0.996552,21015,72.465517,55,-25,365,21.015,0.07246552,unconstrained_all_intents
0617T005_8_input,buy,100,2,500,290,289,0.996552,25080,86.482759,75,-25,395,25.08,0.08648276,unconstrained_all_intents
0617T005_8_input,buy,100,2,1000,290,289,0.996552,35175,121.293103,97.5,-25,595,35.175,0.1212931,unconstrained_all_intents
0617T005_8_input,buy,100,2,5000,290,272,0.937931,57625,198.706897,145,-275,1665,57.625,0.1987069,unconstrained_all_intents
0617T005_8_input,buy,100,2,10000,290,251,0.865517,66490,229.275862,175,-465,2105,66.49,0.22927586,unconstrained_all_intents
0617T005_8_input,buy,100,3,100,177,177,1,11300,63.841808,25,5,365,11.3,0.06384181,unconstrained_all_intents
0617T005_8_input,buy,100,3,250,177,177,1,11405,64.435028,35,5,365,11.405,0.06443503,unconstrained_all_intents
0617T005_8_input,buy,100,3,500,177,177,1,13785,77.881356,45,5,375,13.785,0.07788136,unconstrained_all_intents
0617T005_8_input,buy,100,3,1000,177,177,1,19470,110,85,5,595,19.47,0.11,unconstrained_all_intents
0617T005_8_input,buy,100,3,5000,177,164,0.926554,33100,187.00565,125,-275,1665,33.1,0.18700565,unconstrained_all_intents
0617T005_8_input,buy,100,3,10000,177,153,0.864407,37570,212.259887,155,-385,2075,37.57,0.21225989,unconstrained_all_intents
0617T005_8_input,sell,50,1,100,11366,10910,0.95988,180860,15.91237,5,-185,435,180.86,0.01591237,unconstrained_all_intents
0617T005_8_input,sell,50,1,250,11366,10904,0.959352,184985,16.275295,5,-185,435,184.985,0.01627529,unconstrained_all_intents
0617T005_8_input,sell,50,1,500,11364,10803,0.950634,222185,19.551654,5,-235,435,222.185,0.01955165,unconstrained_all_intents
0617T005_8_input,sell,50,1,1000,11358,10475,0.922257,307435,27.067706,5,-390,435,307.435,0.02706771,unconstrained_all_intents
0617T005_8_input,sell,50,1,5000,11332,8330,0.735086,536225,47.319538,25,-835,815,536.225,0.04731954,unconstrained_all_intents
0617T005_8_input,sell,50,1,10000,11302,7467,0.66068,630370,55.775084,35,-1905,1285,630.37,0.05577508,unconstrained_all_intents
0617T005_8_input,sell,50,2,100,10214,9915,0.970726,170745,16.716761,5,-185,435,170.745,0.01671676,unconstrained_all_intents
0617T005_8_input,sell,50,2,250,10214,9908,0.970041,174135,17.048659,5,-185,435,174.135,0.01704866,unconstrained_all_intents
0617T005_8_input,sell,50,2,500,10212,9811,0.960732,207630,20.331962,5,-235,435,207.63,0.02033196,unconstrained_all_intents
0617T005_8_input,sell,50,2,1000,10206,9494,0.930237,281885,27.619538,5,-285,435,281.885,0.02761954,unconstrained_all_intents
0617T005_8_input,sell,50,2,5000,10185,7486,0.735002,481925,47.317133,25,-835,815,481.925,0.04731713,unconstrained_all_intents
0617T005_8_input,sell,50,2,10000,10162,6724,0.661681,575020,56.585318,35,-1905,1285,575.02,0.05658532,unconstrained_all_intents
0617T005_8_input,sell,50,3,100,9210,8947,0.971444,152370,16.543974,5,-185,435,152.37,0.01654397,unconstrained_all_intents
0617T005_8_input,sell,50,3,250,9210,8941,0.970793,155325,16.864821,5,-185,435,155.325,0.01686482,unconstrained_all_intents
0617T005_8_input,sell,50,3,500,9208,8846,0.960686,184800,20.069505,5,-235,435,184.8,0.0200695,unconstrained_all_intents
0617T005_8_input,sell,50,3,1000,9204,8559,0.929922,248905,27.043133,5,-285,435,248.905,0.02704313,unconstrained_all_intents
0617T005_8_input,sell,50,3,5000,9188,6747,0.734327,431410,46.953635,25,-835,815,431.41,0.04695364,unconstrained_all_intents
0617T005_8_input,sell,50,3,10000,9170,6057,0.660523,520135,56.721374,35,-1905,1285,520.135,0.05672137,unconstrained_all_intents
0617T005_8_input,sell,75,1,100,8133,7812,0.960531,161295,19.832165,5,-185,435,161.295,0.01983217,unconstrained_all_intents
0617T005_8_input,sell,75,1,250,8133,7811,0.960408,165250,20.318456,5,-185,435,165.25,0.02031846,unconstrained_all_intents
0617T005_8_input,sell,75,1,500,8132,7746,0.952533,201575,24.787875,5,-195,435,201.575,0.02478788,unconstrained_all_intents
0617T005_8_input,sell,75,1,1000,8126,7522,0.925671,284265,34.982156,5,-390,435,284.265,0.03498216,unconstrained_all_intents
0617T005_8_input,sell,75,1,5000,8103,6001,0.74059,488030,60.228311,45,-835,815,488.03,0.06022831,unconstrained_all_intents
0617T005_8_input,sell,75,1,10000,8080,5404,0.668812,566415,70.100866,55,-1905,1285,566.415,0.07010087,unconstrained_all_intents
0617T005_8_input,sell,75,2,100,7023,6817,0.970668,145870,20.770326,5,-185,435,145.87,0.02077033,unconstrained_all_intents
0617T005_8_input,sell,75,2,250,7023,6816,0.970525,148655,21.16688,5,-185,435,148.655,0.02116688,unconstrained_all_intents
