candidate_id,family,strategy_seq,ts_local,action,planned_action,reject_reason,throttle_reason,position,inventory_score,latency_signal_ms,book_view_stale_ms,stage5c_anchor_source,stage5c_suppress_buy,stage5c_suppress_sell,diagnostic_note
baseline_control,baseline_control,1,1778661013548339763,submit_buy|submit_sell,submit_buy|submit_sell,,,-0.002,0.33333333333333337,3.212835,3.212835,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,2,1778661017884280634,keep,keep,,,-0.002,0.33333333333333337,3.139484,3.139484,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,3,1778661017934023937,keep,keep,,,-0.002,0.33333333333333337,2.895134,2.895134,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,4,1778661017948662347,keep,keep,,,-0.002,0.33333333333333337,3.526208,3.526208,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,5,1778661017973449495,keep,keep,,,-0.002,0.33333333333333337,2.960875,2.960875,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,6,1778661017975699962,keep,keep,,,-0.002,0.33333333333333337,2.988466,2.988466,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,7,1778661017977873129,keep,keep,,,-0.002,0.33333333333333337,3.540416,3.540416,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,8,1778661017988661450,keep,keep,,,-0.002,0.33333333333333337,3.554948,3.554948,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,9,1778661018048605722,keep,keep,,,-0.002,0.33333333333333337,3.25099,3.25099,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,10,1778661018072221852,keep,keep,,,-0.002,0.33333333333333337,4.599339,4.599339,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,11,1778661018072601706,cancel_buy,cancel_buy,,,-0.002,0.33333333333333337,4.599339,4.599339,depth_guarded_fallback,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,12,1778661018160674015,keep,cancel_sell,quote_throttle,min_quote_update_interval,-0.002,0.33333333333333337,4.65619,4.65619,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,13,1778661018161187389,keep,cancel_sell,quote_throttle,min_quote_update_interval,-0.002,0.33333333333333337,4.65619,4.65619,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,14,1778661018165300601,keep,cancel_sell,quote_throttle,min_quote_update_interval,-0.002,0.33333333333333337,3.64259,3.64259,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,15,1778661018165728729,keep,cancel_sell,quote_throttle,min_quote_update_interval,-0.002,0.33333333333333337,3.893133,3.893133,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,16,1778661018187796479,cancel_sell,cancel_sell,,,-0.002,0.33333333333333337,3.685607,3.685607,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,17,1778661018193947183,keep,keep,,,-0.002,0.33333333333333337,2.953682,2.953682,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,18,1778661018197465404,keep,keep,,,-0.002,0.33333333333333337,3.034602,3.034602,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,19,1778661018205051458,keep,keep,,,-0.002,0.33333333333333337,3.569031,3.569031,bookticker,0,0,candidate_trigger_sample_only
baseline_control,baseline_control,20,1778661018217171158,keep,keep,,,-0.002,0.33333333333333337,2.892201,2.892201,bookticker,0,0,candidate_trigger_sample_only
