sample_id,source_row_index,hyperliquid_decision_ts,threshold_ticks,persistence_count,basis_mid_ticks,side_intent,quote_price,quote_distance_ticks,post_only,crossing,size_btc,position_after_btc,cap_check,cancel_reason
cross_exchange_public_sample_0602T001,17,1780378314538146252,10,1,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,10,1,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,10,1,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,29,1780378320538146252,10,1,-35.5,sell,70612,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,732,1780378672038146252,10,1,11.5,buy,70609,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,742,1780378677038146252,10,1,-80.5,sell,70619,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,10,2,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,10,2,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,10,2,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,10,2,-92.5,sell,70617,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,732,1780378672038146252,10,2,11.5,buy,70609,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,742,1780378677038146252,10,2,-80.5,sell,70619,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,10,3,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,10,3,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,10,3,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
