threshold_ticks,persistence_count,candidate_label,rows_evaluated,total_intents,intent_rate,intent_buy,intent_sell,no_signal_rate,stale_or_data_gap_rate,cap_reduce_side_only_rate,samples_with_intent,samples_with_buy,samples_with_sell
10,1,,26948,5044,0.187175,2507,2537,0.08509,0.11845,0.609285,8,8,8
10,2,,26948,3720,0.138044,1845,1875,0.08509,0.117448,0.589209,8,8,8
10,3,,26948,2816,0.104498,1393,1423,0.08509,0.116706,0.5652,8,7,8
20,1,,26948,4094,0.151922,2032,2062,0.162609,0.118153,0.567315,8,7,8
20,2,,26948,2932,0.108802,1452,1480,0.162609,0.117152,0.542452,8,7,8
20,3,,26948,2122,0.078744,1048,1074,0.162609,0.116409,0.516105,8,7,8
30,1,,26948,3418,0.126837,1695,1723,0.247068,0.117486,0.508609,8,7,8
30,2,,26948,2354,0.087353,1164,1190,0.247068,0.116335,0.480332,8,7,8
30,3,,26948,1628,0.060413,802,826,0.247068,0.115333,0.451462,8,7,8
40,1,,26948,2771,0.102828,1372,1399,0.321137,0.116669,0.459366,8,7,8
40,2,,26948,1803,0.066907,889,914,0.321137,0.115482,0.429011,8,7,8
40,3,,26948,1168,0.043343,572,596,0.321137,0.114368,0.399399,8,7,8
50,1,,26948,2251,0.083531,1114,1137,0.393833,0.116001,0.406635,8,7,8
50,2,,26948,1358,0.050393,668,690,0.393833,0.114591,0.375241,8,7,8
50,3,,26948,847,0.031431,412,435,0.393833,0.113366,0.343996,8,7,8
75,1,,26948,1341,0.049763,658,683,0.548723,0.112624,0.28889,8,7,8
75,2,primary_candidate,26948,654,0.024269,313,341,0.548723,0.110138,0.257904,8,7,8
75,3,stricter_low_activity_fallback,26948,327,0.012134,148,179,0.548723,0.108023,0.228477,8,7,8
100,1,,26948,843,0.031282,408,435,0.651514,0.106872,0.210331,8,7,8
100,2,,26948,372,0.013804,171,201,0.651514,0.103681,0.179123,8,7,8
100,3,,26948,193,0.007162,81,112,0.651514,0.100787,0.152071,8,5,8
