attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
1,9,public_shadow_pre_submit_gate,1782283121162,62836.0,62837.0,750,0,1782283121162,0,0,0,0,0,,block
1,10,public_shadow_pre_submit_gate,1782283122585,62836.0,62837.0,750,0,1782283122585,0,0,0,0,0,,block
1,11,public_shadow_pre_submit_gate,1782283124035,62836.0,62837.0,750,0,1782283124035,0,0,0,0,0,,block
1,42,public_shadow_pre_submit_gate,1782283169975,62825.0,62826.0,750,0,1782283169975,0,0,0,0,0,,block
1,43,public_shadow_pre_submit_gate,1782283172390,62825.0,62826.0,750,0,1782283172390,0,0,0,0,0,,block
1,157,public_shadow_pre_submit_gate,1782283314277,62816.0,62817.0,750,1,1782283313943,334,1,0,0,0,down,block
1,158,public_shadow_pre_submit_gate,1782283315026,62816.0,62817.0,750,0,1782283315026,0,0,0,0,0,,block
1,196,public_shadow_pre_submit_gate,1782283368030,62820.0,62821.0,750,1,1782283367763,267,0,0,1,0,flat,pass
1,197,public_shadow_pre_submit_gate,1782283369192,62820.0,62821.0,750,0,1782283369192,0,0,0,0,0,,block
1,198,public_shadow_pre_submit_gate,1782283371024,62820.0,62821.0,750,0,1782283371024,0,0,0,0,0,,block
1,199,public_shadow_pre_submit_gate,1782283372050,62820.0,62821.0,750,0,1782283372050,0,0,0,0,0,,block
1,200,public_shadow_pre_submit_gate,1782283372693,62820.0,62821.0,750,0,1782283372693,0,0,0,0,0,,block
1,203,public_shadow_pre_submit_gate,1782283375043,62815.0,62816.0,750,0,1782283375043,0,0,0,0,0,,block
1,204,public_shadow_pre_submit_gate,1782283377328,62815.0,62816.0,750,0,1782283377328,0,0,0,0,0,,block
1,205,public_shadow_pre_submit_gate,1782283377433,62815.0,62816.0,750,0,1782283377433,0,0,0,0,0,,block
1,214,public_shadow_pre_submit_gate,1782283389981,62797.0,62798.0,750,1,1782283389333,648,0,0,1,0,flat,pass
1,215,public_shadow_pre_submit_gate,1782283390122,62797.0,62798.0,750,0,1782283390122,0,0,0,0,0,,block
1,216,public_shadow_pre_submit_gate,1782283390476,62797.0,62798.0,750,0,1782283390476,0,0,0,0,0,,block
1,217,public_shadow_pre_submit_gate,1782283391748,62797.0,62798.0,750,0,1782283391748,0,0,0,0,0,,block
1,218,public_shadow_pre_submit_gate,1782283394004,62797.0,62798.0,750,0,1782283394004,0,0,0,0,0,,block
1,223,public_shadow_pre_submit_gate,1782283402008,62793.0,62794.0,750,0,1782283402008,0,0,0,0,0,,block
1,224,public_shadow_pre_submit_gate,1782283404487,62793.0,62794.0,750,0,1782283404487,0,0,0,0,0,,block
1,225,public_shadow_pre_submit_gate,1782283405024,62793.0,62794.0,750,0,1782283405024,0,0,0,0,0,,block
1,365,public_shadow_pre_submit_gate,1782283504723,62748.0,62749.0,750,0,1782283504723,0,0,0,0,0,,block
1,366,public_shadow_pre_submit_gate,1782283505206,62748.0,62749.0,750,0,1782283505206,0,0,0,0,0,,block
1,367,public_shadow_pre_submit_gate,1782283506531,62748.0,62749.0,750,0,1782283506531,0,0,0,0,0,,block
1,371,public_shadow_pre_submit_gate,1782283509071,62732.0,62733.0,750,0,1782283509071,0,0,0,0,0,,block
1,372,public_shadow_pre_submit_gate,1782283509378,62732.0,62733.0,750,0,1782283509378,0,0,0,0,0,,block
1,373,public_shadow_pre_submit_gate,1782283510321,62732.0,62733.0,750,0,1782283510321,0,0,0,0,0,,block
1,375,public_shadow_pre_submit_gate,1782283513745,62730.0,62731.0,750,1,1782283513286,459,1,0,0,0,down,block
1,376,public_shadow_pre_submit_gate,1782283514022,62730.0,62731.0,750,1,1782283513286,736,1,0,0,0,down,block
1,377,public_shadow_pre_submit_gate,1782283514830,62730.0,62731.0,750,0,1782283514830,0,0,0,0,0,,block
1,378,public_shadow_pre_submit_gate,1782283514898,62730.0,62731.0,750,0,1782283514898,0,0,0,0,0,,block
1,379,public_shadow_pre_submit_gate,1782283515783,62730.0,62731.0,750,0,1782283515783,0,0,0,0,0,,block
1,380,public_shadow_pre_submit_gate,1782283515916,62730.0,62731.0,750,0,1782283515916,0,0,0,0,0,,block
1,381,public_shadow_pre_submit_gate,1782283515983,62730.0,62731.0,750,0,1782283515983,0,0,0,0,0,,block
1,382,public_shadow_pre_submit_gate,1782283516116,62730.0,62731.0,750,0,1782283516116,0,0,0,0,0,,block
1,383,public_shadow_pre_submit_gate,1782283516938,62730.0,62731.0,750,0,1782283516938,0,0,0,0,0,,block
1,384,public_shadow_pre_submit_gate,1782283518022,62730.0,62731.0,750,0,1782283518022,0,0,0,0,0,,block
1,400,public_shadow_pre_submit_gate,1782283525077,62721.0,62722.0,750,0,1782283525077,0,0,0,0,0,,block
1,401,public_shadow_pre_submit_gate,1782283525295,62721.0,62722.0,750,0,1782283525295,0,0,0,0,0,,block
1,402,public_shadow_pre_submit_gate,1782283525533,62721.0,62722.0,750,0,1782283525533,0,0,0,0,0,,block
1,403,public_shadow_pre_submit_gate,1782283526066,62721.0,62722.0,750,0,1782283526066,0,0,0,0,0,,block
