item_type,item_key,classification,horizon_ms,reason,boundary
regime_definition,regime_001_100_spread_0_10_ticks,watch_needs_more_samples,100,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_002_100_spread_10_20_ticks,watch_needs_more_samples,100,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_003_100_spread_gt_20_ticks,watch_needs_more_samples,100,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_004_250_spread_0_10_ticks,watch_needs_more_samples,250,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_005_250_spread_10_20_ticks,watch_needs_more_samples,250,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_006_250_spread_gt_20_ticks,watch_needs_more_samples,250,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_007_500_spread_0_10_ticks,reject_unstable_direction,500,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_008_500_spread_10_20_ticks,reject_concentrated_or_aliased,500,horizon_or_regime_not_independent_enough,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_009_500_spread_gt_20_ticks,reject_unstable_direction,500,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_010_1000_spread_0_10_ticks,reject_unstable_direction,1000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_012_1000_spread_gt_20_ticks,reject_unstable_direction,1000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_013_5000_spread_0_10_ticks,reject_unstable_direction,5000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_014_5000_spread_10_20_ticks,reject_unstable_direction,5000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_015_5000_spread_gt_20_ticks,reject_unstable_direction,5000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_016_10000_spread_0_10_ticks,reject_concentrated_or_aliased,10000,horizon_or_regime_not_independent_enough,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_017_10000_spread_10_20_ticks,reject_unstable_direction,10000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_definition,regime_018_10000_spread_gt_20_ticks,reject_unstable_direction,10000,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
secondary_context_feature,binance_top5_imbalance,watch_needs_more_samples,,watch_regime_dependent_secondary_context_only_not_primary_anchor,not_allowed_as_primary_anchor_for_promoted_candidate
secondary_context_feature,binance_top5_bid_qty,watch_needs_more_samples,,watch_regime_dependent_secondary_context_only_not_primary_anchor,not_allowed_as_primary_anchor_for_promoted_candidate
secondary_context_feature,binance_microprice_minus_mid_ticks,watch_needs_more_samples,,watch_regime_dependent_secondary_context_only_not_primary_anchor,not_allowed_as_primary_anchor_for_promoted_candidate
