window_id,evaluation_id,order_attempt_id,attempt_key,attempt,exchange_time_ms,local_receive_ts_ns,side_or_aggressor,px,size_btc,source_sequence,raw_event_sequence,at_quote,through_quote,interval_trade_capture_status,public_stream_gap_count,public_stream_coverage_status,source_status
window_01,4124,2,window_01:attempt_2,2,1784189823752,1784189826321347010,B,63914,0.0017,1078583333155697,1078583333155697,False,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824026,1784189826321473912,B,63914,0.00035,377461585168310,377461585168310,False,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63913,0.00017,923657474988543,923657474988543,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63913,0.0183,1089583048895265,1089583048895265,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63913,0.00399,128984941137063,128984941137063,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63913,0.00455,842193272983850,842193272983850,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63913,0.00094,429847268527280,429847268527280,True,False,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63910,0.0022,609443871932165,609443871932165,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63910,0.00016,1052139735657778,1052139735657778,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63909,0.00744,989026935840272,989026935840272,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63909,0.00141,663054558509454,663054558509454,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824157,1784189826321773907,A,63909,0.03923,412040255553193,412040255553193,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824760,1784189826322006779,A,63909,0.0017,322644135113104,322644135113104,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824760,1784189826322006779,B,63910,0.00782,578594585658113,578594585658113,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824760,1784189826322006779,A,63909,0.00032,656188218522226,656188218522226,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824760,1784189826322006779,B,63910,0.04415,59438577192635,59438577192635,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824895,1784189826322066024,A,63909,0.07824,684594837788051,684594837788051,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189824961,1784189826322114863,B,63910,0.00629,640407762371181,640407762371181,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189825103,1784189826322256301,B,63910,0.0097,1002816791071095,1002816791071095,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
window_01,4124,2,window_01:attempt_2,2,1784189825103,1784189826322256301,A,63909,0.00017,860599420030532,860599420030532,False,True,captured_for_matching_attempt_interval,0,complete_interval_trade_stream_coverage,captured_for_matching_attempt
