session,segment_id,side,stage,reason_code,row_count
jul30,segment_0001,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0001,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0002,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0002,maker_ask_risk,support,reference_quote_unavailable,16
jul30,segment_0002,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0002,maker_bid_risk,support,reference_quote_unavailable,16
jul30,segment_0003,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0003,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0004,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0004,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0005,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0005,maker_ask_risk,support,reference_quote_unavailable,11
jul30,segment_0005,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0005,maker_bid_risk,support,reference_quote_unavailable,11
jul30,segment_0006,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0006,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0007,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0007,maker_ask_risk,support,reference_quote_unavailable,2
jul30,segment_0007,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0007,maker_bid_risk,support,reference_quote_unavailable,2
jul30,segment_0008,maker_ask_risk,support,right_censored_segment,5
jul30,segment_0008,maker_ask_risk,support,reference_quote_unavailable,3
jul30,segment_0008,maker_bid_risk,support,right_censored_segment,5
jul30,segment_0008,maker_bid_risk,support,reference_quote_unavailable,3
aug03,segment_0001,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0001,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0002,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0002,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0003,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0003,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0004,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0004,maker_ask_risk,support,reference_quote_unavailable,2
aug03,segment_0004,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0004,maker_bid_risk,support,reference_quote_unavailable,2
aug03,segment_0005,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0005,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0006,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0006,maker_ask_risk,support,reference_quote_unavailable,7
aug03,segment_0006,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0006,maker_bid_risk,support,reference_quote_unavailable,7
aug03,segment_0007,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0007,maker_ask_risk,support,reference_quote_unavailable,3
aug03,segment_0007,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0007,maker_bid_risk,support,reference_quote_unavailable,3
aug03,segment_0008,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0008,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0009,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0009,maker_ask_risk,support,reference_quote_unavailable,8
aug03,segment_0009,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0009,maker_bid_risk,support,reference_quote_unavailable,8
aug03,segment_0010,maker_ask_risk,support,right_censored_segment,5
aug03,segment_0010,maker_ask_risk,support,reference_quote_unavailable,13
aug03,segment_0010,maker_bid_risk,support,right_censored_segment,5
aug03,segment_0010,maker_bid_risk,support,reference_quote_unavailable,13
aug04,segment_0001,maker_ask_risk,support,right_censored_segment,5
aug04,segment_0001,maker_bid_risk,support,right_censored_segment,5
