session,side,absolute_block_id,block_start_ns,block_end_ns,binary_identified_count,event_count,block_rate
jul30,maker_ask_risk,1785369300000000000,1785369300000000000,1785369360000000000,6000,72,0.012
jul30,maker_ask_risk,1785369360000000000,1785369360000000000,1785369420000000000,6000,106,0.017666666666666667
jul30,maker_ask_risk,1785369420000000000,1785369420000000000,1785369480000000000,6000,27,0.0044999999999999997
jul30,maker_ask_risk,1785369480000000000,1785369480000000000,1785369540000000000,6000,54,0.0089999999999999993
jul30,maker_ask_risk,1785369540000000000,1785369540000000000,1785369600000000000,6000,76,0.012666666666666666
jul30,maker_ask_risk,1785369600000000000,1785369600000000000,1785369660000000000,6000,122,0.020333333333333332
jul30,maker_ask_risk,1785369660000000000,1785369660000000000,1785369720000000000,6000,93,0.0155
jul30,maker_ask_risk,1785369720000000000,1785369720000000000,1785369780000000000,6000,102,0.017000000000000001
jul30,maker_ask_risk,1785369780000000000,1785369780000000000,1785369840000000000,6000,97,0.016166666666666666
jul30,maker_ask_risk,1785369840000000000,1785369840000000000,1785369900000000000,6000,77,0.012833333333333334
jul30,maker_ask_risk,1785369900000000000,1785369900000000000,1785369960000000000,6000,126,0.021000000000000001
jul30,maker_ask_risk,1785369960000000000,1785369960000000000,1785370020000000000,6000,147,0.024500000000000001
jul30,maker_ask_risk,1785370020000000000,1785370020000000000,1785370080000000000,6000,116,0.019333333333333334
jul30,maker_ask_risk,1785370080000000000,1785370080000000000,1785370140000000000,6000,103,0.017166666666666667
jul30,maker_ask_risk,1785370140000000000,1785370140000000000,1785370200000000000,6000,103,0.017166666666666667
jul30,maker_ask_risk,1785370200000000000,1785370200000000000,1785370260000000000,6000,124,0.020666666666666667
jul30,maker_ask_risk,1785370260000000000,1785370260000000000,1785370320000000000,6000,94,0.015666666666666666
jul30,maker_ask_risk,1785370320000000000,1785370320000000000,1785370380000000000,6000,85,0.014166666666666666
jul30,maker_ask_risk,1785370380000000000,1785370380000000000,1785370440000000000,6000,106,0.017666666666666667
jul30,maker_ask_risk,1785370440000000000,1785370440000000000,1785370500000000000,6000,102,0.017000000000000001
jul30,maker_ask_risk,1785370500000000000,1785370500000000000,1785370560000000000,6000,88,0.014666666666666666
jul30,maker_ask_risk,1785370560000000000,1785370560000000000,1785370620000000000,6000,109,0.018166666666666668
jul30,maker_ask_risk,1785370620000000000,1785370620000000000,1785370680000000000,6000,128,0.021333333333333333
jul30,maker_ask_risk,1785370680000000000,1785370680000000000,1785370740000000000,6000,136,0.022666666666666668
jul30,maker_ask_risk,1785370740000000000,1785370740000000000,1785370800000000000,6000,100,0.016666666666666666
jul30,maker_ask_risk,1785370800000000000,1785370800000000000,1785370860000000000,6000,57,0.0094999999999999998
jul30,maker_ask_risk,1785370860000000000,1785370860000000000,1785370920000000000,6000,78,0.012999999999999999
jul30,maker_ask_risk,1785370920000000000,1785370920000000000,1785370980000000000,6000,112,0.018666666666666668
jul30,maker_ask_risk,1785370980000000000,1785370980000000000,1785371040000000000,6000,128,0.021333333333333333
jul30,maker_ask_risk,1785371100000000000,1785371100000000000,1785371160000000000,6000,159,0.026499999999999999
jul30,maker_ask_risk,1785371160000000000,1785371160000000000,1785371220000000000,6000,125,0.020833333333333332
jul30,maker_ask_risk,1785371220000000000,1785371220000000000,1785371280000000000,6000,94,0.015666666666666666
jul30,maker_ask_risk,1785371280000000000,1785371280000000000,1785371340000000000,6000,133,0.022166666666666668
jul30,maker_ask_risk,1785371340000000000,1785371340000000000,1785371400000000000,6000,110,0.018333333333333333
jul30,maker_ask_risk,1785371400000000000,1785371400000000000,1785371460000000000,6000,148,0.024666666666666667
jul30,maker_ask_risk,1785371460000000000,1785371460000000000,1785371520000000000,6000,110,0.018333333333333333
jul30,maker_ask_risk,1785371520000000000,1785371520000000000,1785371580000000000,6000,99,0.016500000000000001
jul30,maker_ask_risk,1785371580000000000,1785371580000000000,1785371640000000000,6000,85,0.014166666666666666
jul30,maker_ask_risk,1785371640000000000,1785371640000000000,1785371700000000000,6000,108,0.017999999999999999
jul30,maker_ask_risk,1785371700000000000,1785371700000000000,1785371760000000000,6000,116,0.019333333333333334
jul30,maker_ask_risk,1785371760000000000,1785371760000000000,1785371820000000000,6000,82,0.013666666666666667
jul30,maker_ask_risk,1785371820000000000,1785371820000000000,1785371880000000000,6000,90,0.014999999999999999
jul30,maker_ask_risk,1785371880000000000,1785371880000000000,1785371940000000000,6000,149,0.024833333333333332
jul30,maker_ask_risk,1785371940000000000,1785371940000000000,1785372000000000000,6000,130,0.021666666666666667
jul30,maker_ask_risk,1785372000000000000,1785372000000000000,1785372060000000000,6000,148,0.024666666666666667
jul30,maker_ask_risk,1785372060000000000,1785372060000000000,1785372120000000000,6000,103,0.017166666666666667
jul30,maker_ask_risk,1785372120000000000,1785372120000000000,1785372180000000000,6000,104,0.017333333333333333
jul30,maker_ask_risk,1785372180000000000,1785372180000000000,1785372240000000000,6000,95,0.015833333333333335
jul30,maker_ask_risk,1785372240000000000,1785372240000000000,1785372300000000000,6000,87,0.014500000000000001
jul30,maker_ask_risk,1785372300000000000,1785372300000000000,1785372360000000000,6000,140,0.023333333333333334
jul30,maker_ask_risk,1785372360000000000,1785372360000000000,1785372420000000000,6000,132,0.021999999999999999
jul30,maker_ask_risk,1785372420000000000,1785372420000000000,1785372480000000000,6000,101,0.016833333333333332
jul30,maker_ask_risk,1785372480000000000,1785372480000000000,1785372540000000000,6000,96,0.016
jul30,maker_ask_risk,1785372540000000000,1785372540000000000,1785372600000000000,6000,93,0.0155
jul30,maker_ask_risk,1785372600000000000,1785372600000000000,1785372660000000000,6000,56,0.0093333333333333341
jul30,maker_ask_risk,1785372660000000000,1785372660000000000,1785372720000000000,6000,139,0.023166666666666665
jul30,maker_ask_risk,1785372720000000000,1785372720000000000,1785372780000000000,6000,93,0.0155
jul30,maker_ask_risk,1785372780000000000,1785372780000000000,1785372840000000000,6000,97,0.016166666666666666
jul30,maker_ask_risk,1785372900000000000,1785372900000000000,1785372960000000000,6000,96,0.016
jul30,maker_ask_risk,1785372960000000000,1785372960000000000,1785373020000000000,6000,56,0.0093333333333333341
jul30,maker_ask_risk,1785373020000000000,1785373020000000000,1785373080000000000,6000,62,0.010333333333333333
jul30,maker_ask_risk,1785373080000000000,1785373080000000000,1785373140000000000,6000,111,0.018499999999999999
jul30,maker_ask_risk,1785373140000000000,1785373140000000000,1785373200000000000,6000,85,0.014166666666666666
jul30,maker_ask_risk,1785373200000000000,1785373200000000000,1785373260000000000,6000,87,0.014500000000000001
jul30,maker_ask_risk,1785373260000000000,1785373260000000000,1785373320000000000,6000,153,0.025499999999999998
jul30,maker_ask_risk,1785373320000000000,1785373320000000000,1785373380000000000,6000,76,0.012666666666666666
jul30,maker_ask_risk,1785373380000000000,1785373380000000000,1785373440000000000,6000,143,0.023833333333333335
jul30,maker_ask_risk,1785373440000000000,1785373440000000000,1785373500000000000,6000,88,0.014666666666666666
jul30,maker_ask_risk,1785373500000000000,1785373500000000000,1785373560000000000,6000,88,0.014666666666666666
jul30,maker_ask_risk,1785373560000000000,1785373560000000000,1785373620000000000,6000,69,0.0115
jul30,maker_ask_risk,1785373620000000000,1785373620000000000,1785373680000000000,6000,87,0.014500000000000001
jul30,maker_ask_risk,1785373680000000000,1785373680000000000,1785373740000000000,6000,101,0.016833333333333332
jul30,maker_ask_risk,1785373740000000000,1785373740000000000,1785373800000000000,6000,52,0.0086666666666666663
jul30,maker_ask_risk,1785373800000000000,1785373800000000000,1785373860000000000,6000,99,0.016500000000000001
jul30,maker_ask_risk,1785373860000000000,1785373860000000000,1785373920000000000,6000,155,0.025833333333333333
jul30,maker_ask_risk,1785373920000000000,1785373920000000000,1785373980000000000,6000,93,0.0155
jul30,maker_ask_risk,1785373980000000000,1785373980000000000,1785374040000000000,6000,74,0.012333333333333333
jul30,maker_ask_risk,1785374040000000000,1785374040000000000,1785374100000000000,6000,84,0.014
jul30,maker_ask_risk,1785374100000000000,1785374100000000000,1785374160000000000,6000,163,0.027166666666666665
jul30,maker_ask_risk,1785374160000000000,1785374160000000000,1785374220000000000,6000,81,0.0135
jul30,maker_ask_risk,1785374220000000000,1785374220000000000,1785374280000000000,6000,89,0.014833333333333334
jul30,maker_ask_risk,1785374280000000000,1785374280000000000,1785374340000000000,6000,126,0.021000000000000001
jul30,maker_ask_risk,1785374340000000000,1785374340000000000,1785374400000000000,6000,121,0.020166666666666666
jul30,maker_ask_risk,1785374400000000000,1785374400000000000,1785374460000000000,6000,55,0.0091666666666666667
jul30,maker_ask_risk,1785374460000000000,1785374460000000000,1785374520000000000,6000,86,0.014333333333333333
jul30,maker_ask_risk,1785374520000000000,1785374520000000000,1785374580000000000,6000,138,0.023
jul30,maker_ask_risk,1785374580000000000,1785374580000000000,1785374640000000000,6000,105,0.017500000000000002
jul30,maker_ask_risk,1785374700000000000,1785374700000000000,1785374760000000000,6000,118,0.019666666666666666
jul30,maker_ask_risk,1785374760000000000,1785374760000000000,1785374820000000000,6000,106,0.017666666666666667
jul30,maker_ask_risk,1785374820000000000,1785374820000000000,1785374880000000000,6000,114,0.019
jul30,maker_ask_risk,1785374880000000000,1785374880000000000,1785374940000000000,6000,84,0.014
jul30,maker_ask_risk,1785374940000000000,1785374940000000000,1785375000000000000,6000,112,0.018666666666666668
jul30,maker_ask_risk,1785375000000000000,1785375000000000000,1785375060000000000,6000,130,0.021666666666666667
jul30,maker_ask_risk,1785375060000000000,1785375060000000000,1785375120000000000,6000,124,0.020666666666666667
jul30,maker_ask_risk,1785375120000000000,1785375120000000000,1785375180000000000,6000,94,0.015666666666666666
jul30,maker_ask_risk,1785375180000000000,1785375180000000000,1785375240000000000,6000,114,0.019
jul30,maker_ask_risk,1785375240000000000,1785375240000000000,1785375300000000000,6000,107,0.017833333333333333
jul30,maker_ask_risk,1785375300000000000,1785375300000000000,1785375360000000000,6000,90,0.014999999999999999
jul30,maker_ask_risk,1785375360000000000,1785375360000000000,1785375420000000000,6000,118,0.019666666666666666
jul30,maker_ask_risk,1785375420000000000,1785375420000000000,1785375480000000000,6000,66,0.010999999999999999
jul30,maker_ask_risk,1785375480000000000,1785375480000000000,1785375540000000000,6000,121,0.020166666666666666
jul30,maker_ask_risk,1785375540000000000,1785375540000000000,1785375600000000000,6000,112,0.018666666666666668
jul30,maker_ask_risk,1785375600000000000,1785375600000000000,1785375660000000000,6000,115,0.019166666666666665
jul30,maker_ask_risk,1785375660000000000,1785375660000000000,1785375720000000000,6000,91,0.015166666666666667
jul30,maker_ask_risk,1785375720000000000,1785375720000000000,1785375780000000000,6000,69,0.0115
jul30,maker_ask_risk,1785375780000000000,1785375780000000000,1785375840000000000,6000,69,0.0115
jul30,maker_ask_risk,1785375840000000000,1785375840000000000,1785375900000000000,6000,84,0.014
jul30,maker_ask_risk,1785375900000000000,1785375900000000000,1785375960000000000,6000,77,0.012833333333333334
jul30,maker_ask_risk,1785375960000000000,1785375960000000000,1785376020000000000,6000,116,0.019333333333333334
jul30,maker_ask_risk,1785376020000000000,1785376020000000000,1785376080000000000,6000,88,0.014666666666666666
jul30,maker_ask_risk,1785376080000000000,1785376080000000000,1785376140000000000,6000,79,0.013166666666666667
jul30,maker_ask_risk,1785376140000000000,1785376140000000000,1785376200000000000,6000,109,0.018166666666666668
jul30,maker_ask_risk,1785376200000000000,1785376200000000000,1785376260000000000,6000,87,0.014500000000000001
jul30,maker_ask_risk,1785376260000000000,1785376260000000000,1785376320000000000,6000,73,0.012166666666666666
jul30,maker_ask_risk,1785376320000000000,1785376320000000000,1785376380000000000,6000,99,0.016500000000000001
jul30,maker_ask_risk,1785376380000000000,1785376380000000000,1785376440000000000,6000,103,0.017166666666666667
jul30,maker_ask_risk,1785376500000000000,1785376500000000000,1785376560000000000,6000,109,0.018166666666666668
jul30,maker_ask_risk,1785376560000000000,1785376560000000000,1785376620000000000,6000,101,0.016833333333333332
jul30,maker_ask_risk,1785376620000000000,1785376620000000000,1785376680000000000,6000,91,0.015166666666666667
jul30,maker_ask_risk,1785376680000000000,1785376680000000000,1785376740000000000,6000,72,0.012
jul30,maker_ask_risk,1785376740000000000,1785376740000000000,1785376800000000000,6000,68,0.011333333333333334
jul30,maker_ask_risk,1785376800000000000,1785376800000000000,1785376860000000000,6000,118,0.019666666666666666
jul30,maker_ask_risk,1785376860000000000,1785376860000000000,1785376920000000000,6000,71,0.011833333333333333
jul30,maker_ask_risk,1785376920000000000,1785376920000000000,1785376980000000000,6000,105,0.017500000000000002
jul30,maker_ask_risk,1785376980000000000,1785376980000000000,1785377040000000000,6000,96,0.016
jul30,maker_ask_risk,1785377040000000000,1785377040000000000,1785377100000000000,6000,70,0.011666666666666667
jul30,maker_ask_risk,1785377100000000000,1785377100000000000,1785377160000000000,6000,108,0.017999999999999999
jul30,maker_ask_risk,1785377160000000000,1785377160000000000,1785377220000000000,6000,108,0.017999999999999999
jul30,maker_ask_risk,1785377220000000000,1785377220000000000,1785377280000000000,6000,104,0.017333333333333333
jul30,maker_ask_risk,1785377280000000000,1785377280000000000,1785377340000000000,6000,93,0.0155
