schema_version,session_id,evidence_label,formal_eligible,horizon_ms,primary_selection_eligible,segment_count,connection_epoch_count,nominal_calendar_grid_count,quality_eligible_grid_count,quality_eligible_calendar_exposure_fraction,fully_identified_binary_count,fully_identified_binary_endpoint_fraction,interval_likelihood_eligible_count,interval_likelihood_eligible_fraction,complete_60s_block_count,quality_exposure_gate_pass,binary_identification_gate_pass,interval_likelihood_gate_pass,complete_block_gate_pass,session_support_gate_pass
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,50,true,8,8,1439840,1439840,1.000000000000,1439768,0.999949994444,1439768,0.999949994444,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,100,true,8,8,1439840,1439840,1.000000000000,1439728,0.999922213579,1439728,0.999922213579,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,250,true,8,8,1439840,1439840,1.000000000000,1439608,0.999838870986,1439608,0.999838870986,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,500,true,8,8,1439840,1439840,1.000000000000,1439408,0.999699966663,1439408,0.999699966663,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,1000,false,8,8,1439840,1439840,1.000000000000,1439008,0.999422158018,1439008,0.999422158018,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,jul30,historical_discovery_and_internal_validation,true,2000,false,8,8,1439840,1439840,1.000000000000,1438208,0.998866540727,1438208,0.998866540727,232,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,50,true,10,10,1799796,1799796,1.000000000000,1799713,0.999953883662,1799713,0.999953883662,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,100,true,10,10,1799796,1799796,1.000000000000,1799663,0.999926102736,1799663,0.999926102736,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,250,true,10,10,1799796,1799796,1.000000000000,1799513,0.999842759957,1799513,0.999842759957,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,500,true,10,10,1799796,1799796,1.000000000000,1799263,0.999703855326,1799263,0.999703855326,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,1000,false,10,10,1799796,1799796,1.000000000000,1798763,0.999426046063,1798763,0.999426046063,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug03,historical_transfer,false,2000,false,10,10,1799796,1799796,1.000000000000,1797763,0.998870427537,1797763,0.998870427537,290,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,50,true,1,1,719981,719981,1.000000000000,719976,0.999993055372,719976,0.999993055372,119,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,100,true,1,1,719981,719981,1.000000000000,719971,0.999986110745,719971,0.999986110745,119,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,250,true,1,1,719981,719981,1.000000000000,719956,0.999965276861,719956,0.999965276861,119,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,500,true,1,1,719981,719981,1.000000000000,719931,0.999930553723,719931,0.999930553723,119,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,1000,false,1,1,719981,719981,1.000000000000,719881,0.999861107446,719881,0.999861107446,119,true,true,true,true,true
skhynix_stage_h0a_support_v1,aug04,historical_consumed_validation,true,2000,false,1,1,719981,719981,1.000000000000,719781,0.999722214892,719781,0.999722214892,119,true,true,true,true,true
